bfb9a4576c0cbc8ff9f947860270ea6699ab375b4c6a9a77a6bae5a4c24b8f40,61aac73d3c70cd1f08e57d76e0c05dfd2ed78072f534ccb89afa065fe36b6b22,1ff701125ca0762a8293c76106049520e446d652a973139c49a50f5c13d00d2d,4e788f80540a8af94dedcd5f8b0d371f6d39237ee748cb349cdbb6ca2cefd9d2,fbdbb8cd8fb78762c5a6810adf7bdc2dd9784c0cf789c0f74979de6212e0836b,1875f3ef2866c72c914351d42a87c257939f2c694aff2209562767f9ee6e431f,3fcc6e1f942442aa5af4430a04e493e432e5d8eee833a97a919d40d57f7bb459
"0","0","1","1","1","1","1"
"0","0","1","4","1","2","2"
"12","0","1","5","1","1","3"
"0","0","1","2","1","2","4"
"0","0","2","8","1","1","5"
"0","0","1","1","2","1","1"
"0","0","1","1","2","2","2"
"0","0","1","6","2","1","3"
"0","0","1","1","2","2","4"
"0","0","1","1","2","3","5"
"11","0","3","3","2","1","6"
"0","0","1","1","2","2","7"
"0","0","1","3","2","1","8"
"0","0","2","1","2","1","9"
"0","0","1","1","3","1","1"
"0","0","1","10","3","2","2"
"0","0","1","11","3","1","3"
"0","0","1","5","3","2","4"
"0","0","1","6","3","3","5"
"0","0","1","3","3","3","6"
"9","0","2","3","3","4","7"
"0","0","1","7","3","4","8"
"0","0","1","1","3","4","9"
"8","0","3","9","3","1","10"
"0","0","1","4","3","2","11"
"0","0","1","1","3","1","12"
"0","0","1","3","3","4","13"
"11","0","2","3","3","3","14"
"10","0","1","4","4","1","1"
"12","0","1","12","4","1","2"
"10","0","1","1","4","2","3"
"4","0","1","11","4","1","4"
"0","0","1","1","4","2","5"
"13","0","1","4","4","1","6"
"6","0","1","2","4","2","7"
"0","0","1","8","4","1","8"
"10","0","1","8","4","2","9"
"10","0","1","1","5","1","1"
"5","0","1","11","5","2","2"
"7","0","1","1","5","1","3"
"12","0","1","5","5","2","4"
"11","0","1","1","5","1","5"
"4","0","1","3","5","2","6"
"12","0","1","5","5","2","7"
"6","0","1","2","5","1","8"
"4","0","1","11","5","2","9"
"8","0","1","8","5","1","10"
"10","0","1","4","5","1","11"
"10","0","1","5","5","2","12"
"7","0","1","8","6","1","1"
"10","0","1","4","6","2","2"
"11","0","1","1","6","1","3"
"8","0","1","8","6","2","4"
"6","0","1","11","6","1","5"
"7","0","2","2","6","1","6"
"4","0","1","5","6","1","7"
"10","0","1","4","6","2","8"
"13","0","2","10","6","1","9"
"7","0","1","8","7","1","1"
"10","0","1","12","7","2","2"
"12","0","1","4","7","2","3"
"7","0","1","11","7","1","4"
"10","0","1","1","7","1","5"
"12","0","1","5","7","2","6"
"11","0","1","5","7","2","7"
"10","0","1","8","7","2","8"
"8","0","1","2","7","1","9"
"7","0","1","8","7","1","10"
"9","0","1","4","7","2","11"
"10","0","2","1","8","1","1"
"10","0","1","12","8","2","2"
"5","0","1","12","8","1","3"
"12","0","1","5","8","1","4"
"10","0","1","1","8","2","5"
"12","0","1","5","8","1","6"
"12","0","1","5","8","1","7"
"10","0","1","1","8","2","8"
"9","0","1","8","8","2","9"
"9","0","2","4","8","1","10"
"8","0","1","4","9","1","1"
"10","0","1","5","9","1","2"
"7","0","1","4","9","2","3"
"8","0","1","6","9","2","4"
"10","0","1","1","9","1","5"
"11","0","1","11","9","1","6"
"6","0","1","1","9","1","7"
"8","0","1","5","9","2","8"
"7","0","1","8","9","2","9"
"6","0","1","4","9","1","10"
"10","0","1","11","10","2","1"
"7","0","1","1","10","1","2"
"8","0","2","8","10","1","3"
"9","0","1","5","10","2","4"
"8","0","1","10","10","1","5"
"7","0","2","1","10","1","6"
"6","0","2","2","10","1","7"
"10","0","1","11","10","1","8"
"10","0","1","8","10","2","9"
"8","0","1","9","11","1","1"
"0","0","1","5","11","2","2"
"12","0","1","6","11","2","3"
"5","0","1","1","11","1","4"
"10","0","1","5","11","2","5"
"12","0","1","6","11","2","6"
"4","0","1","1","11","1","7"
"0","0","1","11","11","1","8"
"0","0","1","6","11","1","9"
"10","0","1","1","11","2","10"
"11","0","1","6","11","1","11"
"12","0","1","1","11","2","12"
"6","0","1","5","11","2","13"
"7","0","1","10","11","1","14"
"7","0","1","4","11","2","15"
"4","0","1","11","12","2","1"
"5","0","1","1","12","1","2"
"10","0","1","6","12","2","3"
"10","0","1","5","12","2","4"
"0","0","1","11","12","1","5"
"0","0","1","6","12","2","6"
"17","0","1","12","12","2","7"
"1","0","1","5","12","1","8"
"2","0","1","1","12","1","9"
"10","0","1","6","12","2","10"
"10","0","1","4","12","2","11"
"0","0","1","1","12","1","12"
"13","0","1","5","12","1","13"
"8","0","1","11","12","2","14"
"10","0","1","8","12","1","15"
"10","0","1","11","13","1","1"
"8","0","1","11","13","3","2"
"0","0","1","6","13","2","3"
"10","0","1","11","13","1","4"
"7","0","1","11","13","2","5"
"6","0","1","2","13","3","6"
"0","1500","1","1","13","3","7"
"5","0","3","11","13","1","8"
"10","0","1","5","13","3","9"
"4","0","1","1","13","2","10"
"4","0","1","1","13","1","11"
"6","0","1","6","13","3","12"
"6","0","1","4","13","1","13"
"10","0","3","9","13","1","14"
"10","0","1","8","13","3","15"
"6","0","1","4","13","1","16"
"0","0","1","1","13","3","17"
"8","0","1","8","13","2","18"
"0","0","1","11","14","1","1"
"13","0","2","2","14","1","2"
"10","0","1","11","14","3","3"
"10","0","1","1","14","1","4"
"10","0","2","4","14","1","5"
"0","0","1","11","14","2","6"
"0","0","1","1","14","2","7"
"10","0","1","1","14","1","8"
"12","0","1","12","14","3","9"
"12","0","1","12","14","3","10"
"0","0","1","5","14","3","11"
"12","0","1","5","14","1","12"
"6","0","2","10","14","1","13"
"10","0","1","11","14","1","14"
"6","0","3","10","14","1","15"
"10","0","1","11","14","1","16"
"6","0","3","2","14","1","17"
"6","0","2","10","14","1","18"
"4","0","1","11","14","1","19"
"10","0","1","8","14","2","20"
"4","0","3","8","14","1","21"
"10","0","1","12","15","2","1"
"12","0","1","12","15","1","2"
"12","0","1","11","15","3","3"
"6","0","1","11","15","1","4"
"12","0","1","12","15","2","5"
"0","0","1","5","15","2","6"
"12","0","1","11","15","1","7"
"0","0","1","1","15","1","8"
"0","0","1","5","15","1","9"
"12","0","2","12","15","1","10"
"0","0","1","11","15","3","11"
"11","0","1","12","15","3","12"
"9","0","1","1","15","2","13"
"12","0","1","1","15","1","14"
"0","0","1","12","15","1","15"
"9","0","1","12","15","1","16"
"4","0","1","11","15","2","17"
"4","0","3","11","15","1","18"
"12","0","1","5","15","2","19"
"0","0","1","12","15","2","20"
"7","0","1","12","15","2","21"
"12","0","3","12","15","1","22"
"7","0","3","1","15","1","23"
"0","0","1","4","15","3","24"
"10","0","3","4","15","1","25"
"0","0","1","8","15","2","26"
"0","0","1","11","15","1","27"
"0","0","1","11","15","2","28"
"0","0","1","6","16","1","1"
"10","0","1","11","16","2","2"
"0","0","1","12","16","3","3"
"0","0","1","4","16","2","4"
"12","0","1","6","16","1","5"
"0","0","1","6","16","1","6"
"4","0","1","4","16","2","7"
"4","0","1","5","16","3","8"
"0","0","1","1","16","3","9"
"17","0","1","12","16","1","10"
"0","0","1","11","16","2","11"
"10","0","1","1","16","3","12"
"11","0","1","11","16","2","13"
"0","0","1","11","16","3","14"
"12","0","1","12","16","1","15"
