9ce73accca40c94e33263cc971bb4949965b6166c11311d565bf64fc2a85d690,e4f229d6d4f2da2b2734d89adacfb0d8608b849d4b12eaba42dd531b5065572c,d0f08f280f67c6153f5d8e08c3fdf5c3e962616e1bfb3eec32c1c0cd64df9827
"10074","4","10201"
"91101","1","10211"
"91101","2","10211"
"91101","3","10211"
"91101","2","10211101"
"91101","3","10211101"
"91101","2","10211201"
"91101","3","10211201"
"91101","2","10211501"
"91101","3","10211501"
"91201","1","10212"
"91201","2","10212"
"91201","3","10212"
"91201","2","10212101"
"91201","3","10212101"
"91201","2","10212201"
"91201","3","10212201"
"91201","2","10212501"
"91201","3","10212501"
