28e77072260710e1c9b451c97ace6ff74ecfef560baeef3483224f62b27b15a8,d939a67649c0cfaef822d0a2a82dd9320b0466e237bb569af4359ba06c3a071f,52c76c87921a22b3c5fb6fdccf577ed3f510685fed7f235a9d11cc3b629f9455,abe6c476252190b7081079bc61efdcdb61138ec4f29bac3d58d3db431c618a6b,16ca806d7e89e0c86b851aace73bc94a4275538ecab7a6451f0bbd1a1ffe73f6,4472cf356eecb788b9f749d543dcf63d59ac3852d77df6bfae15536ca28db33c,9a34d48acaeee284e785b2c85964a1fee837818a00cc673504fc6210a977de22,c827ad0b1f9061455c5ea5657ad3620bab377cfdad97f9656c34e95b0b740153,272fec6bd88989e3c6952dc22ca2930c3972ba0ff7d55a81f25a81f34f1b52a4,715b34d7fa464697c68ad82c71484afdd2fef254a5319e342915cf5778ed3e82,231336faaaebf20bf9cbbeaa46af11fc5ec5f6581eb7e7c0c9ee7d240c76cdfd
"31","25021","10","91002","2","8","2","25015","1","8","285001001"
"31","25021","10","91002","2","8","2","25015","2","8","285001002"
"32","25021","10","91002","2","8","2","25015","3","8","285001003"
"32","25021","10","91002","2","8","2","25015","4","8","285001004"
"33","25021","10","91002","2","8","2","25015","5","8","285001005"
"33","25021","10","91002","2","8","2","25015","6","9","285001006"
"34","25021","10","91002","2","8","2","25015","7","9","285001007"
"35","25021","10","91002","2","8","2","25015","8","9","285001008"
"35","25021","10","91002","2","8","2","25015","9","9","285001009"
"37","25021","30","91002","2","8","2","25015","10","10","285001010"
"41","25021","10","91002","2","8","2","25015","11","10","285001011"
"43","25021","10","91002","2","8","2","25015","12","11","285001012"
"46","25021","10","91002","2","8","2","25015","13","11","285001013"
"48","25021","10","91002","2","8","2","25015","14","12","285001014"
"50","25021","10","91002","2","8","2","25015","15","12","285001015"
"53","25021","10","91002","2","8","2","25015","16","13","285001016"
"55","25021","10","91002","2","8","2","25015","17","14","285001017"
"58","25021","10","91002","2","8","2","25015","18","14","285001018"
"60","25021","10","91002","2","8","2","25015","19","15","285001019"
"62","25021","30","91002","2","8","2","25015","20","15","285001020"
"68","25021","10","91002","2","8","2","25015","21","16","285001021"
"70","25021","10","91002","2","8","2","25015","22","16","285001022"
"72","25021","10","91002","2","8","2","25015","23","16","285001023"
"75","25021","10","91002","2","8","2","25015","24","17","285001024"
"77","25021","10","91002","2","8","2","25015","25","18","285001025"
"79","25021","10","91002","2","8","2","25015","26","18","285001026"
"82","25021","10","91002","2","8","2","25015","27","19","285001027"
"84","25021","10","91002","2","8","2","25015","28","19","285001028"
"86","25021","10","91002","2","8","2","25015","29","19","285001029"
"89","25021","30","91002","2","8","2","25015","30","20","285001030"
"94","25021","10","91002","2","8","2","25015","31","20","285001031"
"96","25021","10","91002","2","8","2","25015","32","21","285001032"
"99","25021","10","91002","2","8","2","25015","33","21","285001033"
"101","25021","10","91002","2","8","2","25015","34","22","285001034"
"103","25021","10","91002","2","8","2","25015","35","22","285001035"
"106","25021","10","91002","2","8","2","25015","36","23","285001036"
"108","25021","10","91002","2","8","2","25015","37","23","285001037"
"111","25021","10","91002","2","8","2","25015","38","24","285001038"
"113","25021","10","91002","2","8","2","25015","39","25","285001039"
"115","25021","30","91002","2","8","2","25015","40","25","285001040"
"121","25021","10","91002","2","8","2","25015","41","26","285001041"
"123","25021","10","91002","2","8","2","25015","42","27","285001042"
"125","25021","10","91002","2","8","2","25015","43","28","285001043"
"128","25021","10","91002","2","8","2","25015","44","28","285001044"
"130","25021","10","91002","2","8","2","25015","45","29","285001045"
"132","25021","10","91002","2","8","2","25015","46","30","285001046"
"135","25021","10","91002","2","8","2","25015","47","30","285001047"
"137","25021","10","91002","2","8","2","25015","48","31","285001048"
"139","25021","10","91002","2","8","2","25015","49","31","285001049"
"142","25021","30","91002","2","8","2","25015","50","31","285001050"
"144","25021","10","91002","2","8","2","25015","51","32","285001051"
"146","25021","10","91002","2","8","2","25015","52","32","285001052"
"149","25021","10","91002","2","8","2","25015","53","32","285001053"
"152","25021","10","91002","2","8","2","25015","54","33","285001054"
"155","25021","10","91002","2","8","2","25015","55","33","285001055"
"157","25021","10","91002","2","8","2","25015","56","33","285001056"
"160","25021","10","91002","2","8","2","25015","57","34","285001057"
"163","25021","10","91002","2","8","2","25015","58","34","285001058"
"166","25021","10","91002","2","8","2","25015","59","34","285001059"
"169","25021","30","91002","2","8","2","25015","60","35","285001060"
"171","25021","10","91002","2","8","2","25015","61","35","285001061"
"174","25021","10","91002","2","8","2","25015","62","35","285001062"
"177","25021","10","91002","2","8","2","25015","63","36","285001063"
"180","25021","10","91002","2","8","2","25015","64","36","285001064"
"182","25021","10","91002","2","8","2","25015","65","36","285001065"
"185","25021","10","91002","2","8","2","25015","66","37","285001066"
"187","25021","10","91002","2","8","2","25015","67","37","285001067"
"190","25021","10","91002","2","8","2","25015","68","37","285001068"
"193","25021","10","91002","2","8","2","25015","69","38","285001069"
"196","25021","30","91002","2","8","2","25015","70","38","285001070"
"200","25021","10","91002","2","8","2","25015","71","39","285001071"
"204","25021","10","91002","2","8","2","25015","72","39","285001072"
"208","25021","10","91002","2","8","2","25015","73","40","285001073"
"212","25021","10","91002","2","8","2","25015","74","40","285001074"
"216","25021","10","91002","2","8","2","25015","75","41","285001075"
"220","25021","10","91002","2","8","2","25015","76","41","285001076"
"224","25021","10","91002","2","8","2","25015","77","42","285001077"
"228","25021","10","91002","2","8","2","25015","78","42","285001078"
"232","25021","10","91002","2","8","2","25015","79","43","285001079"
"236","25021","30","91002","2","8","2","25015","80","43","285001080"
"240","25021","10","91002","2","8","2","25015","81","44","285001081"
"244","25021","10","91002","2","8","2","25015","82","44","285001082"
"248","25021","10","91002","2","8","2","25015","83","45","285001083"
"252","25021","10","91002","2","8","2","25015","84","45","285001084"
"256","25021","10","91002","2","8","2","25015","85","46","285001085"
"260","25021","10","91002","2","8","2","25015","86","46","285001086"
"264","25021","10","91002","2","8","2","25015","87","47","285001087"
"268","25021","10","91002","2","8","2","25015","88","47","285001088"
"272","25021","10","91002","2","8","2","25015","89","48","285001089"
"276","25021","30","91002","2","8","2","25015","90","48","285001090"
"280","25021","10","91002","2","8","2","25015","91","49","285001091"
"284","25021","10","91002","2","8","2","25015","92","49","285001092"
"288","25021","10","91002","2","8","2","25015","93","50","285001093"
"292","25021","10","91002","2","8","2","25015","94","50","285001094"
"296","25021","10","91002","2","8","2","25015","95","51","285001095"
"300","25021","10","91002","2","8","2","25015","96","51","285001096"
"304","25021","10","91002","2","8","2","25015","97","52","285001097"
"308","25021","10","91002","2","8","2","25015","98","52","285001098"
"312","25021","10","91002","2","8","2","25015","99","53","285001099"
"316","25021","30","91002","2","8","2","25015","100","53","285001100"
