64c464c0295efa22c70c52039cddb51e08cb2f25b335cd0acefca54546849747,2b3248878756798fabd37bf135d099e7b29ab6f627b06fa16c2dcaa99cdaa7c8,bf8179e578cb5471714257814af39881b48cb489c7381b9ed80c7634a178bd33,6540ba34bf093b07a380bab9dea9903539e93462ee535ecc1a529ff3740546f3,0d5c6dbfc4adefd2b2456ef7d8b8a185722a7449fea913991c22e6f0334a8728,649de4ad2ad99c7cef9bd44e9a3d545ce723a3ae0c9972bb101783eac50bd8a2,0bb40254a9a24b0e69416fe9e53341f4260641661743800bbdc8a7b14dcc47b5
"1","50","9999999","50","0","0","1"
"2","80","9999999","20","0","0","2"
"3","30","2000","70","0","0","3"
"3","40","5000","30","0","30","4"
"3","40","10000","0","20","40","5"
"3","30","15000","0","30","40","6"
"3","25","20000","0","35","40","7"
"3","20","25000","0","40","40","8"
"3","15","30000","0","45","40","9"
"3","10","35000","0","50","40","10"
"3","10","40000","0","55","35","11"
"3","5","45000","0","60","35","12"
"3","5","50000","0","65","30","13"
"3","0","55000","0","70","30","14"
"3","0","60000","0","75","25","15"
"3","0","65000","0","80","20","16"
"3","0","70000","0","85","15","17"
"3","0","75000","0","90","10","18"
"3","0","80000","0","95","5","19"
"3","0","9999999","0","100","0","20"
