a9402e18075ede9a309bdd0f05e7b28d62e62b2b4c31efffca3d4a93277d8fda,9c8433c5f8ff3ad7dae0db670611f5a78d3b3c79c31b52ce7e9c65b20da37db9,2d5f577c5be27738bebd31c5e4bca166231093162c537867ce36fb2bed3c6856
"1","14","4"
"2","20","15"
"3","25","21"
"4","30","26"
"5","35","31"
"6","40","36"
"7","45","41"
"8","50","46"
"9","55","51"
"10","60","56"
"11","65","61"
"12","70","66"
"13","75","71"
"14","80","76"
"15","85","81"
"16","90","86"
"17","95","91"
"18","100","96"
"19","105","101"
"20","110","106"
"21","115","111"
"22","120","116"
"23","125","121"
"24","130","126"
"25","135","131"
"26","140","136"
"27","145","141"
"28","150","146"
"29","155","151"
"30","160","156"
"31","165","161"
"32","170","166"
"33","175","171"
"34","180","176"
"35","185","181"
"36","190","186"
"37","195","191"
"38","200","196"
"39","205","201"
"40","210","206"
"41","215","211"
"42","220","216"
"43","225","221"
"44","230","226"
"45","235","231"
"46","240","236"
"47","245","241"
"48","250","246"
"49","255","251"
"50","260","256"
"51","265","261"
"52","270","266"
"53","275","271"
"54","280","276"
"55","285","281"
"56","290","286"
"57","295","291"
"58","300","296"
"59","305","301"
"60","310","306"
"61","315","311"
"62","320","316"
"63","325","321"
"64","330","326"
"65","335","331"
"66","340","336"
"67","345","341"
"68","350","346"
"69","355","351"
"70","360","356"
"71","365","361"
"72","370","366"
"73","375","371"
"74","380","376"
"75","382","381"
"76","-1","383"
