ddb6b523f8c57c1a3d2b2099687b2bee69f09d190919a62529dcce84f457c936,d09e49638c3daede05f388e500340379d76b3eacd18a77970fde3ad6369a5e40,d3115a57d8fd5b3e514b80c798861763fe61d61ecbdcbd757ac0570cf8121214,9b29f37aa57e7d3ad8c50e780f4462af00f2d5d9317edb197b860c35240b0822,46d6c440355c0e9af66bed156cdc2477abcdb2087e14e5eb6dd4badd30f171c1,bf5e972fa9b72dc3a2de8d1fb62e94cdc209c5c427b73234986f91bb3b6deddd,c91e76e1f72c578f09b84ab9a37f062542b25204846e7d96c836304f0ae137b5,335d24f25098eb7836f0384acefd1a63e11d06061b0464002600f76e7043582f,f4fac4540cc26cdf900095fde81d2ff2759b377227982c34cdeda45de45f910e,f24a601afea1d98005dddde1b9a8e99ecb1a300d8cc9269a9e2e87e5199fbea4,48069f189ff9202309b3cf5ef3937c99262bc9bc77d521acd10a5b7dea60a32e,31c1d53a7129479cff795be2ff8bcb2ae44f3e320b886f7d1425ecf5061bec4e,2519cc88de6a931cc093cc027a982ca86c9e95599e024ce41d3d0a7e3cb90a93,25b8f0ddce16b0cfa00509e331b7ef0b2ee8057c672ae0e80ec8dbd5fe83f44b,1f15bd8087c18e26263b906cb310182a3720a17812a0fa663dbd152925ba1927,186d66d03a0e21950999df253953add3709f914d68bd00da9c3d85ed4197a89d
"110010011","0","0","101011","1","0","0","0","0","101281","4","0","0","1","0","4"
"110010021","0","0","101251","1","0","0","0","0","101521","4","0","0","1","0","4"
"110010031","0","0","101161","1","0","0","0","0","101431","4","0","0","1","0","4"
"110010041","0","0","101371","1","0","0","0","0","101551","4","0","0","1","0","4"
"110010051","0","0","101161","1","0","0","0","0","101611","4","0","0","1","0","4"
"110010061","0","0","101071","1","0","0","0","0","101401","4","0","0","1","0","4"
"110010071","0","0","101251","1","0","0","0","0","101581","4","0","0","1","0","4"
"110010081","0","0","101281","1","0","0","0","0","101611","4","0","0","1","0","4"
"110010091","0","0","101131","1","0","0","0","0","101551","4","0","0","1","0","4"
"110010101","0","0","101011","1","0","0","0","0","101611","4","0","0","1","0","4"
"110020011","0","0","101191","1","0","0","0","0","101011","4","0","0","1","0","4"
"110020021","0","0","101251","1","0","0","0","0","101371","4","0","0","1","0","4"
"110020031","0","0","101401","1","0","0","0","0","101551","4","0","0","1","0","4"
"110020041","0","0","101521","1","0","0","0","0","101611","4","0","0","1","0","4"
"110020051","0","0","101281","1","0","0","0","0","101581","4","0","0","1","0","4"
"110020061","0","0","101251","1","0","0","0","0","101611","4","0","0","1","0","4"
"110020071","0","0","101071","1","0","0","0","0","101431","4","0","0","1","0","4"
