33b529296d255791c8ae086a5dfadf12628cc02de4d61aba17c65eb850701326,7ecb08f2b2aee2a92156064ca9463e64abbd69126f2831e45397b9fb75689684,2a988e6a9e735d2fdcf7d1e67cc187fe2607806a39d9a72fbecabfc12076693b,3f4c74944dd767699ca71000c1b901886edc4b372c55085fbbaba94812b4e0a2,c4cf897872caab0f6c798339a627b95120a2d55c416048c7b7e91284633cd24f,1018986534fc283eb4f209e55ad67d0397d3847f3a83323fb222d3ea608b2126,bbdb95f333c56f0f7dfb7098969da0455fa38792d75e960a59191ded1c904838
"20004","ボスNORMAL討伐で解放！","107601","[3C404E]ボスNORMAL討伐で解放！","10","72004021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]"
"20005","ボスNORMAL討伐で解放！","108001","[3C404E]ボスNORMAL討伐で解放！","12","72005021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]"
"20007","ボスNORMAL討伐で解放！","108201","[3C404E]ボスNORMAL討伐で解放！","15","72007021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]"
"20009","ボスNORMAL討伐で解放！","108501","[3C404E]ボスNORMAL討伐で解放！","17","72009021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]"
"20010","ボスNORMAL討伐で解放！","108901","[3C404E]ボスNORMAL討伐で解放！","19","72010021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]"
"20011","ボスNORMAL討伐で解放！","109001","[3C404E]ボスNORMAL討伐で解放！","21","72011021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]"
"20013","ボスNORMAL討伐で解放！","109301","[3C404E]ボスNORMAL討伐で解放！","22","72013021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]"
"20015","ボスNORMAL討伐で解放！","110101","[3C404E]ボスNORMAL討伐で解放！","23","72015021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]"
"20016","ボスNORMAL討伐で解放！","110501","[3C404E]ボスNORMAL討伐で解放！","24","72016021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]"
"20018","ボスNORMAL討伐で解放！","111201","[3C404E]ボスNORMAL討伐で解放！","25","72018021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]"
"20020","ボスNORMAL討伐で解放！","111601","[3C404E]ボスNORMAL討伐で解放！","26","72020021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]"
"20021","ボスNORMAL討伐で解放！","112101","[3C404E]ボスNORMAL討伐で解放！","27","72021021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]"
"20022","ボスNORMAL討伐で解放！","112301","[3C404E]ボスNORMAL討伐で解放！","28","72022021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]"
"20025","ボスNORMAL討伐で解放！","113001","[3C404E]ボスNORMAL討伐で解放！","29","72025021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]"
"20026","ボスNORMAL討伐で解放！","113201","[3C404E]ボスNORMAL討伐で解放！","30","72026021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]"
"20027","ボスNORMAL討伐で解放！","113501","[3C404E]ボスNORMAL討伐で解放！","31","72027021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]"
