1e46d092bf7042bc158510e57021ff3cfbc167f9264feac1940bde7e7d31ba6b,b9621a1062aef490868760cae4e6d79a7b24c99450773699cafbb92caaaa1463,161aa6729a2dba934ca5f953c84f981648ca3ba5ca28b44ddd1caff4732594e3,531163aadb4c71853f24401173bac9b86edd9e382f85fc9be6e51b6b849aabab,fc9261b8d63ad2d9508a16f968c44da4cc8bf681463be4eb5b94906deda1cf45,2522edada5f9c9a4b5a51348c708076df82706a4fa6cad3b5b43fb3edc91ac47,951a0060350a5e39b653742e7af15e9802ac0743a4321e0ee537053170818476
"ツムギのフィギュア","0.3046875","細かいディテールにこだわった躍動感あふれる至高のツムギフィ\nギュア。最高のライブの熱気と感動が鮮明に思い起こされ、日々に\n活力を与えてくれる。","3","1","0.478515625","10101"
"ノゾミのフィギュア","0.365234375","細かいディテールにこだわった躍動感あふれる至高のノゾミフィ\nギュア。最高のライブの熱気と感動が鮮明に思い起こされ、日々に\n活力を与えてくれる。","3","1","0.490234375","10102"
"チカのフィギュア","0.291015625","細かいディテールにこだわった躍動感あふれる至高のチカフィ\nギュア。最高のライブの熱気と感動が鮮明に思い起こされ、日々に\n活力を与えてくれる。","3","1","0.478515625","10103"
"ツムギ直筆サイン色紙","0.440625","ツムギの個性が光る直筆のサイン色紙。想いがこもったメッセージ\nが入っている。家宝にしているファンも多いらしい。","3","2","0.440625","10201"
"ノゾミ直筆サイン色紙","0.440625","ノゾミの個性が光る直筆のサイン色紙。想いがこもったメッセージ\nが入っている。家宝にしているファンも多いらしい。","3","2","0.440625","10202"
"チカ直筆サイン色紙","0.440625","チカの個性が光る直筆のサイン色紙。想いがこもったメッセージ\nが入っている。家宝にしているファンも多いらしい。","3","2","0.440625","10203"
"ツムギのメモリアルピンバッジ","1.40625","ツムギのサマーライブ限定メモリアルピンバッジ。高級感があり、\nおしゃれなデザイン。各メンバーデザインはパーソナルカラーを\n再現。目指せ、フルコンプリート！","3","3","1.40625","10301"
"ノゾミのメモリアルピンバッジ","1.40625","ノゾミのサマーライブ限定メモリアルピンバッジ。高級感があり、\nおしゃれなデザイン。各メンバーデザインはパーソナルカラーを\n再現。目指せ、フルコンプリート！","3","3","1.40625","10302"
"チカのメモリアルピンバッジ","1.40625","チカのサマーライブ限定メモリアルピンバッジ。高級感があり、\nおしゃれなデザイン。各メンバーデザインはパーソナルカラーを\n再現。目指せ、フルコンプリート！","3","3","1.40625","10303"
"カルミナメモリアルピンバッジ","1.40625","サマーライブ開催を記念し作られた限定メモリアルピンバッジ。\nエンブレムが刻印された高級感のある珠玉の一品。各メンバーの\nバッジと一緒にそろえよう！","3","3","1.40625","10304"
"ツムギのブロマイド","1.0875","ツムギのブロマイド。厳選セレクトされた愛らしい表情を眺めれ\nば、ツムギへの熱い思いがいっそう高まること間違いなし。","2","7","0.675","10401"
"ツムギのサマーブロマイド","1.0875","ツムギのサマー衣装のブロマイド。熱い夏を感じさせる、まぶしく\nて魅力的な姿を収めた素晴らしい姿を眺めて、彼女と共に最高の夏\nを。","2","7","0.675","10402"
"ツムギのハロウィンブロマイド","1.0875","ツムギのハロウィン衣装のブロマイドセット。ハロウィンの時しか\n見られない貴重なショットの数々。甘いお菓子と悪戯、どっちも\n魅力的。ハッピーハロウィン！","2","7","0.675","10403"
"ノゾミのブロマイド","1.0875","ノゾミのブロマイド。厳選セレクトされた愛らしい表情を眺めれ\nば、ノゾミへの熱い思いがいっそう高まること間違いなし。","2","7","0.675","10404"
"ノゾミのサマーブロマイド","1.0875","ノゾミのサマー衣装のブロマイド。熱い夏を感じさせる、まぶしく\nて魅力的な姿を収めた素晴らしい姿を眺めて、彼女と共に最高の夏\nを。","2","7","0.675","10405"
"ノゾミのクリスマスブロマイド","1.0875","ノゾミのクリスマス衣装のブロマイド。クリスマスシーズンしか\n見られない貴重な姿は、カルミナファンへの最高のプレゼント。","2","7","0.675","10406"
"チカのブロマイド","1.0875","チカのブロマイド。厳選セレクトされた愛らしい表情を眺めれ\nば、チカへの熱い思いがいっそう高まること間違いなし。","2","7","0.675","10407"
"チカのサマーブロマイド","1.0875","チカのサマー衣装のブロマイド。熱い夏を感じさせる、まぶしく\nて魅力的な姿を収めた素晴らしい姿を眺めて、彼女と共に最高の夏\nを。","2","7","0.675","10408"
"チカのクリスマスブロマイド","1.0875","チカのクリスマス衣装のブロマイド。クリスマスシーズンしか\n見られない貴重な姿は、カルミナファンへの最高のプレゼント。","2","7","0.675","10409"
"ツムギのリストバンド","0.665625","ツムギのネーム入りリストバンド。入退場券の代わりとして肌身\n離さず身につけよう！","3","8","1.0125","10501"
"ノゾミのリストバンド","0.665625","ノゾミのネーム入りリストバンド。入退場券の代わりとして肌身\n離さず身につけよう！","3","8","1.0125","10502"
"チカのリストバンド","0.665625","チカのネーム入りリストバンド。入退場券の代わりとして肌身\n離さず身につけよう！","3","8","1.0125","10503"
"ツムギのポスター","0.365234375","ツムギの華麗な姿を収めた大型ポスター。部屋に貼っておけば、\nいつでもあなただけに向けた彼女の笑顔をひとり占め。今日も明日\nも頑張ろう！","3","10","0.470703125","10601"
"ノゾミのポスター","0.365234375","ノゾミの華麗な姿を収めた大型ポスター。部屋に貼っておけば、\nいつでもあなただけに向けた彼女の笑顔をひとり占め。今日も明日\nも頑張ろう！","3","10","0.470703125","10602"
"チカのポスター","0.365234375","チカの華麗な姿を収めた大型ポスター。部屋に貼っておけば、\nいつでもあなただけに向けた彼女の笑顔をひとり占め。今日も明日\nも頑張ろう！","3","11","0.470703125","10603"
"カルミナのポスター","0.365234375","メンバー３人が写った大迫力の大型ポスター。部屋に貼っておけば\nおはようからおやすみまで、いつでも彼女たちの笑顔に会える。\n今日も明日も頑張ろう！","3","11","0.470703125","10604"
"会場限定会員カード","0.953125","イベント会場でのみ入手できるサマーライブ限定デザインの会員\nカード。会場でしか手に入らないためプレミア度高め。真のファン\nならぜひともゲットしたい。","3","8","0.53125","10701"
"ツムギのマフラータオル","0.443359375","ツムギのパーソナルカラーで彩られたサマーライブデザインの\nマフラータオル。ライブの汗で濡れた肌を拭くことはもちろん、\n応援グッズとして使うことも可能。","2","12","0.4609375","10801"
"ノゾミのマフラータオル","0.443359375","ノゾミのパーソナルカラーで彩られたサマーライブデザインの\nマフラータオル。ライブの汗で濡れた肌を拭くことはもちろん、\n応援グッズとして使うことも可能。","2","12","0.4609375","10802"
"チカのマフラータオル","0.443359375","チカのパーソナルカラーで彩られたサマーライブデザインの\nマフラータオル。ライブの汗で濡れた肌を拭くことはもちろん、\n応援グッズとして使うことも可能。","2","13","0.4609375","10803"
"カルミナのマフラータオル","0.443359375","カルミナのサマーライブデザインのマフラータオル。汎用性の高い\n定番アイテム。ライブの汗で濡れた肌を拭くことはもちろん、応援\nグッズとして使うことも可能。","2","13","0.4609375","10804"
"ツムギの応援うちわ","0.33046875","ツムギの公式応援うちわ。推しへの全力アピールに最適な一品。\nライブ会場での熱狂のお供に！","1","9","0.459375","10901"
"ノゾミの応援うちわ","0.33046875","ノゾミの公式応援うちわ。推しへの全力アピールに最適な一品。\nライブ会場での熱狂のお供に！","1","9","0.459375","10902"
"チカの応援うちわ","0.33046875","チカの公式応援うちわ。推しへの全力アピールに最適な一品。\nライブ会場での熱狂のお供に！","1","9","0.459375","10903"
"カルミナの応援うちわ","0.33046875","カルミナの公式応援うちわ。シンプルなデザインのため、普段使い\nにも最適な一品。いつでもどこでも彼女たちを応援できるぞ。","1","9","0.459375","10904"
"ツムギのステッカー","0.671875","飾ってよし、貼ってよしのかわいいステッカー。目立つところに\nぺたっと貼れば、目に入るたび笑顔になれること間違いなし！","1","5","0.8671875","11001"
"ノゾミのステッカー","0.671875","飾ってよし、貼ってよしのかわいいステッカー。目立つところに\nぺたっと貼れば、目に入るたび笑顔になれること間違いなし！","1","5","0.8671875","11002"
"チカのステッカー","0.671875","飾ってよし、貼ってよしのかわいいステッカー。目立つところに\nぺたっと貼れば、目に入るたび笑顔になれること間違いなし！","1","5","0.8671875","11003"
"ツムギの缶バッジ","0.975","定番グッズの１つ。全種類をコンプリートするのも、同じ種類をた\nくさん集めるのもあなた次第！自分だけのコレクションを作ろう。","1","5","0.975","11101"
"ノゾミの缶バッジ","0.975","定番グッズの１つ。全種類をコンプリートするのも、同じ種類をた\nくさん集めるのもあなた次第！自分だけのコレクションを作ろう。","1","5","0.975","11102"
"チカの缶バッジ","0.975","定番グッズの１つ。全種類をコンプリートするのも、同じ種類をた\nくさん集めるのもあなた次第！自分だけのコレクションを作ろう。","1","5","0.975","11103"
"カルミナライブのペンライト","0.39453125","ライブで一緒に盛り上がるための必携アイテム。いろんな色に切り\n替えができ、場面や曲で使い分けることが可能。カラフルにライブ\nを盛り上げよう。","2","9","0.49609375","11201"
"ツムギのマグカップ","0.65625","ツムギがデザインされたマグカップ。毎日の休憩やティータイムが\nもっと楽しくなるアイテム。彼女との素敵な時間をあなたに。","2","8","0.671875","11301"
