4216f253e1fb17c94030dd7d5ba35c912e3296843922245767898ce34cc84ef6,4cc9bce936ae8787e3a080fc744d5fb439125496590f2b707e68fc7719fd3152,e7444589d543c19707b89917abc737254f961729b1075dddb41072582e8da271,c5cf2d513540e8faf1030fb941f09467b3fcb1cea85d06c669c054e977f1d382,8d04e31a007fbebb3862334538aab109dae048dc82394bf27ec98589d287ae8f,66b4cb4e06d1b2ada5362a56388ed380cea81880fd3bb0bd945f7e43d4ad84c9
"1","1","1","おまかせ","2020-02-15 15:00:00",""
"2","2","2","デフォルト","2020-02-15 15:00:00",""
"3","3","3","アニバーサリー","2020-02-15 15:00:00",""
"1","4","4","ピンク","2020-02-15 15:00:00",""
"1","5","5","レッド","2020-02-15 15:00:00",""
"1","6","6","イエロー","2020-02-15 15:00:00",""
"1","7","7","グリーン","2020-02-15 15:00:00",""
"1","8","8","ライトブルー","2020-02-15 15:00:00",""
"1","9","9","ブルー","2020-02-15 15:00:00",""
"1","10","10","パープル","2020-02-15 15:00:00",""
"1","11","11","グレー","2020-02-15 15:00:00",""
