409e852a8149b174b80d15f07f986b2e9ae91c7c1431ce4877337be126fc6866,5c32d8ce9d85778a7668ea0f26db93cb1b46081f8a59efb1bda618bc3783115e,498eba37f4f38b4245cce49dbc6c40085f43497b45d83c8c601169d51fc42afc,555d656dda9e6b7c18e92f62a30ffed78532f6922ce2416f8798fdc06a3d6b3e,fb36547cedf46fd297a2e1d95332166dfa865d19ead35ce2d0e52497190b1292
"0","0","1","1001","1"
"0","0","1","1002","2"
"0","0","1","1003","3"
"0","0","2","2001","1"
"0","0","2","2002","2"
"0","0","2","2003","3"
"1","0","2","2101","1"
"1","0","2","2102","2"
"1","0","2","2103","3"
"2","10001","2","2111","11"
"2","10001","2","2112","12"
"2","10001","2","2113","13"
"0","0","3","3001","1"
"0","0","3","3002","2"
"0","0","3","3003","3"
"0","0","4","4001","1"
"0","0","4","4002","2"
"0","0","4","4003","3"
"0","0","4","4005","100"
"1","0","5","5010","10101"
"2","1","5","5020","10201"
"2","2","5","5021","10202"
"3","0","5","5030","10301"
"3","1","5","5031","10301"
"4","0","5","5040","10302"
"5","0","5","5050","10303"
"6","0","5","5060","10304"
"1","0","6","6001","90001"
"2","0","6","6002","90001"
"2","1","6","6003","90001"
"3","0","6","6006","90001"
"3","1","6","6007","91101"
"3","2","6","6008","91201"
"3","3","6","6009","91301"
"4","0","6","6010","90001"
"4","1","6","6011","91101"
"4","2","6","6012","91201"
"4","3","6","6013","91301"
"5","0","6","6014","90001"
"5","1","6","6015","91101"
"5","2","6","6016","91201"
"5","3","6","6017","91301"
"0","0","7","7000","90002"
"0","1","7","7001","90002"
"0","2","7","7002","90003"
"2","1","7","7003","90002"
"2","2","7","7004","90003"
"3","1","7","7005","91102"
"3","2","7","7006","91103"
"4","1","7","7007","91102"
"4","2","7","7008","91103"
"5","1","7","7009","91102"
"5","2","7","7010","91103"
"0","0","9","9001","20101"
"0","0","10","10001","20201"
"1","0","10","10002","20202"
"1","0","100","100001","1"
"2","0","100","100002","1"
"3","0","100","100003","2"
"4","0","100","100004","2"
"5","0","100","100005","2"
"98001","0","101","980001","10301"
"98001","2","101","980002","10402"
"98011","1","101","980011","10401"
"98012","2","101","980012","10402"
