7841f5fde411c24151dcbea7f3347970f164f8ad213892d933ee5bf37febfd04,2ccf6024ce5c603ed364be53186221c259a481bdb512007da5d12d98b34efb2a,156bfffc2f3113a76a03172b8a44ccb41048a65ca378cb7177c2c55bb642425d,e51937cefe698ec4311aee10eed3b6664d8d03bac965ee21c1398288b3ebd30d,ef4913135702f39d2255541047440a682221b21dc63a2df147d5563119a6240a
"0","30","1","999","20"
"24","30","2","999","20"
"32","30","3","999","21"
"40","30","4","999","21"
"48","30","5","999","22"
"64","30","6","999","22"
"80","30","7","999","23"
"96","30","8","999","23"
"120","30","9","999","24"
"168","30","10","999","24"
"224","30","11","999","25"
"280","30","12","999","25"
"344","30","13","999","26"
"420","30","14","999","26"
"502","30","15","999","27"
"584","30","16","999","28"
"666","30","17","999","30"
"748","30","18","999","35"
"830","30","19","999","40"
"930","30","20","999","45"
"1040","30","21","999","50"
"1178","30","22","999","55"
"1316","30","23","999","60"
"1458","30","24","999","70"
"1604","30","25","999","80"
"1755","30","26","999","85"
"1910","30","27","999","85"
"2070","30","28","999","86"
"2235","30","29","999","87"
"2405","30","30","999","88"
"2579","30","31","999","89"
"2760","30","32","999","90"
"2945","30","33","999","91"
"3136","30","34","999","92"
"3333","30","35","999","93"
"3535","30","36","999","94"
"3744","30","37","999","95"
"3974","30","38","999","96"
"4226","30","39","999","97"
"4504","30","40","999","98"
"4810","30","41","999","99"
"5152","30","42","999","100"
"5535","30","43","999","101"
"5965","30","44","999","102"
"6446","30","45","999","103"
"7004","30","46","999","104"
"7651","30","47","999","105"
"8401","30","48","999","106"
"9272","30","49","999","107"
"10282","30","50","999","108"
"11454","30","51","999","109"
"12813","30","52","999","110"
"14389","30","53","999","111"
"16159","30","54","999","112"
"17929","30","55","999","113"
"19699","30","56","999","114"
"21469","30","57","999","115"
"23239","30","58","999","116"
"25009","30","59","999","117"
"26779","30","60","999","118"
"28549","30","61","999","119"
"30319","30","62","999","120"
"32089","30","63","999","121"
"33859","30","64","999","122"
"35629","30","65","999","123"
"38284","30","66","999","124"
"40939","30","67","999","125"
"43594","30","68","999","126"
"46249","30","69","999","127"
"48904","30","70","999","128"
"51559","30","71","999","129"
"54214","30","72","999","130"
"56869","30","73","999","131"
"59524","30","74","999","132"
"62179","30","75","999","133"
"64834","30","76","999","134"
"68374","30","77","999","135"
"71914","30","78","999","136"
