5b30a43faad8ad8311e20c188bc54adc5fc661514ce981f293c2a9b8430be00e,624990cf10b5a90be4f2dd7ebe9df606e6229c5b0a008ac2651ab17026dbbeb2,bfff01572ffd8def5edc46e39bc3d61ecaafeb3445e4e982986c676dc72b60bb,fbaa392a4fe8a60bfcb3cde6598da8b21e56cc1de2a8a55afd44e79817b69050,8c323c46a747a5bf1fde8c310dd02ca6809f1ec7c3d310f8fc1f426cf7ff3595,5c66ec96f2bf687e8abee1594c3158c7c7ad14408a409607f9f0df70a437bdef,dd12758354f5579408520405ebd36c5a2cded4442dacd0367205bc379a493882,ade4b530217004b25900f4e22e59034b2644199ad5a0762883ab44b487429af8,2275eee719bd353fc76bf5f83b0fc97f78b250a87afe8047642bf82475a7131a
"5","7","6","22","53003","8","-1","10001","1"
"5","7","6","22","53002","4","-1","10002","1"
"4","6","5","22","53003","6","5","10101","1"
"4","6","5","22","53002","5","5","10102","1"
"3","5","4","22","53003","5","4","10201","1"
"3","5","4","22","53002","5","4","10202","1"
"3","4","3","22","53003","4","3","10301","1"
"3","4","3","22","53002","3","3","10302","1"
"2","3","2","22","53003","3","2","10401","1"
"2","3","2","22","53002","2","2","10402","1"
"1","2","1","22","53003","2","1","10501","1"
"1","2","1","22","53002","1","1","10502","1"
"1","1","0","22","53002","2","0","10601","1"
"5","7","6","22","53003","8","-1","10701","2"
"5","7","6","22","53002","4","-1","10702","2"
"4","6","5","22","53003","6","5","10801","2"
"4","6","5","22","53002","5","5","10802","2"
"3","5","4","22","53003","5","4","10901","2"
"3","5","4","22","53002","5","4","10902","2"
"3","4","3","22","53003","4","3","11001","2"
"3","4","3","22","53002","3","3","11002","2"
"2","3","2","22","53003","3","2","11101","2"
"2","3","2","22","53002","2","2","11102","2"
"1","2","1","22","53003","2","1","11201","2"
"1","2","1","22","53002","1","1","11202","2"
"1","1","0","22","53002","2","0","11301","2"
"5","7","6","22","53003","8","-1","11401","3"
"5","7","6","22","53002","4","-1","11402","3"
"4","6","5","22","53003","6","5","11501","3"
"4","6","5","22","53002","5","5","11502","3"
"3","5","4","22","53003","5","4","11601","3"
"3","5","4","22","53002","5","4","11602","3"
"3","4","3","22","53003","4","3","11701","3"
"3","4","3","22","53002","3","3","11702","3"
"2","3","2","22","53003","3","2","11801","3"
"2","3","2","22","53002","2","2","11802","3"
"1","2","1","22","53003","2","1","11901","3"
"1","2","1","22","53002","1","1","11902","3"
"1","1","0","22","53002","2","0","12001","3"
"5","7","6","22","53003","8","-1","12101","4"
"5","7","6","22","53002","4","-1","12102","4"
"4","6","5","22","53003","6","5","12201","4"
"4","6","5","22","53002","5","5","12202","4"
"3","5","4","22","53003","5","4","12301","4"
"3","5","4","22","53002","5","4","12302","4"
"3","4","3","22","53003","4","3","12401","4"
"3","4","3","22","53002","3","3","12402","4"
"2","3","2","22","53003","3","2","12501","4"
"2","3","2","22","53002","2","2","12502","4"
"1","2","1","22","53003","2","1","12601","4"
"1","2","1","22","53002","1","1","12602","4"
"1","1","0","22","53002","2","0","12701","4"
"5","7","6","22","53003","8","-1","12801","5"
"5","7","6","22","53002","4","-1","12802","5"
"4","6","5","22","53003","6","5","12901","5"
"4","6","5","22","53002","5","5","12902","5"
"3","5","4","22","53003","5","4","13001","5"
"3","5","4","22","53002","5","4","13002","5"
"3","4","3","22","53003","4","3","13101","5"
"3","4","3","22","53002","3","3","13102","5"
"2","3","2","22","53003","3","2","13201","5"
"2","3","2","22","53002","2","2","13202","5"
"1","2","1","22","53003","2","1","13301","5"
"1","2","1","22","53002","1","1","13302","5"
"1","1","0","22","53002","2","0","13401","5"
"5","7","6","22","53003","8","-1","13501","6"
"5","7","6","22","53002","4","-1","13502","6"
"4","6","5","22","53003","6","5","13601","6"
"4","6","5","22","53002","5","5","13702","6"
"3","5","4","22","53003","5","4","13801","6"
"3","5","4","22","53002","5","4","13902","6"
"3","4","3","22","53003","4","3","14001","6"
"3","4","3","22","53002","3","3","14002","6"
"2","3","2","22","53003","3","2","14101","6"
"2","3","2","22","53002","2","2","14102","6"
"1","2","1","22","53003","2","1","14201","6"
"1","2","1","22","53002","1","1","14202","6"
"1","1","0","22","53002","2","0","14301","6"
"5","7","6","22","53003","8","-1","14401","7"
"5","7","6","22","53002","4","-1","14402","7"
"4","6","5","22","53003","6","5","14501","7"
"4","6","5","22","53002","5","5","14502","7"
"3","5","4","22","53003","5","4","14601","7"
"3","5","4","22","53002","5","4","14701","7"
"3","4","3","22","53003","4","3","14801","7"
"3","4","3","22","53002","3","3","14802","7"
"2","3","2","22","53003","3","2","14901","7"
"2","3","2","22","53002","2","2","14902","7"
"1","2","1","22","53003","2","1","15001","7"
"1","2","1","22","53002","1","1","15002","7"
"1","1","0","22","53002","2","0","15101","7"
"5","7","6","22","53003","8","-1","15201","8"
"5","7","6","22","53002","4","-1","15202","8"
"4","6","5","22","53003","6","5","15301","8"
"4","6","5","22","53002","5","5","15302","8"
"3","5","4","22","53003","5","4","15401","8"
"3","5","4","22","53002","5","4","15402","8"
"3","4","3","22","53003","4","3","15501","8"
"3","4","3","22","53002","3","3","15502","8"
"2","3","2","22","53003","3","2","15601","8"
"2","3","2","22","53002","2","2","15602","8"
"1","2","1","22","53003","2","1","15701","8"
"1","2","1","22","53002","1","1","15702","8"
"1","1","0","22","53002","2","0","15901","8"
"5","7","6","22","53003","8","-1","16001","9"
"5","7","6","22","53002","4","-1","16002","9"
"4","6","5","22","53003","6","5","16101","9"
"4","6","5","22","53002","5","5","16102","9"
"3","5","4","22","53003","5","4","16201","9"
"3","5","4","22","53002","5","4","16202","9"
"3","4","3","22","53003","4","3","16301","9"
"3","4","3","22","53002","3","3","16302","9"
"2","3","2","22","53003","3","2","16401","9"
"2","3","2","22","53002","2","2","16402","9"
"1","2","1","22","53003","2","1","16501","9"
"1","2","1","22","53002","1","1","16502","9"
"1","1","0","22","53002","2","0","16601","9"
