f4f0f310685cfe336af506dd8694eecc2f82782869a64c735f18bb78bb12bcce,b53646cf1ef8dcc5298b590261f078e1e5f352fbd7a1da7586e1a7f9b044ff06,994d2df8755660cedd0fbb7b6a507fa1c4ceb7af082d659c03f73699ca9ba49e,15a2044578aa738c6f2c2d0436457210252f00423992dba11ee0c2de8f2309ab,baea566145a7b5626ff774877b84193ba699d779c85613976704b6cba228a283,5bd157e08010df47a706f05c59f50b1b2b20b3cdf198f71b96c23598ebd0d8d5,f17e495600ffa8fb9fa3b9975afee061f2d3a127e2a188b66148603af2335154,e665c0bc55f78257bd061a51a1c7dad81fa1e1f165fe66e1e54d710eea13c017,79183d7069354f8e1bed69b5a042467cf41b3b2a31f3d2dfc2f039ec091c4c8d,afa40dc4bcd9c58298cf5a5bf0a09e30e6a788ef7749fde422de061ca09a2eb3,aee9a77a353090536d72d3248bf7c0a3dce6bd62d439a7adc552bae37e1399a4
"1","","0","","1","0","1","31","1","1021301","1021301001"
"2","","0","","1","0","2","31","1","1021301","1021301002"
"5","","0","","1","0","5","31","1","1021301","1021301003"
"10","","0","","0","0","10","31","1","1021301","1021301004"
"20","","0","","0","0","20","31","1","1021301","1021301005"
"21","","0","","0","0","21","31","1","1021301","1021301006"
"22","","0","","0","0","22","31","1","1021301","1021301007"
"101","","0","","0","0","100","31","1","1021301","1021301008"
"201","","0","","0","0","200","31","1","1021301","1021301009"
"301","","0","","0","0","300","31","1","1021301","1021301010"
"1","empty","27","0","1","0","1","5","-14","1021301","1021301011"
"2","empty","28","0","1","0","2","5","-14","1021301","1021301012"
"2","empty","26","0","1","0","3","5","-14","1021301","1021301013"
"11","empty","25","0","1","0","4","5","-14","1021301","1021301014"
"12","empty","24","0","1","0","5","5","-14","1021301","1021301015"
"11","empty","13","0","1","-10","6","5","-24","1021301","1021301016"
"12","empty","12","0","1","-10","7","5","-24","1021301","1021301017"
"0","empty","29","0","1","0","8","5","-14","1021301","1021301018"
"0","empty","10","0","1","-5","9","5","-19","1021301","1021301019"
"6","","0.63","0","0","0.56","0.23","6","1","1021301","1021301020"
"7","","0.63","0","0","0.56","0.23","6","1","1021301","1021301021"
"9","","0.63","0","0","0.56","0.23","6","1","1021301","1021301022"
"1","","","","","","","141","","1021301","1021301023"
"0","","","","","","","91","","1021301","1021301024"
"0.033","","","","","","0","93","","1021301","1021301025"
"se_10067600","","0","","","","se_obtent_10213_drama_cook_lyrael","23","","1021301","1021301026"
"1","","0","0","0","","raira_cook","3","","1021301","1021301027"
"2","","0","0","0","","raira_cook","3","","1021301","1021301028"
"3","","0","0","0","","raira_end","3","","1021301","1021301029"
"4","","0","0","0","","raira_cook","3","","1021301","1021301030"
"5","","0","0","0","","raira_white","3","","1021301","1021301031"
"6","","0","0","0","","raira_cook","3","","1021301","1021301032"
"7","","0","0","0","","raira_white","3","","1021301","1021301033"
"8","","0","0","0","","raira_cook","3","","1021301","1021301034"
"9","","0","0","0","","raira_cook_w","3","","1021301","1021301035"
"3","","","","","","0","93","","1021301","1021301036"
"vo_obtent_1021301","","0","","","0","vo_obtent_1021301_01","21","","1021301","1021301037"
"2.366","","","","","","0","93","","1021301","1021301038"
"1021301040","","","","","","","101","","1021301","1021301039"
"se_obtent_10213_drama_cook_lyrael","","","","","","0","24","","1021301","1021301040"
"0","","","","","","0","22","","1021301","1021301041"
"1","","1","0","0","1","1","6","0","1021301","1021301042"
"2","","1","0","0","1","1","6","0","1021301","1021301043"
"3","","1","0","0","1","1","6","0","1021301","1021301044"
"4","","1","0","0","1","1","6","0","1021301","1021301045"
"5","","1","0","0","1","1","6","0","1021301","1021301046"
"6","","1","0","0","1","1","6","0","1021301","1021301047"
"7","","1","0","0","1","1","6","0","1021301","1021301048"
"8","","1","0","0","1","1","6","0","1021301","1021301049"
"9","","1","0","0","1","1","6","0","1021301","1021301050"
"1","","","","","","eat","37","","1021301","1021301051"
"2","","","","","","0","32","","1021301","1021301052"
"5","","","","","","0","32","","1021301","1021301053"
"10","","","","","","1","32","","1021301","1021301054"
"100","","","","","","1","32","","1021301","1021301055"
"se_10067600","","0","","","","se_obtent_10213_drama_eat","23","","1021301","1021301056"
"0","","","","","","0","93","","1021301","1021301057"
"vo_obtent_1021301","","0","","","0","vo_obtent_1021301_02","21","","1021301","1021301058"
"2.8","","","","","","0","93","","1021301","1021301059"
"vo_obtent_1021301","","0","","","0","vo_obtent_1021301_03","21","","1021301","1021301060"
"2.6","","","","","","0","93","","1021301","1021301061"
"2","","","","","","","26","","1021301","1021301062"
"vo_obtent_1021301","","0","","","0","vo_obtent_1021301_04","21","","1021301","1021301063"
"2.5","","","","","","0","93","","1021301","1021301064"
"1021301066","","","","","","","101","","1021301","1021301065"
"10","","","","","","0","32","","1021301","1021301066"
"100","","","","","","0","32","","1021301","1021301067"
"20","","","","","","1","32","","1021301","1021301068"
"200","","","","","","1","32","","1021301","1021301069"
"300","","","","","","1","32","","1021301","1021301070"
"se_obtent_10213_drama_eat","","","","","","0","24","","1021301","1021301071"
"0","","","","","","0","22","","1021301","1021301072"
"vo_obtent_1021301","","0","","","0","vo_obtent_1021301_05","21","","1021301","1021301073"
"bgm_MC319A","","","","","","bgm_MC319A","25","","1021301","1021301074"
"se_10067600","","0","","","","se_obtent_10213_drama_break_1","23","","1021301","1021301075"
"3.5","","","","","","0","93","","1021301","1021301076"
"1021301078","","","","","","","101","","1021301","1021301077"
"20","","","","","","break_2","37","","1021301","1021301078"
"200","","","","","","break_2","37","","1021301","1021301079"
"300","","","","","","break_2","37","","1021301","1021301080"
"se_obtent_10213_drama_break_1","","","","","","0","24","","1021301","1021301081"
"0","","","","","","0","22","","1021301","1021301082"
"vo_obtent_1021301","","0","","","0","vo_obtent_1021301_06","21","","1021301","1021301083"
"se_10067600","","0","","","","se_obtent_10213_drama_break_2","23","","1021301","1021301084"
"4","","","","","","0","93","","1021301","1021301085"
"1021301087","","","","","","","101","","1021301","1021301086"
"20","","","","","","break_3","37","","1021301","1021301087"
"200","","","","","","break_3","37","","1021301","1021301088"
"300","","","","","","break_3","37","","1021301","1021301089"
"se_obtent_10213_drama_break_2","","","","","","0","24","","1021301","1021301090"
"0","","","","","","0","22","","1021301","1021301091"
"vo_obtent_1021301","","0","","","0","vo_obtent_1021301_07","21","","1021301","1021301092"
"se_10067600","","0","","","","se_obtent_10213_drama_break_3","23","","1021301","1021301093"
"5","","","","","","0","93","","1021301","1021301094"
"1021301096","","","","","","","101","","1021301","1021301095"
"300","","","","","","break_4","37","","1021301","1021301096"
"21","","","","","","1","32","","1021301","1021301097"
"0.2","","","","","","0","93","","1021301","1021301098"
"0","","","","","","","141","","1021301","1021301099"
"0.1","","","","","","0","93","","1021301","1021301100"
"","","","","","","","92","","1021301","1021301101"
"1021301103","","","","","","","101","","1021301","1021301102"
"se_obtent_10213_drama_break_3","","","","","","0","24","","1021301","1021301103"
"0","","","","","","0","22","","1021301","1021301104"
"22","","","","","","1","32","","1021301","1021301105"
"0.4","","","","","","0","93","","1021301","1021301106"
"1","","0","","1","0","1","31","1","1021302","1021302001"
"2","","0","","1","0","2","31","1","1021302","1021302002"
"5","","0","","1","0","5","31","1","1021302","1021302003"
"10","","0","","0","0","10","31","1","1021302","1021302004"
"20","","0","","0","0","20","31","1","1021302","1021302005"
"21","","0","","0","0","21","31","1","1021302","1021302006"
"22","","0","","0","0","22","31","1","1021302","1021302007"
"102","","0","","0","0","100","31","1","1021302","1021302008"
"202","","0","","0","0","200","31","1","1021302","1021302009"
"302","","0","","0","0","300","31","1","1021302","1021302010"
"1","empty","27","0","1","0","1","5","-14","1021302","1021302011"
"2","empty","28","0","1","0","2","5","-14","1021302","1021302012"
"2","empty","26","0","1","0","3","5","-14","1021302","1021302013"
"11","empty","25","0","1","0","4","5","-14","1021302","1021302014"
"12","empty","24","0","1","0","5","5","-14","1021302","1021302015"
"11","empty","13","0","1","-10","6","5","-24","1021302","1021302016"
"12","empty","12","0","1","-10","7","5","-24","1021302","1021302017"
"0","empty","29","0","1","0","8","5","-14","1021302","1021302018"
"0","empty","10","0","1","-5","9","5","-19","1021302","1021302019"
"6","","0.63","0","0","0.56","0.23","6","1","1021302","1021302020"
"7","","0.63","0","0","0.56","0.23","6","1","1021302","1021302021"
"9","","0.63","0","0","0.56","0.23","6","1","1021302","1021302022"
"1","","","","","","","141","","1021302","1021302023"
"0","","","","","","","91","","1021302","1021302024"
"0.033","","","","","","0","93","","1021302","1021302025"
"se_10067600","","0","","","","se_obtent_10213_drama_cook_lyrael","23","","1021302","1021302026"
"1","","0","0","0","","raira_cook","3","","1021302","1021302027"
"2","","0","0","0","","raira_cook","3","","1021302","1021302028"
"3","","0","0","0","","raira_end","3","","1021302","1021302029"
"4","","0","0","0","","raira_cook","3","","1021302","1021302030"
"5","","0","0","0","","raira_white","3","","1021302","1021302031"
"6","","0","0","0","","raira_cook","3","","1021302","1021302032"
"7","","0","0","0","","raira_white","3","","1021302","1021302033"
"8","","0","0","0","","raira_cook","3","","1021302","1021302034"
"9","","0","0","0","","raira_cook_w","3","","1021302","1021302035"
"3","","","","","","0","93","","1021302","1021302036"
"vo_obtent_1021302","","0","","","0","vo_obtent_1021302_01","21","","1021302","1021302037"
"2.366","","","","","","0","93","","1021302","1021302038"
"1021302040","","","","","","","101","","1021302","1021302039"
"se_obtent_10213_drama_cook_lyrael","","","","","","0","24","","1021302","1021302040"
"0","","","","","","0","22","","1021302","1021302041"
"1","","1","0","0","1","1","6","0","1021302","1021302042"
"2","","1","0","0","1","1","6","0","1021302","1021302043"
"3","","1","0","0","1","1","6","0","1021302","1021302044"
"4","","1","0","0","1","1","6","0","1021302","1021302045"
"5","","1","0","0","1","1","6","0","1021302","1021302046"
"6","","1","0","0","1","1","6","0","1021302","1021302047"
"7","","1","0","0","1","1","6","0","1021302","1021302048"
"8","","1","0","0","1","1","6","0","1021302","1021302049"
"9","","1","0","0","1","1","6","0","1021302","1021302050"
"1","","","","","","eat","37","","1021302","1021302051"
"2","","","","","","0","32","","1021302","1021302052"
"5","","","","","","0","32","","1021302","1021302053"
"10","","","","","","1","32","","1021302","1021302054"
"100","","","","","","1","32","","1021302","1021302055"
"se_10067600","","0","","","","se_obtent_10213_drama_eat","23","","1021302","1021302056"
"0","","","","","","0","93","","1021302","1021302057"
"vo_obtent_1021302","","0","","","0","vo_obtent_1021302_02","21","","1021302","1021302058"
"2.8","","","","","","0","93","","1021302","1021302059"
"vo_obtent_1021302","","0","","","0","vo_obtent_1021302_03","21","","1021302","1021302060"
"2.6","","","","","","0","93","","1021302","1021302061"
"2","","","","","","","26","","1021302","1021302062"
"vo_obtent_1021302","","0","","","0","vo_obtent_1021302_04","21","","1021302","1021302063"
"2.5","","","","","","0","93","","1021302","1021302064"
"1021302066","","","","","","","101","","1021302","1021302065"
"10","","","","","","0","32","","1021302","1021302066"
"100","","","","","","0","32","","1021302","1021302067"
"20","","","","","","1","32","","1021302","1021302068"
"200","","","","","","1","32","","1021302","1021302069"
"300","","","","","","1","32","","1021302","1021302070"
"se_obtent_10213_drama_eat","","","","","","0","24","","1021302","1021302071"
"0","","","","","","0","22","","1021302","1021302072"
"vo_obtent_1021302","","0","","","0","vo_obtent_1021302_05","21","","1021302","1021302073"
"bgm_MC319A","","","","","","bgm_MC319A","25","","1021302","1021302074"
"se_10067600","","0","","","","se_obtent_10213_drama_break_1","23","","1021302","1021302075"
"3.5","","","","","","0","93","","1021302","1021302076"
"1021302078","","","","","","","101","","1021302","1021302077"
"20","","","","","","break_2","37","","1021302","1021302078"
"200","","","","","","break_2","37","","1021302","1021302079"
"300","","","","","","break_2","37","","1021302","1021302080"
"se_obtent_10213_drama_break_1","","","","","","0","24","","1021302","1021302081"
"0","","","","","","0","22","","1021302","1021302082"
"vo_obtent_1021302","","0","","","0","vo_obtent_1021302_06","21","","1021302","1021302083"
"se_10067600","","0","","","","se_obtent_10213_drama_break_2","23","","1021302","1021302084"
"4","","","","","","0","93","","1021302","1021302085"
"1021302087","","","","","","","101","","1021302","1021302086"
"20","","","","","","break_3","37","","1021302","1021302087"
"200","","","","","","break_3_02","37","","1021302","1021302088"
"300","","","","","","break_3","37","","1021302","1021302089"
"se_obtent_10213_drama_break_2","","","","","","0","24","","1021302","1021302090"
"0","","","","","","0","22","","1021302","1021302091"
"vo_obtent_1021302","","0","","","0","vo_obtent_1021302_07","21","","1021302","1021302092"
"se_10067600","","0","","","","se_obtent_10213_drama_break_3","23","","1021302","1021302093"
"5","","","","","","0","93","","1021302","1021302094"
"1021302096","","","","","","","101","","1021302","1021302095"
"300","","","","","","break_4","37","","1021302","1021302096"
"21","","","","","","1","32","","1021302","1021302097"
"0.2","","","","","","0","93","","1021302","1021302098"
"0","","","","","","","141","","1021302","1021302099"
"0.1","","","","","","0","93","","1021302","1021302100"
"","","","","","","","92","","1021302","1021302101"
"1021302103","","","","","","","101","","1021302","1021302102"
"se_obtent_10213_drama_break_3","","","","","","0","24","","1021302","1021302103"
"0","","","","","","0","22","","1021302","1021302104"
"22","","","","","","1","32","","1021302","1021302105"
"0.4","","","","","","0","93","","1021302","1021302106"
"1","","0","","1","0","1","31","1","1021303","1021303001"
"2","","0","","1","0","2","31","1","1021303","1021303002"
"5","","0","","1","0","5","31","1","1021303","1021303003"
"10","","0","","0","0","10","31","1","1021303","1021303004"
"20","","0","","0","0","20","31","1","1021303","1021303005"
"21","","0","","0","0","21","31","1","1021303","1021303006"
"22","","0","","0","0","22","31","1","1021303","1021303007"
"103","","0","","0","0","100","31","1","1021303","1021303008"
"203","","0","","0","0","200","31","1","1021303","1021303009"
"303","","0","","0","0","300","31","1","1021303","1021303010"
"1","empty","27","0","1","0","1","5","-14","1021303","1021303011"
"2","empty","28","0","1","0","2","5","-14","1021303","1021303012"
"2","empty","26","0","1","0","3","5","-14","1021303","1021303013"
"11","empty","25","0","1","0","4","5","-14","1021303","1021303014"
"12","empty","24","0","1","0","5","5","-14","1021303","1021303015"
"11","empty","13","0","1","-10","6","5","-24","1021303","1021303016"
"12","empty","12","0","1","-10","7","5","-24","1021303","1021303017"
"0","empty","29","0","1","0","8","5","-14","1021303","1021303018"
"0","empty","10","0","1","-5","9","5","-19","1021303","1021303019"
"6","","0.63","0","0","0.56","0.23","6","1","1021303","1021303020"
"7","","0.63","0","0","0.56","0.23","6","1","1021303","1021303021"
"9","","0.63","0","0","0.56","0.23","6","1","1021303","1021303022"
"1","","","","","","","141","","1021303","1021303023"
"0","","","","","","","91","","1021303","1021303024"
"0.033","","","","","","0","93","","1021303","1021303025"
"se_10067600","","0","","","","se_obtent_10213_drama_cook_lyrael","23","","1021303","1021303026"
"1","","0","0","0","","raira_cook","3","","1021303","1021303027"
"2","","0","0","0","","raira_cook","3","","1021303","1021303028"
"3","","0","0","0","","raira_end","3","","1021303","1021303029"
"4","","0","0","0","","raira_cook","3","","1021303","1021303030"
"5","","0","0","0","","raira_white","3","","1021303","1021303031"
"6","","0","0","0","","raira_cook","3","","1021303","1021303032"
"7","","0","0","0","","raira_white","3","","1021303","1021303033"
"8","","0","0","0","","raira_cook","3","","1021303","1021303034"
"9","","0","0","0","","raira_cook_w","3","","1021303","1021303035"
"3","","","","","","0","93","","1021303","1021303036"
"vo_obtent_1021303","","0","","","0","vo_obtent_1021303_01","21","","1021303","1021303037"
"2.366","","","","","","0","93","","1021303","1021303038"
"1021303040","","","","","","","101","","1021303","1021303039"
"se_obtent_10213_drama_cook_lyrael","","","","","","0","24","","1021303","1021303040"
"0","","","","","","0","22","","1021303","1021303041"
"1","","1","0","0","1","1","6","0","1021303","1021303042"
"2","","1","0","0","1","1","6","0","1021303","1021303043"
"3","","1","0","0","1","1","6","0","1021303","1021303044"
"4","","1","0","0","1","1","6","0","1021303","1021303045"
"5","","1","0","0","1","1","6","0","1021303","1021303046"
"6","","1","0","0","1","1","6","0","1021303","1021303047"
"7","","1","0","0","1","1","6","0","1021303","1021303048"
"8","","1","0","0","1","1","6","0","1021303","1021303049"
"9","","1","0","0","1","1","6","0","1021303","1021303050"
"1","","","","","","eat","37","","1021303","1021303051"
"2","","","","","","0","32","","1021303","1021303052"
"5","","","","","","0","32","","1021303","1021303053"
"10","","","","","","1","32","","1021303","1021303054"
"100","","","","","","1","32","","1021303","1021303055"
"se_10067600","","0","","","","se_obtent_10213_drama_eat","23","","1021303","1021303056"
"0","","","","","","0","93","","1021303","1021303057"
"vo_obtent_1021303","","0","","","0","vo_obtent_1021303_02","21","","1021303","1021303058"
