aaef73d90408262846355a1e4f189cd5373952f04fbd2b55b306728ef7b19083,6292f2e9b9088b00bed9d9c3ebffb21529e1288c43742c54a512f3f187a5affe,ca7c693ad78c540f1dd5f24fd7f9cdd687cc64f2258d346f893b26c26c059822,a59bf5fd2cbdae2f0b2b902bddc8b4b7476d169e25be41cea4f945895f76b156,e8181493b2cca02c76d8a1927fa90cdf6f055cf053124a0e3fa1e3063458e4ba,189ce6677b7340c9f30c7f831020ce6fe4d5d5c5ea6a2cae70cc6d83fcc3604a,81c6d619150fcc7299287f9e89716883d4ad0fbb4b8e498a1eaf4360e487962e,5b1f6a9085727fd8563c282977197d53ccbf04b55d6b28e0548cb1c322c44914,138bbe3f9016227f6cdd673004a989e611ff6dc6af3ab8794da7f37ab3f979e2,91cff7c4e7f0fffe958f16dbca41f85f49045d57883e06db20de42b0f14f63f8,6e074b40295cd5039931343504f003367cd76c888f0db44e747e4cda1de824ee,7a119ca0de4ecf1a9a637d1c819e651dfa920701aa34c8e9114af6598c95aa03,260a355421f2eddff68ed09c1ea4382227c045d28ee1c01b5309b022d61dcc22,b155342590c9cd800cadd03fbf5ca3f12b1e65bbbcc5c04ac2b7547e8ec8a3ff
"1","34","1","0","2018/03/06 05:00:00","0","2018/03/13 04:59:59","0","1","0","-1","30","2000","103"
"2","44","1","0","2018/03/06 05:00:00","0","2018/03/13 04:59:59","0","1","0","-1","40","2000","103"
"3","45","1","0","2018/03/13 05:00:00","0","2018/03/20 04:59:59","0","1","0","-1","40","2000","104"
"4","31","1","0","2018/03/20 05:00:00","0","2018/03/26 04:59:59","0","1","0","-1","30","2000","101"
"5","41","1","0","2018/03/20 05:00:00","0","2018/03/26 04:59:59","0","1","0","-1","40","2000","101"
"6","32","1","0","2018/03/26 05:00:00","0","2018/03/31 04:59:59","0","1","0","-1","30","2000","102"
"7","42","1","0","2018/03/26 05:00:00","0","2018/03/31 04:59:59","0","1","0","-1","40","2000","102"
"8","34","1","0","2018/03/31 05:00:00","0","2018/04/10 04:59:59","0","1","0","-1","30","2000","103"
"9","44","1","0","2018/03/31 05:00:00","0","2018/04/10 04:59:59","0","1","0","-1","40","2000","103"
"10","45","1","0","2018/04/10 05:00:00","0","2018/04/20 04:59:59","0","1","0","-1","40","2000","104"
"11","31","1","0","2018/04/20 05:00:00","0","2018/04/25 04:59:59","0","1","0","-1","30","2000","101"
"12","41","1","0","2018/04/20 05:00:00","0","2018/04/25 04:59:59","0","1","0","-1","40","2000","101"
"13","32","1","0","2018/04/25 05:00:00","0","2018/04/30 04:59:59","0","1","0","-1","30","2000","102"
"14","42","1","0","2018/04/25 05:00:00","0","2018/04/30 04:59:59","0","1","0","-1","40","2000","102"
"15","34","1","0","2018/04/30 05:00:00","0","2018/05/11 04:59:59","0","1","0","-1","30","2000","103"
"16","44","1","0","2018/04/30 05:00:00","0","2018/05/11 04:59:59","0","1","0","-1","40","2000","103"
"17","45","1","0","2018/05/11 05:00:00","0","2018/05/22 04:59:59","0","1","0","-1","40","2000","104"
"18","31","1","0","2018/05/22 05:00:00","0","2018/05/28 04:59:59","0","1","0","-1","30","2000","101"
