5860dbd57908b01736b565866a7e439092345a61ed029dbd4a04456bd1ac8f3c,81427aea6a8110e8b0081d7a8daf1b9ef86aa135e5a91f41e66c8ba0289b8483,2d50d4c74e466e7ce6b9d1c2ab4d1f06831a89c6929eeea38c488fc262b36a4b,7b6b36ee2b702879e36281aa24142d2bd0435c8cdb6eecf036db514a64005607,0aa6e00bfe2dfa6ad7c95bc903661d5e8354c22d5c063a654519a52f5c5f9ab5,428efeed124b7035cafd92d52c6050b34c337619f539c6016157075b8051183e,ddf64184b2e23b4d90d2e52cc64df3f1d18a93865f8cbf4f0c2ec5dc0059ad9d,f9a0daf44c1eec4575ab73ef0abb2fe336532e295accfcc66cfd650142029019,405186c31ea88c5bcd3f6e81636dfb8f1421052bd045ee7e3b7aaee0a5a35678
"1001","100101","全難易度合計で10000pt獲得しよう","1","0","10000","100101","1001","0"
"1001","100102","全難易度合計で30000pt獲得しよう","1","0","30000","100102","1001","0"
"1001","100103","全難易度合計で50000pt獲得しよう","1","0","50000","100103","1001","0"
"1001","100104","全難易度合計で70000pt獲得しよう","1","0","70000","100104","1001","0"
"1001","100105","全難易度合計で90000pt獲得しよう","1","1","90000","100105","1001","0"
"1001","100106","全難易度合計で105000pt獲得しよう","1","1","105000","100106","1001","0"
"1001","100107","全難易度合計で120000pt獲得しよう","1","1","120000","100107","1001","0"
"1001","100108","全難易度合計で135000pt獲得しよう","1","1","135000","100108","1001","0"
"1001","100109","難易度NORMAL1で1回戦おう","1","2","0","100109","1002","1"
"1001","100110","難易度NORMAL2で1回戦おう","1","2","0","100110","1003","1"
"1001","100111","難易度NORMAL3で1回戦おう","1","2","0","100111","1004","1"
"1001","100112","難易度NORMALで10000pt獲得しよう","1","3","10000","100112","1001","1"
"1001","100113","難易度NORMALで20000pt獲得しよう","1","3","20000","100113","1001","1"
"1001","100114","難易度NORMALで30000pt獲得しよう","1","3","30000","100114","1001","1"
"1001","100115","難易度HARD1で1回戦おう","1","4","0","100115","1002","2"
"1001","100116","難易度HARD2で1回戦おう","1","4","0","100116","1003","2"
"1001","100117","難易度HARD3で1回戦おう","1","4","0","100117","1004","2"
"1001","100118","難易度HARDで15000pt獲得しよう","1","5","15000","100118","1001","2"
"1001","100119","難易度HARDで30000pt獲得しよう","1","5","30000","100119","1001","2"
"1001","100120","難易度HARDで45000pt獲得しよう","1","5","45000","100120","1001","2"
"1001","100121","難易度EXTRA1で1回戦おう","1","6","0","100121","1002","3"
"1001","100122","難易度EXTRA2で1回戦おう","1","6","0","100122","1003","3"
