1ec154d443240637119170b43b755cf2e684d8dc0f65ae2e13057ed14384811a,d3e684c802abcf6dd88f20d271568bf5318ae72fd3028a319a7c021e00edc7bb,a5a6d775f90f7e7a0f82904bd59431b2fba107bbfaf13110f306dc0d74893721,4d8097277496597bd976f9a8ee0485888e0e5ccb7e43f7dc170b99f7b22105dd,e2ff076adb1aa8fc860c8b7e13162f1d6873d6d828619409d77044292f0102fa,6298227ebc1c1bb9b1b3a33a28aa4340337dfced663c7d82dbab8531f8c8e131
"212","1","211","802100290","2114001","1005"
"212","1","211","802100290","2114002","1006"
"212","1","211","802100290","2114003","1007"
"212","1","211","802100290","2114004","1008"
"100","0","104","802100266","2113061","100501"
"100","0","104","802100266","2113062","100502"
"102","0","105","802100266","2113063","100503"
"103","0","106","802100266","2113064","100504"
"100","0","104","802100266","2113065","100505"
"100","0","104","802100266","2113066","100506"
"102","0","105","802100266","2113067","100507"
"103","0","106","802100266","2113068","100508"
"100","0","104","802100266","2113069","100509"
"100","0","104","802100266","2113070","100510"
"100","0","104","802100267","2113071","100511"
"100","0","104","802100267","2113072","100512"
"102","0","105","802100267","2113073","100513"
"103","0","106","802100267","2113074","100514"
"100","0","104","802100267","2113075","100515"
"100","0","104","802100267","2113076","100516"
"102","0","105","802100267","2113077","100517"
"103","0","106","802100267","2113078","100518"
"100","0","104","802100267","2113079","100519"
"100","0","104","802100267","2113080","100520"
"100","0","104","802100268","2113081","100521"
"100","0","104","802100268","2113082","100522"
"102","0","105","802100268","2113083","100523"
"103","0","106","802100268","2113084","100524"
"100","0","104","802100268","2113085","100525"
"112","1","208","802100268","2113086","100526"
"110","1","201","802100268","2113087","100527"
"100","0","104","802100268","2113088","100528"
"102","0","105","802100268","2113089","100529"
"103","0","106","802100268","2113090","100530"
"114","1","203","802100263","2113031","100601"
"113","1","202","802100263","2113032","100602"
"102","0","105","802100263","2113033","100603"
"103","0","106","802100263","2113034","100604"
"114","1","203","802100263","2113035","100605"
"113","1","202","802100263","2113036","100606"
"111","1","204","802100263","2113037","100607"
"113","1","202","802100263","2113038","100608"
"113","1","202","802100263","2113039","100609"
"103","0","106","802100263","2113040","100610"
"114","1","203","802100264","2113041","100611"
"113","1","202","802100264","2113042","100612"
"102","0","105","802100264","2113043","100613"
"103","0","106","802100264","2113044","100614"
"114","1","203","802100264","2113045","100615"
"113","1","202","802100264","2113046","100616"
"111","1","204","802100264","2113047","100617"
"113","1","202","802100264","2113048","100618"
"113","1","202","802100264","2113049","100619"
"103","0","106","802100264","2113050","100620"
"102","0","105","802100265","2113051","100621"
"114","1","203","802100265","2113052","100622"
"113","1","202","802100265","2113053","100623"
"111","1","204","802100265","2113054","100624"
"103","0","106","802100265","2113055","100625"
"112","1","208","802100265","2113056","100626"
"110","1","201","802100265","2113057","100627"
"114","1","203","802100265","2113058","100628"
"113","1","202","802100265","2113059","100629"
"103","0","106","802100265","2113060","100630"
"112","1","205","802100269","2113091","100701"
"112","1","206","802100269","2113092","100702"
"117","0","102","802100269","2113093","100703"
"102","0","105","802100269","2113094","100704"
"102","0","105","802100269","2113095","100705"
"113","1","202","802100269","2113096","100706"
"114","1","203","802100269","2113097","100707"
"117","0","102","802100269","2113098","100708"
"102","0","105","802100269","2113099","100709"
"113","1","202","802100269","2113100","100710"
"112","1","205","802100270","2115001","100711"
"117","0","102","802100270","2115002","100712"
"102","0","105","802100270","2115003","100713"
"103","0","106","802100270","2115004","100714"
"114","1","203","802100270","2115005","100715"
"113","1","202","802100270","2115006","100716"
"112","1","207","802100270","2115007","100717"
"102","0","105","802100270","2115008","100718"
"103","0","106","802100270","2115009","100719"
"113","1","202","802100270","2115010","100720"
"112","1","205","802100271","2115011","100721"
"112","1","208","802100271","2115012","100722"
"117","0","102","802100271","2115013","100723"
"102","0","105","802100271","2115014","100724"
"103","0","106","802100271","2115015","100725"
"112","1","208","802100271","2115016","100726"
"110","1","201","802100271","2115017","100727"
"117","0","102","802100271","2115018","100728"
"102","0","105","802100271","2115019","100729"
"103","0","106","802100271","2115020","100730"
"104","0","103","802100260","2113001","100801"
"100","0","104","802100260","2113002","100802"
"100","0","104","802100260","2113003","100803"
"102","0","105","802100260","2113004","100804"
"102","0","105","802100260","2113005","100805"
"100","0","104","802100260","2113006","100806"
"100","0","104","802100260","2113007","100807"
"102","0","105","802100260","2113008","100808"
"102","0","105","802100260","2113009","100809"
"101","0","107","802100260","2113010","100810"
"104","0","103","802100261","2113011","100811"
"100","0","104","802100261","2113012","100812"
"100","0","104","802100261","2113013","100813"
"102","0","105","802100261","2113014","100814"
"103","0","106","802100261","2113015","100815"
"100","0","104","802100261","2113016","100816"
"100","0","104","802100261","2113017","100817"
"102","0","105","802100261","2113018","100818"
"103","0","106","802100261","2113019","100819"
"100","0","104","802100261","2113020","100820"
"104","0","103","802100262","2113021","100821"
"100","0","104","802100262","2113022","100822"
"100","0","104","802100262","2113023","100823"
"102","0","105","802100262","2113024","100824"
"102","0","105","802100262","2113025","100825"
"112","1","208","802100262","2113026","100826"
"110","1","201","802100262","2113027","100827"
"102","0","105","802100262","2113028","100828"
"103","0","106","802100262","2113029","100829"
"104","0","103","802100262","2113030","100830"
