83e4ae333e02314537f8408c6f9c211f46ee553f1b5413d3ce421949d209b51f,6308c51bde2ef06fb818d944d90d70f3bcf51c8cb2a20ab472009d312f270036,0b031313a78deddff2b87040b4fe32aa33443e415551ef7b40f1728081fe408a,c770f607e31d15942185539b21c2c436f1ee6f7be2474ab418b4149530b8616b,9f7bb5b4a81200f0518f95922b7279821c0f07e9c0dd39fad4f7250211a9f779,81cb3ab86ae883dd467eefafb972739d32f8bc45d78b8b1ee6ad39d679d7f1d5,6c5adbb5aa8379fc1ce44462d0937a886c2de10c10304f2224f0b6482a2ff3ed,a6b9af30896baf1c964d73962048209051444888fb9e37c648113ebb289fc5b7,70a03c2cbd0bdd3061b2c4f7edb5c1af06e7ec87275f70e7fd33195a9ee63642,606fe62c19198dbf70eb65bca84b7632ae2be3bbca3d22d98d348fc2d9dceece,541221b4adfa6e70381f96d6d4d5cfd820dc83bd52907cb16f8d6200449d3105
"25015","10","91002","285001001","2","25021","1","8","8","2","31"
"25015","10","91002","285001002","2","25021","2","8","8","2","31"
"25015","10","91002","285001003","2","25021","3","8","8","2","32"
"25015","10","91002","285001004","2","25021","4","8","8","2","32"
"25015","10","91002","285001005","2","25021","5","8","8","2","33"
"25015","10","91002","285001006","2","25021","6","9","8","2","33"
"25015","10","91002","285001007","2","25021","7","9","8","2","34"
"25015","10","91002","285001008","2","25021","8","9","8","2","35"
"25015","10","91002","285001009","2","25021","9","9","8","2","35"
"25015","30","91002","285001010","2","25021","10","10","8","2","37"
"25015","10","91002","285001011","2","25021","11","10","8","2","41"
"25015","10","91002","285001012","2","25021","12","11","8","2","43"
"25015","10","91002","285001013","2","25021","13","11","8","2","46"
"25015","10","91002","285001014","2","25021","14","12","8","2","48"
"25015","10","91002","285001015","2","25021","15","12","8","2","50"
"25015","10","91002","285001016","2","25021","16","13","8","2","53"
"25015","10","91002","285001017","2","25021","17","14","8","2","55"
"25015","10","91002","285001018","2","25021","18","14","8","2","58"
"25015","10","91002","285001019","2","25021","19","15","8","2","60"
"25015","30","91002","285001020","2","25021","20","15","8","2","62"
"25015","10","91002","285001021","2","25021","21","16","8","2","68"
"25015","10","91002","285001022","2","25021","22","16","8","2","70"
"25015","10","91002","285001023","2","25021","23","16","8","2","72"
"25015","10","91002","285001024","2","25021","24","17","8","2","75"
"25015","10","91002","285001025","2","25021","25","18","8","2","77"
"25015","10","91002","285001026","2","25021","26","18","8","2","79"
"25015","10","91002","285001027","2","25021","27","19","8","2","82"
"25015","10","91002","285001028","2","25021","28","19","8","2","84"
"25015","10","91002","285001029","2","25021","29","19","8","2","86"
"25015","30","91002","285001030","2","25021","30","20","8","2","89"
"25015","10","91002","285001031","2","25021","31","20","8","2","94"
"25015","10","91002","285001032","2","25021","32","21","8","2","96"
"25015","10","91002","285001033","2","25021","33","21","8","2","99"
"25015","10","91002","285001034","2","25021","34","22","8","2","101"
"25015","10","91002","285001035","2","25021","35","22","8","2","103"
"25015","10","91002","285001036","2","25021","36","23","8","2","106"
"25015","10","91002","285001037","2","25021","37","23","8","2","108"
"25015","10","91002","285001038","2","25021","38","24","8","2","111"
"25015","10","91002","285001039","2","25021","39","25","8","2","113"
"25015","30","91002","285001040","2","25021","40","25","8","2","115"
"25015","10","91002","285001041","2","25021","41","26","8","2","121"
"25015","10","91002","285001042","2","25021","42","27","8","2","123"
"25015","10","91002","285001043","2","25021","43","28","8","2","125"
"25015","10","91002","285001044","2","25021","44","28","8","2","128"
"25015","10","91002","285001045","2","25021","45","29","8","2","130"
"25015","10","91002","285001046","2","25021","46","30","8","2","132"
"25015","10","91002","285001047","2","25021","47","30","8","2","135"
"25015","10","91002","285001048","2","25021","48","31","8","2","137"
"25015","10","91002","285001049","2","25021","49","31","8","2","139"
"25015","30","91002","285001050","2","25021","50","31","8","2","142"
