80217f8dd7f0790a0e737b631f06817b553c00cf93ddb261b406631c378e7c22,f2df6e411b205621ada61781ccd5b4f1b4793e2f97ef58b59c0fd9311ea63678,fc9bad8b12f1457c2e2aeb7785149acb73c37cad3e5c32f24465dfba27195572,ffeb60de9453ac41206c30ea90bcfb5ab5a8cf5b71dacea80326236e0a5ee4a4,bb52a01f1f10fc350efbdb0b19542932b02de0a606a300a3f70f4587bf57464d,f59e4e11e5c45496a57f58d23bee5a69060381b845cce3a325a1989a1fd27a0f,7babb46d42bc1f2b89b978ca60c3d2d3f320269907a0b0b128acb1fc30d60ba2,7cb42a0e48504e009a2cc6eccb99303c805247fddcb8a63fa0ce029876e36bd3,330fd01773fddd395a6b999705d660b9a4ad0684d87a4ef5b49d990a03e50ecf,0718ba1b2d7d81b8c8c08e844fca0b916c85888503ae8302279aeb08feafff17
"バク","1","ハグ","バグ","0","0","2110001","0","0","パグ"
"テクニック","1","テイク","テクノロジー","0","0","2110003","0","0","手首"
"ふぶき","1","じひびき","なだれ","0","0","2110005","0","0","ゆきやけ"
"化石","1","黒曜石","磁石","0","0","2110006","0","0","大理石"
"リバー","1","ガルフ","オーシャン","0","0","2110007","0","0","ミスト"
"ラットマーク","1","バットマーク","アットマーク","0","0","2110008","0","0","カットマーク"
"太陽があたらない場所","1","いつもすずしい場所","太陽の日があたる場所","0","0","2110010","0","0","建物の中の場所"
"ダブルデート","1","ハッピーデート","アップデート","0","0","2110011","0","0","バレンタインデート"
"ブルドーザー","1","オブリガード","ブリザード","0","0","2110012","0","0","バリケード"
"月","1","地球","太陽","0","0","2110014","0","0","火星"
"放物線","1","電話線","地平線","0","0","2110016","0","0","新幹線"
"白歴史","1","赤歴史","黒歴史","0","0","2110018","0","0","青歴史"
"みりん","1","お酢","しょうゆ","0","0","2110019","0","0","みそ"
"お腹","1","手のひら","背中","0","0","2110021","0","0","顔"
"ガラス板","1","ベニヤ板","鉄板","0","0","2110022","0","0","看板"
"プレスコード","1","バーコード","ドレスコード","0","0","2110023","0","0","エンコード"
"だるまおとし","1","やくおとし","こけらおとし","0","0","2110024","0","0","まくおとし"
"コイル","1","ライス","コイン","0","0","2110025","0","0","ライン"
"パラレル","1","ナチュラル","アパレル","0","0","2110026","0","0","パラソル"
"ぼかし","1","上塗り","透かし","0","0","2110028","0","0","薄塗り"
"風邪薬","1","塗り薬","目薬","0","0","2110031","0","0","胃薬"
"のれん","1","馬の耳","ぬか","0","0","2110032","0","0","石の上"
"なみだ","1","カナブン","金棒","0","0","2110034","0","0","豆腐"
"レモネード","1","コーラ","水","0","0","2110035","0","0","サイダー"
"一度","1","二度","三度","0","0","2110036","0","0","四度"
"髪の毛","1","手ぬぐい","たんこぶ","0","0","2110037","0","0","メガネ"
"光","1","極楽","闇","0","0","2110038","0","0","天国"
"団子","1","ようかん","ぼた餅","0","0","2110039","0","0","あんみつ"
"はえ","1","か","はち","0","0","2110040","0","0","あぶ"
"猿","1","羊","馬","0","0","2110041","0","0","猫"
"風","1","火","水","0","0","2110042","0","0","土"
"寒","1","氷","冷","0","0","2110043","0","0","水"
"韓","1","散","朝","0","0","2110044","0","0","脇"
"生麦","1","生米","生姜","0","0","2110045","0","0","生卵"
"先生","1","先制","宣誓","0","0","2110046","0","0","占星"
"気象","1","希少","起床","0","0","2110047","0","0","気性"
"非","1","無","不","0","0","2110049","0","0","未"
"不","1","無","非","0","0","2110050","0","0","未"
"不","1","非","無","0","0","2110051","0","0","未"
"不","1","非","未","0","0","2110052","0","0","無"
"馬耳東風","1","一日千秋","三日坊主","0","0","2110053","0","0","有名無実"
"ねこ","1","いぬ","たぬき","0","0","2110054","0","0","きつね"
"くつひも","1","てぶくろ","たび","0","0","2110056","0","0","あしのうら"
