8838af6f6d579933b26b396502a38fb512418cf0034fe65a6cfcb430f9395e2c,04466652b68adcce06dc547c372bfef2fa2194796909ac07b22f3f4089554bae,5f73057423dd08d8980c5ed64324fa15011aef58cdc7c53db504fe6171bdfd00,d30bdaa3894610e11a305e10316fbd4f83acdc05f326a8948746f0cf98bcf4ee,27cd768bb89e6f1c528b495c07f4f8589fe9cba6c67d14434a80a119f3e85bf5,72901273552891fb64ddd63b28fd7dd858f39cae51d739e5072b3a28612cd823,7f2cf83c9a1c71b2c930516d9b79ad62c0e3ad6e9cfd09f8c260ffb9bb51be77,33d9d07c979b586fa5fcdafac207213180b78e8daa62535b5f39975fea2f9ef2
"1","2025/06/16 14:30:00","1","26203","25000","4","20001","2"
"1","2025/06/16 14:30:00","1","4304511","50000","0","20002","18"
"1","2025/06/16 14:30:00","1","4304512","50000","0","20003","18"
"1","2025/06/16 14:30:00","1","4304513","50000","0","20004","18"
"1","2025/06/16 14:30:00","1","4304514","50000","0","20005","18"
"1","2025/06/16 14:30:00","1","4304515","50000","0","20006","18"
"1","2025/06/16 14:30:00","1","4302511","50000","0","20007","18"
"1","2025/06/16 14:30:00","1","4302512","50000","0","20008","18"
"1","2025/06/16 14:30:00","1","4302513","50000","0","20009","18"
"1","2025/06/16 14:30:00","1","4302514","50000","0","20010","18"
"1","2025/06/16 14:30:00","1","4302515","50000","0","20011","18"
"1","2025/06/16 14:30:00","1","4305511","50000","0","20012","18"
"1","2025/06/16 14:30:00","1","4305512","50000","0","20013","18"
"1","2025/06/16 14:30:00","1","4305513","50000","0","20014","18"
"1","2025/06/16 14:30:00","1","4305514","50000","0","20015","18"
"1","2025/06/16 14:30:00","1","4305515","50000","0","20016","18"
"1","2025/06/16 14:30:00","1","4301511","50000","0","20017","18"
"1","2025/06/16 14:30:00","1","4301512","50000","0","20018","18"
"1","2025/06/16 14:30:00","1","4301513","50000","0","20019","18"
"1","2025/06/16 14:30:00","1","4301514","50000","0","20020","18"
"1","2025/06/16 14:30:00","1","4301515","50000","0","20021","18"
"1","2025/06/16 14:30:00","1","4303511","50000","0","20022","18"
"1","2025/06/16 14:30:00","1","4303512","50000","0","20023","18"
"1","2025/06/16 14:30:00","1","4303513","50000","0","20024","18"
"1","2025/06/16 14:30:00","1","4303514","50000","0","20025","18"
"1","2025/06/16 14:30:00","1","4303515","50000","0","20026","18"
"5","2025/06/16 14:30:00","1","25001","2500","0","20027","2"
"5","2025/06/16 14:30:00","1","140000","2500","0","20028","4"
"10","2025/06/16 14:30:00","1","140001","2500","0","20029","4"
"2500","2025/06/16 14:30:00","1","26202","2500","0","20030","2"
"1","2025/11/14 15:00:00","1","26203","40000","4","20031","2"
"1","2025/11/14 15:00:00","1","21951","25000","2","20032","2"
"300000","2025/11/14 15:00:00","1","26202","100000","2","20033","2"
"1","2026/05/15 12:00:00","1","4301516","50000","0","20034","18"
"1","2026/05/15 12:00:00","1","4301517","50000","0","20035","18"
"1","2026/05/15 12:00:00","1","4301518","50000","0","20036","18"
"1","2026/05/15 12:00:00","1","4301519","50000","0","20037","18"
"1","2026/05/15 12:00:00","1","4301520","50000","0","20038","18"
"1","2026/05/15 12:00:00","1","4302516","50000","0","20039","18"
"1","2026/05/15 12:00:00","1","4302517","50000","0","20040","18"
"1","2026/05/15 12:00:00","1","4302518","50000","0","20041","18"
"1","2026/05/15 12:00:00","1","4302519","50000","0","20042","18"
"1","2026/05/15 12:00:00","1","4302520","50000","0","20043","18"
"1","2026/05/15 12:00:00","1","4303516","50000","0","20044","18"
"1","2026/05/15 12:00:00","1","4303517","50000","0","20045","18"
"1","2026/05/15 12:00:00","1","4303518","50000","0","20046","18"
"1","2026/05/15 12:00:00","1","4303519","50000","0","20047","18"
"1","2026/05/15 12:00:00","1","4303520","50000","0","20048","18"
"1","2026/05/15 12:00:00","1","4304516","50000","0","20049","18"
"1","2026/05/15 12:00:00","1","4304517","50000","0","20050","18"
"1","2026/05/15 12:00:00","1","4304518","50000","0","20051","18"
"1","2026/05/15 12:00:00","1","4304519","50000","0","20052","18"
"1","2026/05/15 12:00:00","1","4304520","50000","0","20053","18"
"1","2026/05/15 12:00:00","1","4305516","50000","0","20054","18"
"1","2026/05/15 12:00:00","1","4305517","50000","0","20055","18"
"1","2026/05/15 12:00:00","1","4305518","50000","0","20056","18"
"1","2026/05/15 12:00:00","1","4305519","50000","0","20057","18"
"1","2026/05/15 12:00:00","1","4305520","50000","0","20058","18"
"150","2026/05/15 12:00:00","1","25201","15000","5","20059","2"
"150","2026/05/15 12:00:00","1","25203","15000","5","20060","2"
"150","2026/05/15 12:00:00","1","25205","15000","5","20061","2"
"50","2026/05/15 12:00:00","1","25202","30000","5","20062","2"
"30","2026/05/15 12:00:00","1","25204","40000","5","20063","2"
"10","2026/05/15 12:00:00","1","25206","50000","5","20064","2"
