10b2d37d0c32fcb57404b127bf04eaf8ed89884abc01264e49f51ea4f6714c63,4b9fe65599f65754f07de7650244426273b0413ce214e5e37d9e74bb72342ad5,59ee4d57f4931459c1f2f09d108041669a4c60e24a474a889d94b93f17bdd244,a9d456606fcc56cf0d79df7fbaa8d097dd958fa35950398d01964bb4708385b2,faa227c7e0aa551b870dd2f9aa5f899c675fec5665de21b1fe0aa4d405008479
"101","red","#D23232","90009","片手剣"
"102","red","#D23232","90009","両手剣"
"103","red","#D23232","90009","短剣"
"104","red","#D23232","90009","槍"
"105","red","#D23232","90009","斧"
"106","red","#D23232","90009","弓"
"107","red","#D23232","90009","拳"
"108","red","#D23232","90009","盾"
"109","red","#D23232","90009","杖"
"110","red","#D23232","90009","本"
"201","blue","#476FD8","90010","服"
"202","blue","#476FD8","90010","鎧"
"203","blue","#476FD8","90010","白ローブ"
"204","blue","#476FD8","90010","黒ローブ"
"301","yellow","#E5681E","90011","指輪"
"302","yellow","#E5681E","90011","腕輪"
"303","yellow","#E5681E","90011","ネックレス"
"304","yellow","#E5681E","90011","宝珠"
"305","yellow","#E5681E","90011","イヤリング"
