064d68055625e13c78dae0259bd831f13de472702a389452c4271d2304108c9f,8aad02cf9311010a4b4e0ad2daf28c4ffec8d687bd38928eea602508544e8df0,27ad023f8026cdac5a803f4164f82206e877e22c5f54850b35ddc6d283c32361,6a36961a8c183fb031a0d6128f32ee8e21e41358406990f348559d3ff85b5f6c,0191def799e911b6247697fa3151eae0f977142ae029b11d1325720598234f1a,b8e095f02e74c14754d67b4df5a12b34acabaa623940ac947897b342e47cd570
"0","10009101","1","1","10009106","1"
"0","10009101","1","1","10009112","2"
"0","10010101","1","1","10010110","3"
"0","10019101","1","2","1001901","4"
"0","10021101","1","1","10021112","5"
"0","10025101","1","1","10025109","6"
"500810","10025","2","3","5025001","7"
"0","20009101","1","1","20009106","8"
"0","20009101","1","1","20009112","9"
"0","20010101","1","1","20010110","10"
"501001","10042","2","3","5042001","12"
"0","20015101","1","2","2001501","13"
"501031","10044","2","3","5044001","14"
"0","20016101","1","1","20016112","15"
"501103","10046","2","3","5046002","16"
"0","10049101","1","1","10049109","17"
"0","10066101","1","1","10066112","19"
"501291","10066","2","3","5066005","20"
"501001","10069","2","3","5042001","21"
"501031","10071","2","3","5044001","22"
"501341","10068","2","3","5068001","23"
"501353","10070","2","3","5070004","24"
"500016","10070","2","3","5070005","25"
"501364","10072","2","3","5072004","26"
"501365","10072","2","3","5072006","27"
"501103","10073","2","3","5046002","28"
"501383","10074","2","3","5074001","29"
"0","10076101","1","1","10076112","30"
"505036","10076","2","3","5076005","31"
"501451","10078","2","3","5078004","32"
"501463","10080","2","3","5080005","33"
"0","10082101","1","1","10082105","34"
"0","10082102","1","1","10082108","35"
"0","10082103","1","1","10082111","36"
"501160","10082","2","3","5082002","37"
"501031","10082","2","3","5082004","38"
"501483","10082","2","3","5082005","39"
"500368","10084","2","3","5084001","40"
"510306","10084","2","3","5084002","41"
"500039","10084","2","3","5084003","42"
"500368","10085","2","3","5085002","43"
"510203","10085","2","3","5085003","44"
"500272","10085","2","3","5085004","45"
"501501","10085","2","3","5085005","46"
"501810","10088","2","3","5088005","47"
"501001","20025","2","3","5042001","50"
"501541","10090","2","3","5090002","51"
"501031","20026","2","3","5044001","55"
"0","10093101","1","1","10093112","56"
"501291","10093","2","3","5066005","57"
"501103","20027","2","3","5046002","58"
"501031","10092","2","3","5092001","59"
"501551","10092","2","3","5092004","60"
"501593","10094","2","3","5094001","61"
"501341","10095","2","3","5068001","62"
"500810","20018","2","3","5025001","67"
"501613","10096","2","3","5096002","68"
"501353","10097","2","3","5070004","73"
"500016","10097","2","3","5070005","74"
"501031","10098","2","3","5098000","75"
"0","10098101","1","1","10098104","76"
"0","10098102","1","1","10098111","77"
"501364","10099","2","3","5072004","78"
"501365","10099","2","3","5072006","79"
"500837","10100","2","3","5100003","80"
"501383","10101","2","3","5074001","82"
"501383","10101","2","3","5074001","83"
"501873","10102","2","3","5102002","84"
"0","10103101","1","1","10103112","85"
"505036","10103","2","3","5076005","86"
"501911","10108","2","3","5108002","88"
"500133","10104","2","3","5104003","89"
"501451","10105","2","3","5078004","90"
"501931","10110","2","3","5110005","93"
"500013","10111","2","3","5111005","94"
"501463","10107","2","3","5080005","95"
"0","10109101","1","1","10109105","96"
"0","10109102","1","1","10109108","97"
"0","10109103","1","1","10109111","98"
"501160","10109","2","3","5082002","99"
"501031","10109","2","3","5082004","100"
"501483","10109","2","3","5082005","101"
"500368","10112","2","3","5084001","103"
"510306","10112","2","3","5084002","104"
"500039","10112","2","3","5084003","105"
"500368","10113","2","3","5085002","106"
"510203","10113","2","3","5085003","107"
"500272","10113","2","3","5085004","108"
"501501","10113","2","3","5085005","109"
"0","10110101","1","2","1011001","110"
"0","20037101","1","1","20037112","111"
"501291","20037","2","3","5066005","112"
"501810","10115","2","3","5088005","113"
"500016","10114","2","3","5114000","114"
"501952","10114","2","3","5114003","115"
"501341","20038","2","3","5068001","116"
"501541","10117","2","3","5090002","117"
"501353","20039","2","3","5070004","121"
"500016","20039","2","3","5070005","122"
"500837","10116","2","3","5116004","123"
"501031","10119","2","3","5092001","124"
"501551","10119","2","3","5092004","125"
"500133","10118","2","3","5118002","126"
"500810","10118","2","3","5118003","127"
"500133","10118","2","3","5118007","128"
"501364","20040","2","3","5072004","129"
"501365","20040","2","3","5072006","130"
"501614","10124","2","3","5124003","132"
"501383","20041","2","3","5074001","133"
"501593","10121","2","3","5094001","135"
"502003","10122","2","3","5122000","136"
"502015","10122","2","3","5122002","137"
"501613","10123","2","3","5096002","138"
"505036","20042","2","3","5076005","139"
"501451","20043","2","3","5078004","140"
"501031","10125","2","3","5098000","141"
"500837","10127","2","3","5100003","143"
"501463","20044","2","3","5080005","144"
"502063","10128","2","3","5128001","145"
"501873","10129","2","3","5102002","146"
"0","20045101","1","1","20045105","147"
"0","20045102","1","1","20045108","148"
"0","20045103","1","1","20045111","149"
"501160","20045","2","3","5082002","150"
"501031","20045","2","3","5082004","151"
"501483","20045","2","3","5082005","152"
"500368","20046","2","3","5084001","153"
"510306","20046","2","3","5084002","154"
"500039","20046","2","3","5084003","155"
"500368","20047","2","3","5085002","156"
"510203","20047","2","3","5085003","157"
"500272","20047","2","3","5085004","158"
"501501","20047","2","3","5085005","159"
"500016","10130","2","3","5130001","160"
"500133","10130","2","3","5130007","161"
"500133","10131","2","3","5104003","162"
"500143","10136","2","3","5136002","163"
"500175","10136","2","3","5136004","164"
"501622","10137","2","3","5137002","165"
"500133","10137","2","3","5137005","166"
"501810","20048","2","3","5088005","167"
"500553","10134","2","3","5134007","168"
"501911","10135","2","3","5108002","169"
"501931","10138","2","3","5110005","170"
"500013","10139","2","3","5111005","171"
"501541","20049","2","3","5090002","172"
"0","10138101","1","2","1013801","173"
"500016","10141","2","3","5114000","174"
"501952","10141","2","3","5114003","175"
