c4ccbe98f59b47c35d1ee991a1298af25e7b0c03c3ab3cea1110e3ed6b2616f2,9187c6dd57baa4f71cdc6b84484cd36a7c538d45dceea15e954db71d61c6aad7,98ed6863fab9c2f5489912bb04fea8e463122e20976667dc4d22e403ea9c32fb,3ffa4a704404ee81b1cb5598deb6897f381859f1aad8a9bf288b82547645fd60,7797c014f559dc3f2e98bb08b32df9a87ce830c42c32786ee3d59d1fae5e1936,e0baa136d060f68d0f708fcb2d5af34cb06e99630c5b0a5fd3232f0b73a54e3d,20624e36fc08bc1d6d1a3e59f5ca8b14309ba72e89670f69de7e56aa40a72aeb
"1","アニメ プリンセスコネクト！Re:Dive 1 封入特典","2023/12/31 23:59:59","0","2020-08-04 12:00:00","10101","101"
"1","アニメ プリンセスコネクト！Re:Dive 2 封入特典","2023/12/31 23:59:59","0","2020-09-03 19:00:00","10102","101"
"1","アニメ プリンセスコネクト！Re:Dive 3 封入特典","2023/12/31 23:59:59","0","2020-10-01 17:00:00","10103","101"
"1","アニメ プリンセスコネクト！Re:Dive 4 封入特典","2023/12/31 23:59:59","0","2020-11-05 12:00:00","10104","101"
"1","アニメ プリコネ！Re:Dive Season2 1巻 購入特典","2026/12/31 23:59:59","0","2022-03-21 00:00:00","10201","102"
"1","アニメ プリコネ！Re:Dive Season2 2巻 購入特典","2026/12/31 23:59:59","0","2022-04-18 00:00:00","10202","102"
"1","アニメ プリコネ！Re:Dive Season2 3巻 購入特典","2026/12/31 23:59:59","0","2022-05-16 00:00:00","10203","102"
"1","週刊ファミ通6月3日号（5月20日発売） 封入特典","2022/05/19 23:59:59","0","2021-05-19 00:00:00","20101","201"
"1","公式アートワークス Vol.3 発売記念アイテム","2030/07/30 23:59:59","0","2021-07-30 00:00:00","20201","202"
"3","プリコネフェス2023　リアルガチャ","2024/01/31 23:59:59","1","2023-01-15 15:00:00","20301","203"
"3","プリコネフェス2023　リアルガチャ","2024/01/31 23:59:59","1","2023-01-15 15:00:00","20302","203"
"3","プリコネフェス2023　リアルガチャ","2024/01/31 23:59:59","1","2023-01-15 15:00:00","20303","203"
"3","プリコネフェス2023　リアルガチャ","2024/01/31 23:59:59","1","2023-01-15 15:00:00","20304","203"
"3","プリコネフェス2023　リアルガチャ","2024/01/31 23:59:59","1","2023-01-15 15:00:00","20305","203"
"3","プリコネフェス2023　リアルガチャ","2024/01/31 23:59:59","1","2023-01-15 15:00:00","20306","203"
"3","プリコネフェス2023　リアルガチャ","2024/01/31 23:59:59","1","2023-01-15 15:00:00","20307","203"
"3","プリコネフェス2023　リアルガチャ","2024/01/31 23:59:59","1","2023-01-15 15:00:00","20308","203"
"3","プリコネフェス2023　リアルガチャ","2024/01/31 23:59:59","1","2023-01-15 15:00:00","20309","203"
"3","プリコネフェス2023　リアルガチャ","2024/01/31 23:59:59","1","2023-01-15 15:00:00","20310","203"
"3","プリコネフェス2023　リアルガチャ","2024/01/31 23:59:59","1","2023-01-15 15:00:00","20311","203"
"3","プリコネフェス2023　リアルガチャ","2024/01/31 23:59:59","1","2023-01-15 15:00:00","20312","203"
"3","プリコネフェス2023　リアルガチャ","2024/01/31 23:59:59","1","2023-01-15 15:00:00","20313","203"
"3","プリコネフェス2023　リアルガチャ","2024/01/31 23:59:59","1","2023-01-15 15:00:00","20314","203"
"3","プリコネフェス2023　リアルガチャ","2024/01/31 23:59:59","1","2023-01-15 15:00:00","20315","203"
"3","プリコネフェス2023　リアルガチャ","2024/01/31 23:59:59","1","2023-01-15 15:00:00","20316","203"
"3","プリコネフェス2023　リアルガチャ","2024/01/31 23:59:59","1","2023-01-15 15:00:00","20317","203"
"1","キャラクターソングアルバムVol.5 購入特典","2025/02/13 23:59:59","0","2024-02-14 00:00:00","20401","204"
"1","サウンドトラックVol.6 購入特典","2025/02/13 23:59:59","0","2024-02-14 00:00:00","20501","205"
