4f0daaeb871c4d69097cde4a78929dd8bf3ed544cae93d5902e7c6f8d1dde3c5,0000bb333d3dc05530cc5a81569efb69f2af20dbea41995b8ce6473d067aff86,e26eebabf7e342eb8a9a330cafca8708bae9e0d20085d1fd21df687f1e48aa6b,d48396ff479cc2972bce39510cc8cdf1ee66649a5cd010996faf36fa0003a15a,6b2db8ef5ecc2bd146ec04df2e3440e5b6a5260d8a3004114a9b20e533c87dfe,8a807fca2d016cd647f0cf27a1575cd7144aad1db8644a085251a1925040deea
"1001","99001001","1","11001001","15","1"
"0","99001001","10","91002","8","2"
"1001","99001002","1","11001002","15","3"
"0","99001002","10","91002","8","4"
"1002","99001003","1","11001003","15","5"
"0","99001003","20","91002","8","6"
"1003","99001004","1","11001004","15","7"
"0","99001004","30","91002","8","8"
"1001","99001005","1","11001005","15","9"
"0","99001005","10","91002","8","10"
"1001","99001006","1","11001006","15","11"
"0","99001006","10","91002","8","12"
"1002","99001007","1","11001007","15","13"
"0","99001007","20","91002","8","14"
"1003","99001008","1","11001008","15","15"
"0","99001008","30","91002","8","16"
"1001","99001009","1","11001009","15","17"
"0","99001009","10","91002","8","18"
"1001","99001010","1","11001010","15","19"
"0","99001010","10","91002","8","20"
"1002","99001011","1","11001011","15","21"
"0","99001011","20","91002","8","22"
"1003","99001012","1","11001012","15","23"
"0","99001012","30","91002","8","24"
"1001","99001017","1","11001017","15","33"
"0","99001017","30","91002","8","34"
"1001","99001018","1","11001018","15","35"
"0","99001018","30","91002","8","36"
"1002","99001019","1","11001019","15","37"
"0","99001019","30","91002","8","38"
"1003","99001020","1","11001020","15","39"
"0","99001020","30","91002","8","40"
"1001","99001021","0","11001021","15","41"
"1002","99001022","0","11001022","15","42"
"1001","99001023","1","11001023","15","43"
"0","99001023","30","91002","8","44"
"1001","99001024","1","11001024","15","45"
"0","99001024","30","91002","8","46"
"1002","99001025","1","11001025","15","47"
"0","99001025","30","91002","8","48"
"1003","99001026","1","11001026","15","49"
"0","99001026","30","91002","8","50"
"1001","99001027","1","11001027","15","51"
"0","99001027","30","91002","8","52"
"1001","99001028","1","11001028","15","53"
"0","99001028","30","91002","8","54"
"1002","99001029","1","11001029","15","55"
"0","99001029","30","91002","8","56"
"1003","99001030","1","11001030","15","57"
"0","99001030","30","91002","8","58"
"1001","99001031","1","11001031","15","59"
"0","99001031","30","91002","8","60"
"1001","99001032","1","11001032","15","61"
"0","99001032","30","91002","8","62"
"1002","99001033","1","11001033","15","63"
"0","99001033","30","91002","8","64"
"1003","99001034","1","11001034","15","65"
"0","99001034","30","91002","8","66"
"1001","99001039","0","11001039","15","75"
"1002","99001040","0","11001040","15","76"
"1003","99001041","0","11001041","15","77"
"1001","99001042","1","11001042","15","78"
"0","99001042","30","91002","8","79"
"1001","99001043","1","11001043","15","80"
"0","99001043","30","91002","8","81"
"1002","99001044","1","11001044","15","82"
