10585c94052bb19b1352811d7caae7b241276b2d2b6e56df60d919d3f87d20cf,4034410204f03deb30d1cd9ffe2b5fba9aaad82b778a4ad193856e1a6f8dd300,e82e5821c633fd8cdd8948a3584a062eb5589347a95e748228a708a17881f254,942ae888b27627e66f77cff98e1a53cc65a5b1ac0655f2b05e87e088ef1e96d4,3998597bfc9cf254352ae8b575f6ff2c758b18cbbbaad469b65df4242a021f1a,84f1831416d9a3079ceaa4280ad1bc6c7db6cbca3fd2affb9e33e28598d1b94b,0280d4c6d149fc85e3bbf864925e67d256e4c1c08cd5cd0ed4c0f559d979b977,471bff115acf8a84071ad0d8165fcd8e7eeaf06baa8429936e30f992a9bf3077,79da03c92b296791cb0c3760b02fa9085d0341876a6cbdd1f87ca73f3de0f9dc,545e553ee5326cdf7affa14623f0abb30803eef7ed9e033b83cf83d021233340,dd3b5124200bad1dc37f6a80661a3b7704bf2420ebe32fe6f88d87600bf7beef,af149cf6b537951fd4b639659ac5d1d1d854a7fc75c4ce3271f61e6784da6abd,a438c645ecfa3d75ac546e63ed8832e0fdf0323d4d6653dca78aeacd9b8ec226,8e88964e238e885b3815eaf3649c0d4828a5fe1dbc0717177302a410f6acbb27,98b9171c843661c14ef2dd23d072eb7a355f8b93a9ba3a614365685bf08da3b0,a7fd9af1fcff93343355a4ed425c8eb7f61fe934d6fff3462b4c26c3c3dfbbc1,1c93986c456cfd5b9a1e1e597f55890f4ee907b5ed04cc1e4f4b481b127152bf,3495fe2a1b8c4e1900489fba59a8122ce261fa7620edfc1f4727ae5e651d979c,8227b092d3796d7bc08f1575deefac397a87fd87f5f219d423fa7f8781b16ad1,4c92e4d15b9974fac45dc90762adda9ca7ca2a98ab7807002805ab783e8541d0
"1","20003","0","0","2","0","0","0","1001201","20","0","0","2","5","0","0","90006","3100104","1","1"
"3","20003","0","0","2","0","0","0","1001201","15","0","0","2","4","0","0","90006","3100103","2","2"
"10","20003","0","0","2","0","0","0","1001201","10","0","0","2","3","0","0","90006","3100102","4","3"
"30","20003","0","0","2","0","0","0","1001201","5","0","0","2","1","0","0","90006","3100101","11","4"
"1","20003","0","0","2","0","0","0","1001202","20","0","0","2","5","0","0","90006","3100104","1","5"
"3","20003","0","0","2","0","0","0","1001202","15","0","0","2","4","0","0","90006","3100103","2","6"
"10","20003","0","0","2","0","0","0","1001202","10","0","0","2","3","0","0","90006","3100102","4","7"
"30","20003","0","0","2","0","0","0","1001202","5","0","0","2","1","0","0","90006","3100101","11","8"
"1","20003","0","0","2","0","0","0","1001203","20","0","0","2","5","0","0","90006","3100104","1","9"
"3","20003","0","0","2","0","0","0","1001203","15","0","0","2","4","0","0","90006","3100103","2","10"
"10","20003","0","0","2","0","0","0","1001203","10","0","0","2","3","0","0","90006","3100102","4","11"
"30","20003","0","0","2","0","0","0","1001203","5","0","0","2","1","0","0","90006","3100101","11","12"
"1","20003","0","0","2","0","0","0","1001204","20","0","0","2","5","0","0","90006","3100104","1","13"
"3","20003","0","0","2","0","0","0","1001204","15","0","0","2","4","0","0","90006","3100103","2","14"
"10","20003","0","0","2","0","0","0","1001204","10","0","0","2","3","0","0","90006","3100102","4","15"
"30","20003","0","0","2","0","0","0","1001204","5","0","0","2","1","0","0","90006","3100101","11","16"
"1","20003","0","0","2","0","0","0","1001205","40","0","0","2","10","0","0","90006","3100104","1","17"
"3","20003","0","0","2","0","0","0","1001205","30","0","0","2","8","0","0","90006","3100103","2","18"
"10","20003","0","0","2","0","0","0","1001205","20","0","0","2","6","0","0","90006","3100102","4","19"
"30","20003","0","0","2","0","0","0","1001205","10","0","0","2","2","0","0","90006","3100101","11","20"
"1","20003","0","0","2","0","0","0","1001206","5","0","0","2","4","0","0","90006","3100104","1","21"
"3","20003","0","0","2","0","0","0","1001206","4","0","0","2","3","0","0","90006","3100103","2","22"
"10","20003","0","0","2","0","0","0","1001206","3","0","0","2","2","0","0","90006","3100102","4","23"
"30","20003","0","0","2","0","0","0","1001206","2","0","0","2","1","0","0","90006","3100101","11","24"
"1","20003","0","0","2","0","0","0","1001207","5","0","0","2","4","0","0","90006","3100104","1","25"
"3","20003","0","0","2","0","0","0","1001207","4","0","0","2","3","0","0","90006","3100103","2","26"
"10","20003","0","0","2","0","0","0","1001207","3","0","0","2","2","0","0","90006","3100102","4","27"
"30","20003","0","0","2","0","0","0","1001207","2","0","0","2","1","0","0","90006","3100101","11","28"
"1","20003","0","0","2","0","0","0","1001208","5","0","0","2","4","0","0","90006","3100104","1","29"
"3","20003","0","0","2","0","0","0","1001208","4","0","0","2","3","0","0","90006","3100103","2","30"
"10","20003","0","0","2","0","0","0","1001208","3","0","0","2","2","0","0","90006","3100102","4","31"
"30","20003","0","0","2","0","0","0","1001208","2","0","0","2","1","0","0","90006","3100101","11","32"
"1","20003","0","0","2","0","0","0","1001209","5","0","0","2","4","0","0","90006","3100104","1","33"
"3","20003","0","0","2","0","0","0","1001209","4","0","0","2","3","0","0","90006","3100103","2","34"
"10","20003","0","0","2","0","0","0","1001209","3","0","0","2","2","0","0","90006","3100102","4","35"
"30","20003","0","0","2","0","0","0","1001209","2","0","0","2","1","0","0","90006","3100101","11","36"
"1","20003","0","0","2","0","0","0","1001210","5","0","0","2","4","0","0","90006","3100104","1","37"
"3","20003","0","0","2","0","0","0","1001210","4","0","0","2","3","0","0","90006","3100103","2","38"
"10","20003","0","0","2","0","0","0","1001210","3","0","0","2","2","0","0","90006","3100102","4","39"
"30","20003","0","0","2","0","0","0","1001210","2","0","0","2","1","0","0","90006","3100101","11","40"
"1","20003","0","0","2","0","0","0","1002201","20","0","0","2","5","0","0","90006","3100104","1","41"
"3","20003","0","0","2","0","0","0","1002201","15","0","0","2","4","0","0","90006","3100103","2","42"
"10","20003","0","0","2","0","0","0","1002201","10","0","0","2","3","0","0","90006","3100102","4","43"
"30","20003","0","0","2","0","0","0","1002201","5","0","0","2","1","0","0","90006","3100101","11","44"
"1","20003","0","0","2","0","0","0","1002202","20","0","0","2","5","0","0","90006","3100104","1","45"
"3","20003","0","0","2","0","0","0","1002202","15","0","0","2","4","0","0","90006","3100103","2","46"
"10","20003","0","0","2","0","0","0","1002202","10","0","0","2","3","0","0","90006","3100102","4","47"
"30","20003","0","0","2","0","0","0","1002202","5","0","0","2","1","0","0","90006","3100101","11","48"
"1","20003","0","0","2","0","0","0","1002203","20","0","0","2","5","0","0","90006","3100104","1","49"
"3","20003","0","0","2","0","0","0","1002203","15","0","0","2","4","0","0","90006","3100103","2","50"
"10","20003","0","0","2","0","0","0","1002203","10","0","0","2","3","0","0","90006","3100102","4","51"
"30","20003","0","0","2","0","0","0","1002203","5","0","0","2","1","0","0","90006","3100101","11","52"
"1","20003","0","0","2","0","0","0","1002204","20","0","0","2","5","0","0","90006","3100104","1","53"
"3","20003","0","0","2","0","0","0","1002204","15","0","0","2","4","0","0","90006","3100103","2","54"
"10","20003","0","0","2","0","0","0","1002204","10","0","0","2","3","0","0","90006","3100102","4","55"
"30","20003","0","0","2","0","0","0","1002204","5","0","0","2","1","0","0","90006","3100101","11","56"
"1","20003","0","0","2","0","0","0","1002205","40","0","0","2","10","0","0","90006","3100104","1","57"
"3","20003","0","0","2","0","0","0","1002205","30","0","0","2","8","0","0","90006","3100103","2","58"
"10","20003","0","0","2","0","0","0","1002205","20","0","0","2","6","0","0","90006","3100102","4","59"
"30","20003","0","0","2","0","0","0","1002205","10","0","0","2","2","0","0","90006","3100101","11","60"
"1","20003","0","0","2","0","0","0","1002206","10","0","0","2","4","0","0","90006","3100104","1","61"
"3","20003","0","0","2","0","0","0","1002206","8","0","0","2","3","0","0","90006","3100103","2","62"
"10","20003","0","0","2","0","0","0","1002206","6","0","0","2","2","0","0","90006","3100102","4","63"
"30","20003","0","0","2","0","0","0","1002206","4","0","0","2","1","0","0","90006","3100101","11","64"
"1","20003","0","0","2","0","0","0","1002207","10","0","0","2","4","0","0","90006","3100104","1","65"
"3","20003","0","0","2","0","0","0","1002207","8","0","0","2","3","0","0","90006","3100103","2","66"
"10","20003","0","0","2","0","0","0","1002207","6","0","0","2","2","0","0","90006","3100102","4","67"
"30","20003","0","0","2","0","0","0","1002207","4","0","0","2","1","0","0","90006","3100101","11","68"
"1","20003","0","0","2","0","0","0","1002208","10","0","0","2","4","0","0","90006","3100104","1","69"
"3","20003","0","0","2","0","0","0","1002208","8","0","0","2","3","0","0","90006","3100103","2","70"
"10","20003","0","0","2","0","0","0","1002208","6","0","0","2","2","0","0","90006","3100102","4","71"
"30","20003","0","0","2","0","0","0","1002208","4","0","0","2","1","0","0","90006","3100101","11","72"
"1","20003","0","0","2","0","0","0","1002209","10","0","0","2","4","0","0","90006","3100104","1","73"
"3","20003","0","0","2","0","0","0","1002209","8","0","0","2","3","0","0","90006","3100103","2","74"
"10","20003","0","0","2","0","0","0","1002209","6","0","0","2","2","0","0","90006","3100102","4","75"
"30","20003","0","0","2","0","0","0","1002209","4","0","0","2","1","0","0","90006","3100101","11","76"
"1","20003","0","0","2","0","0","0","1002210","10","0","0","2","4","0","0","90006","3100104","1","77"
"3","20003","0","0","2","0","0","0","1002210","8","0","0","2","3","0","0","90006","3100103","2","78"
"10","20003","0","0","2","0","0","0","1002210","6","0","0","2","2","0","0","90006","3100102","4","79"
"30","20003","0","0","2","0","0","0","1002210","4","0","0","2","1","0","0","90006","3100101","11","80"
"1","20003","0","0","2","0","0","0","1003201","20","0","0","2","5","0","0","90006","3100104","1","81"
"3","20003","0","0","2","0","0","0","1003201","15","0","0","2","4","0","0","90006","3100103","2","82"
"10","20003","0","0","2","0","0","0","1003201","10","0","0","2","3","0","0","90006","3100102","4","83"
"30","20003","0","0","2","0","0","0","1003201","5","0","0","2","1","0","0","90006","3100101","11","84"
"1","20003","0","0","2","0","0","0","1003202","20","0","0","2","5","0","0","90006","3100104","1","85"
"3","20003","0","0","2","0","0","0","1003202","15","0","0","2","4","0","0","90006","3100103","2","86"
"10","20003","0","0","2","0","0","0","1003202","10","0","0","2","3","0","0","90006","3100102","4","87"
"30","20003","0","0","2","0","0","0","1003202","5","0","0","2","1","0","0","90006","3100101","11","88"
"1","20003","0","0","2","0","0","0","1003203","20","0","0","2","5","0","0","90006","3100104","1","89"
"3","20003","0","0","2","0","0","0","1003203","15","0","0","2","4","0","0","90006","3100103","2","90"
