edd4ebecac1e73869f3bd54e0eee474e4f854b5c6c185db9a62f7cd20e97dc13,6d5ba95d6c066732dca6872ff60cb94023384b8dae3cebe31f0fdde987b62e2b,fb05d2a36f7ddc38a4d95bdd2cfa312a10a2eb37b28fe37d6794c6d99b13a91d,812da208cdad9aa118ff3043cd9f14b559dc0def072d29fbdd42063e65c7b3f4,b882d24277643437fa0c7be807c658eb2d103324c39211be505c266bb92aba62,8a258bea9876c651aa4b37924a6b1d6906e8476e1c5f25464d9d2df428c52d38,d571889b5daa45199d53d631327f671adf3175156fc7b2063d2c69595dd54848,292d885fc30d27d7586fd0f0b77533e63c913ea09babf9676def0d38bb15cc55,b1773b3f65f25acfe697e176a2bd9eab9c7e86f0a9fd91240b292b48128d5e70,9b73705212b21ceeb224ffd56aafa32ab6e9343ed564974a4d123e7987ce867b,7c44718b6d8e074dc7f09ab011ab505e7c0252ac20524f54a97b6f06489103f4
"110","250","0","オムレツ","1010100","0","8","1","1","1","10101"
"110","222","0","オムレツ","1010101","0","9","1","1","1","10101"
"110","200","0","オムレツ","1010102","0","10","1","1","1","10101"
"110","400","0","オムレツ","1010200","0","9","1","1","2","10102"
"110","367","0","オムレツ","1010201","0","10","1","1","2","10102"
"110","338","0","オムレツ","1010202","0","11","1","1","2","10102"
"110","640","0","オムレツ","1010300","0","10","1","1","3","10103"
"110","597","0","オムレツ","1010301","0","11","1","1","3","10103"
"110","560","0","オムレツ","1010302","0","12","1","1","3","10103"
"115","275","0","ギョーザ","1020100","0","9","1","2","1","10201"
"115","248","0","ギョーザ","1020101","0","10","1","2","1","10201"
"115","225","0","ギョーザ","1020102","0","11","1","2","1","10201"
"115","440","0","ギョーザ","1020200","0","10","1","2","2","10202"
"115","406","0","ギョーザ","1020201","0","11","1","2","2","10202"
"115","377","0","ギョーザ","1020202","0","12","1","2","2","10202"
"115","704","0","ギョーザ","1020300","0","11","1","2","3","10203"
"115","660","0","ギョーザ","1020301","0","12","1","2","3","10203"
"115","621","0","ギョーザ","1020302","0","13","1","2","3","10203"
"100","200","0","タコヤキ","1030100","0","8","1","3","1","10301"
"100","175","0","タコヤキ","1030101","0","9","1","3","1","10301"
"100","156","0","タコヤキ","1030102","0","10","1","3","1","10301"
"100","320","0","タコヤキ","1030200","0","9","1","3","2","10302"
"100","291","0","タコヤキ","1030201","0","10","1","3","2","10302"
"100","267","0","タコヤキ","1030202","0","11","1","3","2","10302"
"100","512","0","タコヤキ","1030300","0","10","1","3","3","10303"
"100","475","0","タコヤキ","1030301","0","11","1","3","3","10303"
"100","444","0","タコヤキ","1030302","0","12","1","3","3","10303"
"115","225","0","オニギリ","1040100","0","9","1","4","1","10401"
"115","200","0","オニギリ","1040101","0","10","1","4","1","10401"
"115","180","0","オニギリ","1040102","0","11","1","4","1","10401"
"115","360","0","オニギリ","1040200","0","10","1","4","2","10402"
"115","330","0","オニギリ","1040201","0","11","1","4","2","10402"
"115","305","0","オニギリ","1040202","0","12","1","4","2","10402"
"115","576","0","オニギリ","1040300","0","11","1","4","3","10403"
"115","538","0","オニギリ","1040301","0","12","1","4","3","10403"
