df79016ac0156889334b95786beb48480c7f94134cdf60526ec296c60ef975b6,d0289d3e964669fa47a1b4e5ffacd060cbcc49850e2aea0e47da186071cc1794,bf5446883d3b2769b7f621dfff287c7b88f4983603a2a8d0e8e646836965ea0c,90634719c6042546873f0b11615ee07a2965345b85f43400a585c04a17d066f8,6aa1dda2610af16901722ff706fab29efc488c5e21ded7545014641aa5e0b96b,2b06e29438751be2be6c56b5495a403dc9f5715e14786b0e987521f35f52d491,1512dbb1d5ec08d79c68a88153e1ce46ce72f0a475832ef5fb0637735f6ec481,6b5c7e2ef6288b894ec26660ab74b0b3d168d53aa3296af17a750d329c31ee77,d421a6f5cafdae3c3a8a538520fbc81584c87d58cee97e280573f68f265b5cbb,6a4bddc1fea718b1b7365786b88703bd73b525c8bf1ca4a1d527fe684836afb3,aa7da8d2e14c2d2b93a2e713e6074ab4d99cbe29dac02b5be781e95879393957,53760d30cb80deb4e545b23f24b4ed44281e8cf3e7525761674179e80fb1f4a5
"1","0","1","0","4","10116115","0","0","0","0.8","0","1011611501"
"0","0","2","0","2","10116115","0","0","vo_won_10116115_01","0","vo_won","1011611502"
"0","0","3","1","1","10116115","2.68","395","0","0","0","1011611503"
"1","0","4","0","4","10116115","0","0","0","3.17","0","1011611504"
"0","0","5","2","1","10116115","3.51","430","0","0","0","1011611505"
"1","0","6","0","4","10116115","0","0","0","4.03","0","1011611506"
"0","0","7","3","1","10116115","1.92","280","0","0","0","1011611507"
"1","0","8","0","4","10116115","0","0","0","2.42","0","1011611508"
"0","280","9","3","1","10116115","1.09","430","0","0","0","1011611509"
"1","0","10","0","4","10116115","0","0","0","1.09","0","1011611510"
"0","0","11","4","1","10116115","1.88","210","0","0","0","1011611511"
"1","0","12","0","4","10116115","0","0","0","2.47","0","1011611512"
"0","210","13","4","1","10116115","1.88","440","0","0","0","1011611513"
"1","0","14","0","4","10116115","0","0","0","1.88","0","1011611514"
"0","0","15","5","1","10116115","0.588999999999999","70","0","0","0","1011611515"
"1","0","16","0","4","10116115","0","0","0","0.965999999999999","0","1011611516"
"0","70","17","5","1","10116115","1.423","270","0","0","0","1011611517"
"1","0","18","0","4","10116115","0","0","0","2.673","0","1011611518"
"0","0","19","0","2","10116115","0","0","vo_won_10116115_02","0","vo_won","1011611519"
"0","0","20","6","1","10116115","1.699","213","0","0","0","1011611520"
"1","0","21","0","4","10116115","0","0","0","2.495","0","1011611521"
"0","213","22","6","1","10116115","1.636","450","0","0","0","1011611522"
