08739369cfce139a02775649eea5c7c095873e6684001f5006a14577c72393bb,f1c38c9c5acf64765854e1a9b4441d40a138c093218f4c55df0057963a296ff7,e0dd707a9ca80a255887a6794d77c6db754c8334a3909bdc96f74a40fd847393,667fe1927d23b8cf3169b5d9854e775b6e9762619434b0c69f983293aa6b47c6,75ee03aa7e3938491ec674d4914500174bd5e56a9a90b7cdb154f04f704dd8ee
"1","0","1","2700","1"
"1","0","2","3600","2"
"1","0","3","5400","3"
"1","1","4","3600","1"
"1","1","5","5400","2"
"1","1","6","7200","3"
"2","0","7","1800","1"
"2","0","8","2700","2"
"2","0","9","3600","3"
"2","1","10","2700","1"
"2","1","11","4050","2"
"2","1","12","5400","3"
"3","0","13","1800","1"
"3","0","14","2700","2"
"3","0","15","3600","3"
"3","1","16","2700","1"
"3","1","17","4050","2"
"3","1","18","5400","3"
"4","0","19","1800","1"
"4","0","20","2700","2"
"4","0","21","3600","3"
"4","1","22","2700","1"
"4","1","23","4050","2"
"4","1","24","5400","3"
