556add5690d2c9c9897cd94103b4d41461b359addd2d9cf55f6c17f290f0bbed,39a6ce3eee6582b3ea979278e713838f8ec6668595b06eab65f993ee17bc3254,14579ec43cf8819a00f2b5c711a8f1f0b474ee17e2003030c72ca522010a0494,b8f6c0ca2f89be52d0db423813ea037496e031a9cbde3c3132c3120b42154220,51484e117796b2754f0099de49d79a6eb42b2730e2efa5c14859b03a8b4c93f3,06a78c49c3c71274418277d71fee7d3032ea5490ed6a320b7bccdf4f37eabb52,58d5ed050cabc0a1b536d3ccb01a466a57896cb7b8e8b44bc9f6ee9de08c941c,ce9b1281c6332a68fa6210195216201a04159d75afa46e66f31463dd846a4638,961b3f887d6329b719c0ade4e364e7b79c9e03649ef9ce13b7531e0f9884d248,01ed8b2f91deae5a2c7060d1376cfe518ae10af6b25c9e3670b3c9d5be1c8d62,72ffd5509b6e4ab6d29191e2b4fcd952b7046c322953ef126847d288c1d45826,b4697abdfef7c18617b2963bf40bcf2bca132706ddf3ad7bf565890bacd16d4c,1b38b14da2a6ff8c49cf393f165da575ea5bcefec2a5004fae794ccea3f20737,a3a811fe16d498298ec493fd6714ef8f177c1eb64fdd71f28e17e7dd967ff6dc,50f83749caed55860bfa9bf423773d10d4f6d54ba782c54a8c2e22865d4f975f
"2023/06/30 12:00:00","-1","1","1","bgm_MC043","2023/09/22 14:59:59","16","100","2023/09/15 14:59:59","8","10010001","-1","96001","-1","bgm_MC043"
"2023/09/15 15:00:00","-1","2","1","bgm_MC043","2023/12/22 14:59:59","16","100","2023/12/15 14:59:59","8","10020001","-1","96002","-1","bgm_MC043"
"2023/12/15 15:00:00","-1","3","2","bgm_MC103","2024/03/22 14:59:59","16","100","2024/03/15 14:59:59","8","10030001","-1","96003","-1","bgm_MC103"
"2024/03/15 15:00:00","-1","4","2","bgm_MC103","2024/06/22 14:59:59","16","100","2024/06/15 14:59:59","8","10040363","-1","96004","-1","bgm_MC103"
"2024/06/15 15:00:00","-1","5","2","bgm_MC103","2024/09/22 14:59:59","16","500","2024/09/15 14:59:59","10","10050001","-1","96005","-1","bgm_MC103"
"2024/09/15 15:00:00","-1","6","2","bgm_MC103","2024/12/22 14:59:59","16","500","2024/12/15 14:59:59","10","10060001","-1","96006","-1","bgm_MC103"
"2024/12/15 15:00:00","15","7","3","bgm_MC211","2025/03/22 14:59:59","16","1000","2025/03/15 14:59:59","10","10070363","5","96007","15","bgm_MC211"
"2025/03/15 15:00:00","15","8","3","bgm_MC211","2025/06/23 14:59:59","16","1000","2025/06/16 14:59:59","10","10080001","5","96008","15","bgm_MC211"
"2025/06/16 15:00:00","15","9","3","bgm_MC211","2025/09/23 14:59:59","16","1000","2025/09/16 14:59:59","10","10090001","5","96009","15","bgm_MC211"
"2025/09/16 15:00:00","15","10","1","bgm_MC043","2025/12/22 14:59:59","16","1000","2025/12/15 14:59:59","10","10100363","5","96010","15","bgm_MC043"
"2025/12/15 15:00:00","15","11","1","bgm_MC043","2026/03/23 11:59:59","16","1000","2026/03/16 11:59:59","10","10110001","5","96011","15","bgm_MC043"
"2026/03/16 12:00:00","15","12","2","bgm_MC103","2026/06/22 11:59:59","16","1000","2026/06/15 11:59:59","10","10120001","5","96012","15","bgm_MC103"
"2026/06/15 12:00:00","15","13","2","bgm_MC103","2026/09/22 11:59:59","16","1000","2026/09/15 11:59:59","10","10130363","5","96013","15","bgm_MC103"
