320e8cebe5803de104a492589ccf5fdf8418cc21c8b73245c4b307e8977679c0,6b43773ec6e3e7e9d198a2e398a153105357b1533d70c4bba7acf980214e8979,e13162fe9f3d9cdc67578ed751f3d971b6edea6d8323969846102ad5f3460c21,789d3a5d65041eea5bd11e115cf5d56bcbff1894943bada0634071dd1594efc5,091b8e4a532da2604c91377216baa2135e7ee3a33ceea7b42ab8a98f6c11be67,e23ba313e5f3d8b1841a19149bd5ccb713ba4341c3db8d5a43d3e32029e1770b,ecff4e4b205f425d62a000fd8d5cd1085a65021ef971702ece71f2ae4fbc27bc,a64532f63f8520010053d5f3054d5f45b91bcb518a6f43c45807de55bc8717de,e2c8164b616c5e4bdf1129f56f4b1411666a53a8fcf0781f286b81fb96192610
"0","1","0","1.6","","50","1","0","610201101"
"0","1","200","1.8","","-75","1","0","610201151"
"0","1","0","1.6","","50","1","0","610201201"
"0","1","0","1.6","","50","1","0","610201202"
"0","1","0","1.6","","50","1","0","610201203"
"0","1","200","1.65","","-75","1","0","610201251"
"0","1","200","1.8","","-75","1","0","610201252"
"0","1","200","1.8","","-75","1","0","610201253"
"0","1","0","1.6","","50","1","0","610201301"
"0","1","0","1.6","","50","1","0","610201302"
"0","1","0","1.6","","50","1","0","610201303"
"0","1","200","1.65","","-75","1","0","610201351"
"0","1","200","1.8","","-75","1","0","610201352"
"0","1","200","1.8","","-75","1","0","610201353"
"0","2","0","1","","0","0","1","610201401"
"0","3","0","1","","0","0","1","610201402"
"0","4","0","1","","0","0","1","610201403"
"-200","2","0","0.78","","0","0","0","610201451"
"-140","3","0","0.78","","0","0","0","610201452"
"-60","4","0","0.78","","0","0","0","610201453"
"0","2","0","1","","0","0","1","610201501"
"0","3","0","1","","0","0","1","610201502"
"0","4","0","1","","0","0","1","610201503"
"-200","2","0","0.78","","0","0","0","610201551"
"-140","3","0","0.78","","0","0","0","610201552"
"-60","4","0","0.78","","0","0","0","610201553"
"0","1","190","1.7","","-45","1","0","610202101"
"0","1","190","1.4","","-55","1","0","610202201"
"0","1","190","1.7","","-45","1","0","610202202"
"0","1","190","1.7","","-45","1","0","610202203"
"0","1","190","1.4","","-55","1","0","610202301"
"0","1","190","1.7","","-45","1","0","610202302"
"0","1","190","1.7","","-45","1","0","610202303"
"-200","2","0","1","","0","0","0","610202401"
"-140","3","0","1","","0","0","0","610202402"
"-60","4","0","1","","0","0","0","610202403"
"-60","5","0","1","","0","0","0","610202404"
"-200","2","0","1","","0","0","0","610202501"
"-140","3","0","1","","0","0","0","610202502"
"-60","4","0","1","","0","0","0","610202503"
"-60","5","0","1","","0","0","0","610202504"
"0","1","190","1.03","","-80","1","0","610203101"
"0","1","190","0.66","","-42","1","0","610203201"
"0","1","190","1.03","","-80","1","0","610203202"
"0","1","190","1.03","","-80","1","0","610203203"
"0","1","190","0.66","","-42","1","0","610203301"
"0","1","190","1.03","","-80","1","0","610203302"
"0","1","190","1.03","","-80","1","0","610203303"
"-200","2","0","0.78","","0","0","0","610203401"
"-140","3","0","0.78","","0","0","0","610203402"
"-60","4","0","0.78","","0","0","0","610203403"
"-30","5","0","0.78","","0","0","0","610203404"
"-200","2","0","0.78","","0","0","0","610203501"
"-140","3","0","0.78","","0","0","0","610203502"
"-60","4","0","0.78","","0","0","0","610203503"
"-30","5","0","0.78","","0","0","0","610203504"
"0","1","305","1.75","","-65","1","0","610204101"
"0","1","305","1.4","","-55","1","0","610204201"
"0","1","305","1.75","","-65","1","0","610204202"
"0","1","305","1.75","","-65","1","0","610204203"
"0","1","305","1.4","","-55","1","0","610204301"
"0","1","305","1.75","","-65","1","0","610204302"
"0","1","305","1.75","","-65","1","0","610204303"
"-200","2","0","0.85","","0","0","0","610204401"
"-140","3","0","0.85","","0","0","0","610204402"
"-60","4","0","1","","0","0","0","610204403"
"-60","5","0","1","","0","0","0","610204404"
"-200","2","0","0.85","","0","0","0","610204501"
"-140","3","0","0.85","","0","0","0","610204502"
"-60","4","0","1","","0","0","0","610204503"
