6c4e15e33799146e6246870319dc2c331e1a732e27e5c6217874f953d23dd673,fbe5d82f6be7d86ea9c843fda8f16fb2bbcff1c69110726efeb0cf81e58b537b,2b67bf7fa3a55b4d85b4cc97e0fd7f1b1fd6b84f41a8065d2fbb8e63aa143afd,2beb0f0a5236f3be650335620b070f7dc41a119699a8686ed34d43a858dd9dc4,f7cb8a8ab6f542be38ff6fdd5b7b1feb6f276d7dda3fca0d4286d510b9f96b06,e9a3e7fe6fb0a392f236c8bdd60f4d3ffd16c3c84ec438b11c29865fe4e7ae22,2c3b3f32500744a661501dab4b20a476d47baeaefcabf20f60a1ad3b695b28d2,74655d98eaa34cadf14778436d940d91c4ecdceccb084bf5a41f4438903bfab1,302eccc2327609db129a577086b34a143f5063708d5d49179cbc60031383ec6d,35776e1134a91de2d770c28cddb17a3358acb96564f5e01a45412fd5b96f3ba6
"1","vo_10011600_0101","1010001","0","2","0","vo_10011600","1","0",""
"1","0","1010002","8","1","0","0","2","0","　明日から"
"1","0","1010003","0","4","1","0","3","1.625",""
"1","0","1010004","10","1","0","0","4","0","聖テレサ女学院に通うことになっちゃった！"
"1","0","1010005","0","4","1","0","5","4",""
"1","vo_10011600_0102","1010006","0","2","0","vo_10011600","6","0",""
"1","0","1010007","8","1","0","0","7","0","　なんで、"
"1","0","1010008","0","4","1","0","8","1.375",""
"1","0","1010009","9","1","0","0","9","0","どうしてこんなことになっちゃったんだろう。\n"
"1","0","1010010","0","4","1","0","10","3.33333333333333",""
"1","vo_10011600_0103","1010011","0","2","0","vo_10011600","11","0",""
"1","0","1010012","8","1","0","0","12","0","ミサト先生は"
"1","0","1010013","0","4","1","0","13","1.75",""
"1","0","1010014","10","1","0","0","14","0","私ならきっとやれると言ってくれたけど……"
"1","0","1010015","0","4","1","0","15","3",""
"1","0","1010016","8","1","0","0","16","0","絶対ムリだー！\n"
"1","0","1010017","0","4","1","0","17","3.875",""
"1","vo_10011600_0104","1010018","0","2","0","vo_10011600","18","0",""
"1","0","1010019","8","1","0","0","19","0","でも。"
"1","0","1010020","0","4","1","0","20","2.375",""
"1","0","1010021","8","1","0","0","21","0","でも……"
"1","0","1010022","0","4","1","0","22","2.5",""
"1","vo_10011600_0105","1010023","0","2","0","vo_10011600","23","0",""
"1","0","1010024","8","1","0","0","24","0","でも、"
"1","0","1010025","0","4","1","0","25","1.375",""
"1","0","1010026","8","1","0","0","26","0","もしも、"
"1","0","1010027","0","4","1","0","27","1.5",""
"1","0","1010028","8","1","0","0","28","0","私が聖テレサ女学院で頑張ることが出来たら。\n\n"
"1","0","1010029","0","4","1","0","29","4.875",""
"1","vo_10011600_0106","1010030","0","2","0","vo_10011600","30","0",""
"1","0","1010031","6","1","0","0","31","0","……友達、"
"1","0","1010032","0","4","1","0","32","1.58333333333333",""
"1","0","1010033","8","1","0","0","33","0","できるかな？"
"1","0","1010034","0","4","1","0","34","1.75",""
"2","vo_10011600_0201","1020001","0","2","0","vo_10011600","1","0",""
"2","0","1020002","8","1","0","0","2","0","　ごきげんようという挨拶で"
"2","0","1020003","0","4","1","0","3","2.375",""
"2","0","1020004","8","1","0","0","4","0","私のぼっち心は最初から爆発寸前。\n"
"2","0","1020005","0","4","1","0","5","4",""
"2","vo_10011600_0202","1020006","0","2","0","vo_10011600","6","0",""
"2","0","1020007","8","1","0","0","7","0","ところが、"
"2","0","1020008","0","4","1","0","8","1.125",""
"2","0","1020009","8","1","0","0","9","0","なんとそこにBB団の団長さんが登場！"
"2","0","1020010","0","4","1","0","10","3.75",""
"2","vo_10011600_0203","1020011","0","2","0","vo_10011600","11","0",""
"2","0","1020012","8","1","0","0","12","0","　BB団の絆は"
"2","0","1020013","0","4","1","0","13","1.875",""
"2","0","1020014","8","1","0","0","14","0","どんな場所だろうと離れることはないんですね！\n"
"2","0","1020015","0","4","1","0","15","3.75",""
"2","vo_10011600_0204","1020016","0","2","0","vo_10011600","16","0",""
"2","0","1020017","8","1","0","0","17","0","そして、"
"2","0","1020018","0","4","1","0","18","1",""
"2","0","1020019","8","1","0","0","19","0","あの人と一緒にやってきた"
"2","0","1020020","0","4","1","0","20","2",""
"2","0","1020021","8","1","0","0","21","0","聖テレサ女学院"
"2","0","1020022","0","4","1","0","22","1.125",""
"2","0","1020023","8","1","0","0","23","0","（なかよし部）のみなさんとお知り合いに。"
"2","0","1020024","0","4","1","0","24","3.5",""
"2","vo_10011600_0205","1020025","0","2","0","vo_10011600","25","0",""
"2","0","1020026","8","1","0","0","26","0","　なんだかとても個性的な方々で、"
"2","0","1020027","0","4","1","0","27","3",""
"2","0","1020028","6","1","0","0","28","0","仲良くなれるか心配……"
"2","0","1020029","0","4","1","0","29","2.83333333333333",""
"3","vo_10011600_0301","1030001","0","2","0","vo_10011600","1","0",""
"3","0","1030002","8","1","0","0","2","0","　やっちゃった。"
"3","0","1030003","0","4","1","0","3","3",""
"3","vo_10011600_0302","1030004","0","2","0","vo_10011600","4","0",""
"3","0","1030005","8","1","0","0","5","0","　自己紹介というぼっちの前に立ちふさがる巨大な壁。"
"3","0","1030006","0","4","1","0","6","5.125",""
"3","vo_10011600_0303","1030007","0","2","0","vo_10011600","7","0",""
"3","0","1030008","8","1","0","0","8","0","　何度もイメージトレーニングしたのに、"
"3","0","1030009","0","4","1","0","9","2.625",""
"3","0","1030010","8","1","0","0","10","0","ものの見事に玉砕しちゃった。"
"3","0","1030011","0","4","1","0","11","2.75",""
"3","vo_10011600_0304","1030012","0","2","0","vo_10011600","12","0",""
"3","0","1030013","8","1","0","0","13","0","　クラスメイトのみんなの目がこっちを向いた瞬間、"
"3","0","1030014","0","4","1","0","14","3.5",""
"3","0","1030015","8","1","0","0","15","0","頭の中は真っ白、"
"3","0","1030016","0","4","1","0","16","2",""
"3","0","1030017","10","1","0","0","17","0","また訳の分からないことを口にしちゃった。\n"
"3","0","1030018","0","4","1","0","18","4.5",""
"3","vo_10011600_0305","1030019","0","2","0","vo_10011600","19","0",""
"3","0","1030020","8","1","0","0","20","0","みんなは楽しそうに笑ってくれたけど、"
"3","0","1030021","0","4","1","0","21","3",""
"3","0","1030022","8","1","0","0","22","0","これから先が不安……"
"3","0","1030023","0","4","1","0","23","2.25",""
"4","vo_10011600_0401","1040001","0","2","0","vo_10011600","1","0",""
"4","0","1040002","8","1","0","0","2","0","　ユニさんは"
"4","0","1040003","0","4","1","0","3","1.75",""
"4","0","1040004","8","1","0","0","4","0","とっても頭がいい人みたい。"
"4","0","1040005","0","4","1","0","5","2.625",""
"4","vo_10011600_0402","1040006","0","2","0","vo_10011600","6","0",""
"4","0","1040007","8","1","0","0","7","0","　なんだか難しい言葉をよく使ってるんだけど、"
"4","0","1040008","0","4","1","0","8","3.75",""
"4","0","1040009","8","1","0","0","9","0","理解できない単語があったりするし、"
"4","0","1040010","0","4","1","0","10","3.125",""
"4","0","1040011","8","1","0","0","11","0","これからは辞書を持ち歩こうかな？\n"
"4","0","1040012","0","4","1","0","12","4",""
"4","vo_10011600_0403","1040013","0","2","0","vo_10011600","13","0",""
"4","0","1040014","8","1","0","0","14","0","　象牙の塔っていう場所でいつも研究をしてて、"
"4","0","1040015","0","4","1","0","15","3.75",""
"4","0","1040016","8","1","0","0","16","0","普段はそこからほとんど出ないらし\nく、"
"4","0","1040017","0","4","1","0","17","3.25",""
"4","0","1040018","8","1","0","0","18","0","私と同じぼっちの匂いがします。"
