e48b9a524eb9d7420c32e26b1b98b11c070eb9212e78b45abac31b8ede7aa7d7,9de192598c46fc86dff9f441af4a7c21614f9ae13ea212c2f0ff6d6c009569f6,7ba84bd043182a3a7846422dbe8b188cb5a4179264a5599612ae70d6bd664d6c,9c2f7c81c1d6a999dfd9da7d7a189d99563dca3a4ff4e7b32a7aff1f98c16ac6,5a998e241b6bf604e9be4ddd9aba8ef984f7d627cd7ef7d912fb52db4a17b469
"25","101","13000001","1","1"
"26","102","40001","1","1"
"28","103","99012","1000","1"
"25","201","13000002","1","2"
"26","202","40002","1","2"
"28","203","99012","1000","2"
"25","301","13000004","1","3"
"26","302","40006","1","3"
"28","303","99012","1000","3"
"25","401","13000011","1","4"
"26","402","40008","1","4"
"28","403","99012","1000","4"
"25","501","13000007","1","5"
"26","502","40007","1","5"
"28","503","99012","1000","5"
"25","601","13000005","1","6"
"26","602","40011","1","6"
"28","603","99012","1000","6"
"25","701","13000009","1","7"
"26","702","40003","1","7"
"28","703","99012","1000","7"
"25","801","13000010","1","8"
"26","802","40012","1","8"
"28","803","99012","1000","8"
"25","901","13000013","1","9"
"26","902","40010","1","9"
"28","903","99012","1000","9"
"25","1001","13000006","1","10"
"26","1002","40013","1","10"
"28","1003","99012","1000","10"
"25","1101","13000008","1","11"
"26","1102","40004","1","11"
"28","1103","99012","1000","11"
"25","1301","13000012","1","13"
"26","1302","40009","1","13"
"28","1303","99012","1000","13"
"25","1401","13000014","1","14"
"26","1402","40014","1","14"
"28","1403","99012","1000","14"
"25","1501","13000003","1","15"
"26","1502","40005","1","15"
"28","1503","99012","1000","15"
