acc9c28f006f47f6eadb58f1809d9ecc1d713f4cd5c1a16a6bec0e961f162019,e822a4abe929a75127b95f63cfcd73d986af3e880d6e57f8c0180ab2f0be9da8,02780ad293686a335f78e5a30b6cc3111fb98d7f543e99b561a62402ccd39322,107dd88bded333abf632030a66e37096b93d923ecdf840c73b2e8885399757cb,0788b91db6156d9d8032b787dbba8ec3274e8ea166c89e7a7ecf288ecf4e7eff,d88e68cc504a6284a59b54a9746bd5a36ac4f2c9cecd7e818c32724fa3377dfc,602472225ff2e44cdd0738fd0636d5823fce8682081bd1df2b0806d99978b4e2
"924070103","924070104","2407001","924070102","924070101","924070105","924070100"
"924070203","924070204","2407002","924070202","924070201","924070205","924070200"
"924070303","924070304","2407003","924070302","924070301","924070305","924070300"
"0","0","2407004","0","924071101","0","924071100"
"0","0","2407005","0","924071201","0","924071200"
"0","0","2407006","0","924071301","0","924071300"
"0","0","2407007","0","924071401","0","924071400"
"0","0","2407008","0","924072101","0","924072100"
"0","0","2407009","0","924072201","0","924072200"
"0","0","2407010","0","924072301","0","924072300"
"0","0","2407011","0","924072401","0","924072400"
"0","0","2407012","0","924073101","0","924073100"
"0","0","2407013","0","924073201","0","924073200"
"0","0","2407014","0","924073301","0","924073300"
"0","0","2407015","0","924073401","0","924073400"
"924080103","924080104","2408001","924080102","924080101","924080105","924080100"
"924080203","924080204","2408002","924080202","924080201","924080205","924080200"
"924080303","924080304","2408003","924080302","924080301","924080305","924080300"
"0","0","2408004","0","924081101","0","924081100"
"0","0","2408005","0","924081201","0","924081200"
"0","0","2408006","0","924081301","0","924081300"
"0","0","2408007","0","924081401","0","924081400"
"0","0","2408008","0","924082101","0","924082100"
"0","0","2408009","0","924082201","0","924082200"
"0","0","2408010","0","924082301","0","924082300"
"0","0","2408011","0","924082401","0","924082400"
"0","0","2408012","0","924083101","0","924083100"
"0","0","2408013","0","924083201","0","924083200"
"0","0","2408014","0","924083301","0","924083300"
"0","0","2408015","0","924083401","0","924083400"
"924090103","924090104","2409001","924090102","924090101","924090105","924090100"
"924090203","924090204","2409002","924090202","924090201","924090205","924090200"
"924090303","924090304","2409003","924090302","924090301","924090305","924090300"
"0","0","2409004","0","924091101","0","924091100"
"0","0","2409005","0","924091201","0","924091200"
"0","0","2409006","0","924091301","0","924091300"
"0","0","2409007","0","924091401","0","924091400"
"0","0","2409008","0","924092101","0","924092100"
"0","0","2409009","0","924092201","0","924092200"
"0","0","2409010","0","924092301","0","924092300"
"0","0","2409011","0","924092401","0","924092400"
"0","0","2409012","0","924093101","0","924093100"
"0","0","2409013","0","924093201","0","924093200"
"0","0","2409014","0","924093301","0","924093300"
"0","0","2409015","0","924093401","0","924093400"
