5c1f01afd922c7465394708fd0a30d907ddc27f18028f5bb5abde123b8a1a14b,27343e68cbd99cc7b00d5bbae4b3fec3bfe23234496c187367fc43a58b129fd5,1be55c09f45c9feaa5dd56e77b51c2e1d507f423b7a2b3f89f35694bcb2740f8,9be26485c44cdce5b62c6e73d342b490a867cc4c98cbe5598d6d22a7155aa99e,d7a7f55a0d69c17aaf478b7262ffc3801e5c00303e7820e3e055dd56e8317ef1,bd8673ba85a484823b551bf195b20ffd2a628485b23d22234eed4b44480c2fa7,a6b4d74e664e39f515193334d9a95cc657e6d80e1d9d39cde508925d883f0f03,007425b66d83dabc21be5641c9093867f3b9af77fc19d0ad5942a0e57b775b14,84feec6e14cf658f279c45d6efbc48888ea0cf9ea867ef52bcdf9c4836f292c0,03d62eb7bada8edc0e4b0413d95dd59cf1bcaec326283e02f588d9918859c405,e887850f1e4977e4ecf4699a8b6ad18d45ec9cf7ed1e746793482b7203860061,b05bf4f8142c4a9ee748d2bceb14b774437bc93a8240a42bdce310703391c212
"610201102","5.5","1","1","0","0","5201321","5","5201322","0","70","10201201"
"610201103","1.5","3","2","15","600","0","5","5201323","3","0","10201201"
"610201104","1.5","1","3","0","0","0","5","0","0","0","10201201"
"610201105","5.5","1","1","0","0","0","5","0","0","70","10201501"
"610201106","1.5","3","2","15","600","0","5","0","3","0","10201501"
"610201107","1.5","1","3","0","0","0","5","0","0","0","10201501"
"610201152","5.5","2","1","0","600","5201331","5","5201332","3","0","10201251"
"610201153","1.5","1","2","0","0","0","5","5201333","0","65","10201251"
"610201154","1.5","1","3","0","0","0","5","0","0","0","10201251"
"610201155","5.5","2","1","0","600","0","5","0","3","0","10201551"
"610201156","1.5","1","2","0","0","0","5","0","0","65","10201551"
"610201157","1.5","1","3","0","0","0","5","0","0","0","10201551"
"610202102","5.5","2","1","0","600","5202321","5","5202322","3","0","10202201"
"610202103","1.5","1","2","0","0","0","5","5202323","0","70","10202201"
"610202104","1.5","1","3","0","0","0","5","0","0","0","10202201"
"610202105","5.5","2","1","0","600","0","5","0","3","0","10202501"
"610202106","1.5","1","2","0","0","0","5","0","0","70","10202501"
"610202107","1.5","1","3","0","0","0","5","0","0","0","10202501"
"610203102","5.5","2","1","0","600","5203321","5","5203322","3","0","10203201"
"610203103","1.5","1","2","0","0","0","5","5203323","0","66","10203201"
"610203104","1.5","1","3","0","0","0","5","0","0","0","10203201"
"610203105","5.5","2","1","0","600","0","5","0","3","0","10203501"
"610203106","1.5","1","2","0","0","0","5","0","0","66","10203501"
"610203107","1.5","1","3","0","0","0","5","0","0","0","10203501"
"610204102","5.5","2","1","0","600","5204321","5","5204322","3","0","10204201"
"610204103","1.5","1","2","0","0","0","5","5204323","0","60","10204201"
"610204104","1.5","1","3","0","0","0","5","0","0","0","10204201"
"610204105","5.5","2","1","0","600","0","5","0","3","0","10204501"
"610204106","1.5","1","2","0","0","0","5","0","0","80","10204501"
"610204107","1.5","1","3","0","0","0","5","0","0","0","10204501"
"610205102","5.5","2","1","0","600","5205321","5","5205322","3","0","10205201"
"610205103","1.5","1","2","0","0","0","5","5205323","0","65","10205201"
"610205104","1.5","1","3","0","0","0","5","0","0","0","10205201"
"610205105","5.5","2","1","0","600","0","5","0","3","0","10205501"
"610205106","1.5","1","2","0","0","0","5","0","0","66","10205501"
"610205107","1.5","1","3","0","0","0","5","0","0","0","10205501"
"610206102","5.5","2","1","0","600","5206321","5","5206322","3","0","10206201"
"610206103","1.5","2","2","0","600","0","5","5206323","3","0","10206201"
"610206104","1.5","1","3","0","0","0","5","0","0","0","10206201"
"610206105","5.5","2","1","0","600","0","5","0","3","0","10206501"
"610206106","1.5","2","2","0","600","0","5","0","3","0","10206501"
"610206107","1.5","1","3","0","0","0","5","0","0","0","10206501"
"610207102","5.5","2","1","0","600","5207321","5","5207322","3","0","10207201"
"610207103","1.5","1","2","0","0","0","5","5207323","0","66","10207201"
"610207104","1.5","1","3","0","0","0","5","0","0","0","10207201"
"610207105","5.5","2","1","0","600","0","5","0","3","0","10207501"
"610207106","1.5","1","2","0","0","0","5","0","0","66","10207501"
"610207107","1.5","1","3","0","0","0","5","0","0","0","10207501"
"610208102","5.5","2","1","0","600","5208321","5","5208322","3","0","10208201"
"610208103","1.5","1","2","0","0","0","5","5208323","0","70","10208201"
"610208104","1.5","1","3","0","0","0","5","0","0","0","10208201"
"610208105","5.5","2","1","0","600","0","5","0","3","0","10208501"
"610208106","1.5","1","2","0","0","0","5","0","0","70","10208501"
"610208107","1.5","1","3","0","0","0","5","0","0","0","10208501"
"610209102","5.5","2","1","0","600","5209321","5","5209322","3","0","10209201"
"610209103","1.5","1","2","0","0","0","5","5209323","0","55","10209201"
"610209104","1.5","1","3","0","0","0","5","0","0","0","10209201"
"610209105","5.5","2","1","0","600","0","5","0","3","0","10209501"
"610209106","1.5","1","2","0","0","0","5","0","0","60","10209501"
"610209107","1.5","1","3","0","0","0","5","0","0","0","10209501"
"610210102","5.5","2","1","0","600","5210321","5","5210322","3","0","10210201"
"610210103","1.5","1","2","0","0","0","5","5210323","0","65","10210201"
"610210104","1.5","1","3","0","0","0","5","0","0","0","10210201"
"610210105","5.5","2","1","0","600","0","5","0","3","0","10210501"
"610210106","1.5","1","2","0","0","0","5","0","0","60","10210501"
"610210107","1.5","1","3","0","0","0","5","0","0","0","10210501"
