ded148c683a1b8ffc9c4d749ac420349da8f81e651d13fc1b8c4c2b5336cd646,279ae35b87c962ee85221c5a2c12c372ebad0d82a01eb18ceb7c162df31d1642,2ca58603b41615da2f21337e0a306a281a53bae44afbbd67e0f3d0ef07a403ac,4a54900e9b4f1e499d5b416d5a4cafeb8ecaeb78cca577c58ca63e126518e906,268dd0b9e3ce138413bd68fb9202204f61f0651d9f6a7ef2b40c6164a9a1223c,da5da3e2ffa0ea06e0b31a06beda74dafcb55c6afbd3424f065d7aa89e74d392,e832c0c5a61dc75df15b67205eea84995a50c781f287176e4d955210d91306a6,0b64d7bbf484b6656fb542ac6e86eba8abe16486d9a6c2dffce5bebadc307dd7,92a77eeb9e3fdac6a87ba9b266c1ae995026dbb5cb9285aad79d2e4abbd863a7
"18001001","2030/12/31 23:59:59","2018/01/01 5:00:00","93001","-1","1","6","100","1"
"18001002","2030/12/31 23:59:59","2018/01/01 5:00:00","93001","-1","1","6","100","2"
"11001001","2020/11/16 4:59:59","2018/01/01 5:00:00","0","-1","1","5","30","3"
"11001001","2020/11/16 4:59:59","2018/01/01 5:00:00","94002","-1","1","12","30000","4"
"11001001","2020/11/16 4:59:59","2018/01/01 5:00:00","91002","-1","1","8","10","5"
"11003001","2020/11/16 4:59:59","2018/01/01 5:00:00","0","-1","1","5","40","6"
"11003001","2020/11/16 4:59:59","2018/01/01 5:00:00","20002","-1","1","2","2","7"
"11003001","2020/11/16 4:59:59","2018/01/01 5:00:00","91002","-1","1","8","10","8"
"13002001","2020/11/16 4:59:59","2018/01/01 5:00:00","0","-1","1","5","20","9"
"18004001","2020/11/16 4:59:59","2018/01/01 5:00:00","0","-1","1","5","20","10"
"16006001","2020/11/16 4:59:59","2018/01/01 5:00:00","0","-1","1","5","25","11"
"16007001","2020/11/16 4:59:59","2018/01/01 5:00:00","0","-1","1","5","25","12"
"16007001","2020/11/16 4:59:59","2018/01/01 5:00:00","22001","-1","1","2","3","13"
"11004001","2020/11/16 4:59:59","2018/01/01 5:00:00","0","-1","1","5","30","14"
"11004001","2020/11/16 4:59:59","2018/01/01 5:00:00","20002","-1","1","2","2","15"
"11004001","2020/11/16 4:59:59","2018/01/01 5:00:00","90007","-1","1","2","500","16"
"11005001","2020/11/16 4:59:59","2018/01/01 5:00:00","0","-1","1","5","40","17"
"11005001","2020/11/16 4:59:59","2018/01/01 5:00:00","94002","-1","1","12","30000","18"
"11005001","2020/11/16 4:59:59","2018/01/01 5:00:00","90007","-1","1","2","500","19"
"11006001","2030/12/31 23:59:59","2018/01/01 5:00:00","0","-1","1","5","30","20"
"11006001","2030/12/31 23:59:59","2018/01/01 5:00:00","20003","-1","1","2","2","21"
"15004001","2022/12/16 4:59:59","2018/01/01 5:00:00","0","-1","1","5","30","22"
"15004001","2022/12/16 4:59:59","2018/01/01 5:00:00","90007","-1","1","2","100","23"
"14001001","2020/11/16 4:59:59","2018/01/01 5:00:00","0","-1","1","5","40","24"
"14001001","2020/11/16 4:59:59","2018/01/01 5:00:00","94002","-1","1","12","80000","25"
"14001001","2020/11/16 4:59:59","2018/01/01 5:00:00","20003","-1","1","2","2","26"
"14003001","2020/11/16 4:59:59","2018/01/01 5:00:00","0","-1","1","5","50","27"
"14003001","2020/11/16 4:59:59","2018/01/01 5:00:00","94002","-1","1","12","140000","28"
"14003001","2020/11/16 4:59:59","2018/01/01 5:00:00","22002","-1","1","2","4","29"
"21001001","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","-1","1","8","30","30"
"21001001","2030/12/31 23:59:59","2018/01/01 5:00:00","94002","-1","1","12","2000","31"
"21001002","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","-1","1","8","30","33"
"21001002","2030/12/31 23:59:59","2018/01/01 5:00:00","22001","-1","1","2","2","34"
"21001003","2030/12/31 23:59:59","2018/01/01 5:00:00","91002","-1","1","8","30","36"
