be07a08505746728e8ea4dbda053bb47d295797cc515b3d4d56042818f242d82,6909e023798bb94ead65809301e8d5441214f45761b23cd143f8aa9080d64964,72e35f556c45b0fd6ad6ffc6ba93a0a1fcebcca55d8b5793b6dbf0ac8e0fd264,7e5285c371efad8123b504e867d693db085df1a25b9c49f2545d24ef05157690,d1588a27d813a0a1b74f268886e5832059f0123a3917f9241c48fbfb6edd34d8,79c81a02e794b8da1a523d591f9cad1451099bd5bc1ecd8ea0d1b230a0bfbfb1,661bf3d773b81526512adecc17d057965d9611fb65ad63eb2efc89d9b7df3c2a,5122b3cf506998668d12626de03aca9308494d070ccc7ce9566620fb53517076,b7f12f1ec99d2ef576f0dfd22effcb3a5fe901193373f2453fd0070c71980f2d,f150c5983203c86f8d842f889d37e9b4c0ba51d97d1389d5ef4ae201ffc27c00,5a1b569256671cad7e551dfd5d2bb7c52287ecb3c43cfa01c56fd029f7a4cf7c,55b04d5f2c992e52266999e912f24d6e1d310d93a25ef6ab8bc1be584a8edfde,69f659212786ea077463df5a645b6ac178a77029fc540325740abb3c4b1717fd,b53ddf7380dd6625ae2e5f3b2996915b4bd469f504243ee55d8a9f998dd781e7,6e9aeb561f3d7061ac7262624de094af856cc6d3cc4312199ef726db93317dc0,30ff3988b96cbe6e9501014fe0ef0fd34a3eed647c7a9f35ae69fea52536d824
"401","1","1","2","101","2","301","215","980","70","455","-110","1008201","201","3","501"
"402","1","2","2","102","2","302","215","515","70","230","-110","1008202","202","3","502"
"403","1","3","1","103","2","303","215","515","70","230","-110","1008203","203","3","503"
"404","1","4","1","104","2","304","215","515","70","230","-110","1008204","204","3","504"
"405","1","5","2","105","2","305","233","787","78","355","-110","1008205","205","3","505"
"406","1","6","3","106","2","306","233","787","78","355","-110","1008206","206","3","506"
"407","1","7","3","107","2","307","233","777","88","345","-110","1008207","207","3","507"
"408","1","8","1","108","2","308","233","777","88","345","-110","1008208","208","3","508"
"409","1","9","1","109","2","309","233","777","88","345","-110","1008209","209","3","509"
"410","1","10","3","110","2","310","233","810","88","355","-110","1008210","210","3","510"
"411","1","11","2","111","2","311","233","777","88","345","-110","1008211","211","3","511"
"412","1","12","2","112","2","312","215","515","70","230","-110","1008212","212","3","512"
"413","1","13","1","113","2","313","233","810","78","355","-110","1008213","213","3","513"
"414","1","14","1","114","2","314","215","515","70","230","-110","1008214","214","3","514"
"415","1","15","3","115","2","315","215","515","70","230","-110","1008215","215","3","515"
"416","1","16","2","116","2","316","215","655","70","275","-110","1008216","216","3","516"
"417","1","17","3","117","2","317","215","515","70","230","-110","1008217","217","3","517"
"418","1","18","3","118","2","318","233","777","88","345","-110","1008218","218","3","518"
