21e8be2da7da23545962d5bf7fcb36f6298b707975491c6698fa170d1308cf39,0c8c9708888ec5065dd7ba14134c9bd32d67325fd65862229bca8bed09e2d2ef,d6f8531f1b0828e9c3d3b9e1f0eb5972b59ff707c1316268fd134661786c0078,64a92b6573b4780ad7a867ebd2995208fa145721e10aa93620c760f0690fbd16,e7659e68afedc758ab07ab62857ee9ef3989214c8db97a60678cfcbe597843de,007ebedfc7df678dad6ed8f059934dfb31f8626ff48f6e30295e16056ee23eda,3a8a228743b90f7e9e5e343f2a69cc3ac405e42716aa5e16b50e29ef6ee379ee,140d912193f74b758c1ee5577bea01218c7b141315ab2fabb1a16ad4c4bda558,cb19e6d90b30a92e4da0ff9f25066f4e3ad5d5270655232cb688d29e51ccc6cf
"1","1","0","10","12000","10000","30000","90043","90001"
"2","2","0","20","24000","10000","30000","90047","90002"
"3","3","0","20","24000","10000","30000","90047","90002"
"4","4","0","20","24000","10000","30000","90047","90002"
"5","5","0","20","24000","10000","30000","90047","90002"
"6","6","0","20","24000","10000","30000","90047","90002"
"7","7","0","20","24000","10000","30000","90047","90002"
"8","8","0","20","24000","10000","30000","90047","90002"
"9","9","0","20","24000","10000","30000","90047","90002"
"10","10","0","20","24000","10000","30000","90047","90002"
"11","11","90011","40","48000","10000","30000","90051","90003"
"12","12","90011","40","48000","10000","30000","90051","90003"
"13","13","90011","40","48000","10000","30000","90051","90003"
"14","14","90011","40","48000","10000","30000","90051","90003"
"15","15","90011","40","48000","10000","30000","90051","90003"
"16","16","90011","40","48000","10000","30000","90051","90003"
"17","17","90011","40","48000","10000","30000","90051","90003"
"18","18","90011","40","48000","10000","30000","90051","90003"
"19","19","90011","40","48000","10000","30000","90051","90003"
"20","20","90011","40","48000","10000","30000","90051","90003"
"21","21","90015","60","72000","10000","30000","90055","90004"
"22","22","90015","60","72000","10000","30000","90055","90004"
"23","23","90015","60","72000","10000","30000","90055","90004"
"24","24","90015","60","72000","10000","30000","90055","90004"
"25","25","90015","60","72000","10000","30000","90055","90004"
"26","26","90015","60","72000","10000","30000","90055","90004"
"27","27","90015","60","72000","10000","30000","90055","90004"
"28","28","90015","60","72000","10000","30000","90055","90004"
"29","29","90015","60","72000","10000","30000","90055","90004"
"30","30","90015","60","72000","10000","30000","90055","90004"
"31","31","90015","80","96000","10000","30000","90059","90005"
"32","32","90015","80","96000","10000","30000","90059","90005"
"33","33","90015","80","96000","10000","30000","90059","90005"
"34","34","90015","80","96000","10000","30000","90059","90005"
"35","35","90015","80","96000","10000","30000","90059","90005"
"36","36","90015","80","96000","10000","30000","90059","90005"
"37","37","90015","80","96000","10000","30000","90059","90005"
"38","38","90015","80","96000","10000","30000","90059","90005"
"39","39","90015","80","96000","10000","30000","90059","90005"
"40","40","90015","80","96000","10000","30000","90059","90005"
"41","41","90017","120","144000","10000","30000","90063","90005"
"42","42","90017","120","144000","10000","30000","90063","90005"
"43","43","90017","120","144000","10000","30000","90063","90005"
"44","44","90017","120","144000","10000","30000","90063","90005"
"45","45","90017","120","144000","10000","30000","90063","90005"
"46","46","90017","120","144000","10000","30000","90063","90005"
"47","47","90017","120","144000","10000","30000","90063","90005"
"48","48","90017","120","144000","10000","30000","90063","90005"
"49","49","90017","120","144000","10000","30000","90063","90005"
"50","50","90017","120","144000","10000","30000","90063","90005"
"51","51","90019","150","180000","10000","30000","90067","90006"
"52","52","90019","150","180000","10000","30000","90067","90006"
"53","53","90019","150","180000","10000","30000","90067","90006"
"54","54","90019","150","180000","10000","30000","90067","90006"
"55","55","90019","150","180000","10000","30000","90067","90006"
"56","56","90019","150","180000","10000","30000","90067","90006"
"57","57","90019","150","180000","10000","30000","90067","90006"
"58","58","90019","150","180000","10000","30000","90067","90006"
"59","59","90019","150","180000","10000","30000","90067","90006"
"60","60","90019","150","180000","10000","30000","90067","90006"
"61","61","90021","180","216000","10000","30000","90071","90007"
"62","62","90021","180","216000","10000","30000","90071","90007"
"63","63","90021","180","216000","10000","30000","90071","90007"
"64","64","90021","180","216000","10000","30000","90071","90007"
"65","65","90021","180","216000","10000","30000","90071","90007"
"66","66","90021","180","216000","10000","30000","90071","90007"
"67","67","90021","180","216000","10000","30000","90071","90007"
"68","68","90021","180","216000","10000","30000","90071","90007"
"69","69","90021","180","216000","10000","30000","90071","90007"
"70","70","90021","180","216000","10000","30000","90071","90007"
