dbd9f5b38df45c8903a6099b8da2c617833b65af9149e69c138da56d906d6f67,339d74b7eb4b9e7ca583c4a87b499b069d40ec14abdf5dd33fffafda7a8ef957,234f441e1647720aa58fe7d479ab3ae6b490f4ca105e7524af1c97d4f104df22,238c5bc9a907445284b421d1ed6f0de42129694c38f5a93451804137baa26fdf,48194cc1c905ff43a6a98004bd2e70d33c982201259cc897dc032cd1c003e046
"0","0","0","0","1"
"0","0","0","0","2"
"0","0","0","0","3"
"2","0","0","0","4"
"2","0","0","0","5"
"2","0","0","0","6"
"3","0","0","0","7"
"3","0","0","0","8"
"3","0","0","0","9"
"4","0","0","0","10"
"4","0","0","0","11"
"4","0","0","0","12"
"0","0","0","0","13"
"0","0","0","0","14"
"0","0","0","0","15"
"0","0","0","2","16"
"0","0","0","2","17"
"0","0","0","2","18"
"0","0","0","3","19"
"0","0","0","3","20"
"0","0","0","3","21"
"3","0","0","0","22"
"3","0","0","0","23"
"2","0","0","0","24"
"2","0","0","0","25"
"0","0","0","2","26"
"0","0","0","2","27"
"2","0","3","0","28"
"2","0","3","0","29"
"3","0","0","2","30"
"3","0","0","2","31"
"3","0","0","3","32"
"0","0","0","3","33"
"3","0","4","0","34"
"0","0","0","0","35"
"2","0","0","2","36"
"2","0","0","2","37"
"4","0","0","3","38"
