d4ca3ba346354480a94c053ac5434c504b4a9908f9839f8d6c47a72cb3c5c324,82f219c0d7dcfdfe309b7e8479c43162a07ecda1dfecce5cb1316e677f1f9eda,cde257a0bbbdeda42b3f43d4594771deb5e7d887faa8f9e18e9243e07051b635,077d7c710e63082d5a62c20021b85913791324f62b5ad8c24152e15641115ff8,8ddd2aa4fad9168777b3861d4aebe24704e1e0e5e477e941f1ec985f06eebb70,08acd71c9f96fc3095e4b4b8e089f597636dd79318a9ab23a25040db9a449fb0,4d335366a01cd22c6e84f07468e63e1c372e5d3e8e01f8cded1e8b0736c2b523,70ae60df8c8e8e9f19e868c4643efe19b638087b7c16b32864eb5e43a1efad41,f389794447a1648e8d29e698a25de1168722f56ecf97f19957eacebab225f2b3,10af782a0ab7988bb5c475352b6adaacbc13d9d9caadf6b44e6b88ac5415e335,cdb57eca02ec24ab87730fb78042f23656e32effd0c55317bca67dc7c43b1b29,b9d660471fbaf057f6792e1a7aa25e83a46b90848ef6b6ded3793a82b4d069ac,d02f8119b136c4ae499ca9180014c058c40142befa95c9746f23065d5bee0fc9,cadffea950e2ebb3179c9645e5b06ba00be7ae4bf39d8b994d7265db4b77e068,33a78c7065b3b1665007e9591ca206b4063089b0a00e6e64cd6b1d3ae2256bc0
"16","2023/06/30 12:00:00","2023/09/15 14:59:59","bgm_MC043","1","-1","bgm_MC043","1","-1","8","100","10010001","-1","2023/09/22 14:59:59","96001"
"16","2023/09/15 15:00:00","2023/12/15 14:59:59","bgm_MC043","2","-1","bgm_MC043","1","-1","8","100","10020001","-1","2023/12/22 14:59:59","96002"
"16","2023/12/15 15:00:00","2024/03/15 14:59:59","bgm_MC103","3","-1","bgm_MC103","2","-1","8","100","10030001","-1","2024/03/22 14:59:59","96003"
"16","2024/03/15 15:00:00","2024/06/15 14:59:59","bgm_MC103","4","-1","bgm_MC103","2","-1","8","100","10040363","-1","2024/06/22 14:59:59","96004"
"16","2024/06/15 15:00:00","2024/09/15 14:59:59","bgm_MC103","5","-1","bgm_MC103","2","-1","10","500","10050001","-1","2024/09/22 14:59:59","96005"
"16","2024/09/15 15:00:00","2024/12/15 14:59:59","bgm_MC103","6","-1","bgm_MC103","2","-1","10","500","10060001","-1","2024/12/22 14:59:59","96006"
"16","2024/12/15 15:00:00","2025/03/15 14:59:59","bgm_MC211","7","5","bgm_MC211","3","15","10","1000","10070363","15","2025/03/22 14:59:59","96007"
"16","2025/03/15 15:00:00","2025/06/16 14:59:59","bgm_MC211","8","5","bgm_MC211","3","15","10","1000","10080001","15","2025/06/23 14:59:59","96008"
"16","2025/06/16 15:00:00","2025/09/16 14:59:59","bgm_MC211","9","5","bgm_MC211","3","15","10","1000","10090001","15","2025/09/23 14:59:59","96009"
"16","2025/09/16 15:00:00","2025/12/15 14:59:59","bgm_MC043","10","5","bgm_MC043","1","15","10","1000","10100363","15","2025/12/22 14:59:59","96010"
"16","2025/12/15 15:00:00","2026/03/16 11:59:59","bgm_MC043","11","5","bgm_MC043","1","15","10","1000","10110001","15","2026/03/23 11:59:59","96011"
"16","2026/03/16 12:00:00","2026/06/15 11:59:59","bgm_MC103","12","5","bgm_MC103","2","15","10","1000","10120001","15","2026/06/22 11:59:59","96012"
"16","2026/06/15 12:00:00","2026/09/15 11:59:59","bgm_MC103","13","5","bgm_MC103","2","15","10","1000","10130363","15","2026/09/22 11:59:59","96013"
