847d1baabc72a1d6643691e8a83572f193b5433c6afa8c0ec7137c39d97108c4,f52362898b48628eb38b625de898fec0e28fc197c7d7ee960f1214fb2f0b0d5f,74e757f1514a4278e851df4917176e518375c1375c7e73802efacb41b6e065f1,d258b74fba357726ed10b57720619eafbacc9644c4dfc1c5456b5f6b73673b4c,f280be45ef6880481fb87e82241583146864f6cfec00c410d0e321f1bf88898a,663eb2dd517f98040a604e3a0c7d4d90bf254e59ac087dece8d30ddcb4ae8401,66c954a680e1dc97970461bec8a938640d4c0feea27d6195e103bd64a246f0c8,8dd78b166dfa8dd4df16cc02fc666ac7afada5e4ea5262f80139b76091635fde,d926c1cbf2ec0e8e55fd05fee626ab358e723e788e173458e2a058dfc9bd087e,a964f3bc3ca8dd42bdd3500881a56ed8f234c25c62d07761e11e490f41669f83,8ac05dbe241e146026bdb1e87ae997f39ae9cea5a48924ad2729fdf12c959ea8
"","23","se_fpc_water_random","","","","","11010001","101","se_10053800",""
"-850","1","<unit_id>","0","1.75","23","cmn_swm_tread","11010002","101","1","-180"
"-850","5","1","0","1.75","22","cmn_swm_tread_pink","11010003","101","1","-180"
"-180","31","3","","1","-850","","11010004","101","3","1"
"","91","0","","","","","11010005","101","0",""
"10","2","850","","","-180","","11010006","101","<unit_id>",""
"10","2","850","","","-180","","11010007","101","1",""
"10","33","850","","","-180","","11010008","101","3",""
"","23","se_fpc_water_random","","","","","11020001","102","se_10053800",""
"-850","1","<unit_id>","0","1.75","23","cmn_swm_tread","11020002","102","1","-180"
"-850","5","1","0","1.75","22","cmn_swm_tread_blue","11020003","102","1","-180"
"-180","31","3","","1","-850","","11020004","102","3","1"
"","91","0","","","","","11020005","102","0",""
"10","2","850","","","-180","","11020006","102","<unit_id>",""
"10","2","850","","","-180","","11020007","102","1",""
"10","33","850","","","-180","","11020008","102","3",""
"","23","se_fpc_water_random","","","","","11030001","103","se_10053800",""
"-850","1","<unit_id>","0","1.75","23","cmn_swm_tread","11030002","103","1","-180"
"-850","5","1","0","1.75","22","cmn_swm_tread","11030003","103","1","-180"
"-180","31","3","","1","-850","","11030004","103","3","1"
"","91","0","","","","","11030005","103","0",""
"10","2","850","","","-180","","11030006","103","<unit_id>",""
"10","2","850","","","-180","","11030007","103","1",""
"10","33","850","","","-180","","11030008","103","3",""
"","23","se_fpc_water_random","","","","","11510001","151","se_10053800",""
"-850","1","<unit_id>","0","1.75","22","cmn_swm_flutterKick","11510002","151","1","-180"
"-180","31","1","","1","-850","","11510003","151","1","1"
"","91","0","","","","","11510004","151","0",""
"10","2","1050","","","-180","","11510005","151","<unit_id>",""
"10","33","1050","","","-180","","11510006","151","1",""
"","23","se_fpc_water_random","","","","","12010001","201","se_10053800",""
"-850","1","<unit_id>","0","1.75","22","cmn_swm_breastStroke","12010002","201","1","-180"
"-180","31","2","","1","-850","","12010003","201","2","1"
"","91","0","","","","","12010004","201","0",""
"10","2","850","","","-180","","12010005","201","<unit_id>",""
"10","33","850","","","-180","","12010006","201","2",""
"","23","se_fpc_water_random","","","","","12510001","251","se_10053800",""
"-850","1","<unit_id>","0","1.75","22","cmn_swm_diving","12510002","251","1","-180"
"-180","31","9","","1","-850","","12510003","251","9","1"
"","91","0","","","","","12510004","251","0",""
"10","2","850","","","-180","","12510005","251","<unit_id>",""
"10","33","850","","","-180","","12510006","251","9",""
