4f21da56f0a21d38e6e22b0561772bf7a86cb82e219d20153298394817ca0294,c4ad96e717763e7fbd46561d8e5823c6a117fa735cb6e1b3beaab752a93adec7,8a0c2aa07e59a11ac364dd3526cda8396bd1a0268dd4dc742dc56390ce3307b0,4d5a6bca9a62e9547ccfbdd65737f7fcdc81c9b76c3714c291322978572299a8,e8ae8562f74b73a751a5667bf639592a81dd8d2762950695e31dcf22d63cb317,041286f25de4e963f7639817bfc1524691e7bcdabb56ced18e77d4c3253ad387,14179c0029cac9cb1f8b96e6a7e0068afb595b69f77809e45590449401f2eee3,9fc0499b533cecea03b199f5f8655c91b432eff08ea769d7c7b5c806ecf98b01,81278973822b6113a05f12fdea699a1af165481416607804f7d45595fd7c4393,b62602f84a0f9a1bf31e1a45ebed9966a637807e62127f29cad77697039b1ee7,f3fd3b691c12b2fbe4cc6a1bdca6e3be38ba84afc9cbbfe5f6417d794d531fc1,abffcdb2d6e3818a884fb2d03be3d1ec7fbb0b6736f83fe34b628d082a15997c,6e27f1d1bbca9b879bd524727198343ba36e815ab745dc456b293deeffb57956
"10001","60002","31038","0","0","0","0","0","31012","0","0","60001","0"
"10002","60012","31004","0","0","0","0","0","31020","0","0","60011","0"
"10003","60022","31017","0","0","0","0","0","31010","0","0","60021","0"
"10004","60032","31028","0","0","0","0","0","31076","0","0","60031","0"
"10005","60042","31032","0","0","0","0","0","31080","0","0","60041","0"
"10006","60052","31034","0","0","0","0","0","31047","0","0","60051","0"
"10007","60062","31022","0","0","0","0","0","31082","0","0","60061","0"
"10008","60072","31051","0","0","0","0","0","31009","0","0","60071","0"
"10009","60082","31029","0","0","0","0","0","31085","0","0","60081","0"
"10010","60092","31002","0","0","0","0","0","31089","0","0","60091","0"
"10011","60102","31011","0","0","0","0","0","31090","0","0","60101","0"
"10012","60112","31008","0","0","0","0","0","31043","0","0","60111","0"
"10013","60122","31018","0","0","0","0","0","31093","0","0","60121","0"
"10014","60132","31038","0","0","0","0","0","31012","0","0","60131","0"
"10015","60142","31045","0","0","0","0","0","31053","0","0","60141","0"
"10016","60152","31004","0","0","0","0","0","31020","0","0","60151","0"
"10017","60162","31025","0","0","0","0","0","31098","0","0","60161","0"
"10018","60172","31017","0","0","0","0","0","31010","0","0","60171","0"
"10019","60182","31050","0","0","0","0","0","31101","0","0","60181","0"
"10020","60192","31028","0","0","0","0","0","31076","0","0","60191","0"
"10021","60202","31014","0","0","0","0","0","31105","0","0","60201","0"
"10022","60212","31032","0","0","0","0","0","31080","0","0","60211","0"
"10023","60222","31040","0","0","0","0","0","31056","0","0","60221","0"
"10024","60232","31034","0","0","0","0","0","31047","0","0","60231","0"
"10025","60242","31036","0","0","0","0","0","31112","0","0","60241","0"
"10026","60252","31022","0","0","0","0","0","31082","0","0","60251","0"
"10027","60262","31005","0","0","0","0","0","31037","0","0","60261","0"
"10028","60272","31051","0","0","0","0","0","31009","0","0","60271","0"
"10029","60282","31044","0","0","0","0","0","31116","0","0","60281","0"
"10030","60292","31029","0","0","0","0","0","31085","0","0","60291","0"
"10031","60302","31021","0","0","0","0","0","31121","0","0","60301","0"
"10032","60312","31002","0","0","0","0","0","31089","0","0","60311","0"
"10033","60322","31049","0","0","0","0","0","31123","0","0","60321","0"
"10034","60332","31011","0","0","0","0","0","31090","0","0","60331","0"
"10035","60342","31042","0","0","0","0","0","31126","0","0","60341","0"
"10036","60342","31042","0","0","0","0","0","31126","0","0","60341","0"
"10037","60362","31008","0","0","0","0","0","31043","0","0","60361","0"
"10038","60372","31046","0","0","0","0","0","31107","0","0","60371","0"
"10039","60382","31018","0","0","0","0","0","31093","0","0","60381","0"
