4a98a5effe7f2821c2d7e99a11a2e1f8b8521434a38cc463124419d48a72e5ee,fe9f3eb8d853a061bcc3b236818a64f6d423871e710f92d3b3f2788aa77231dd,7bb8068a7b073d1bb50a2e16642285110759df8481254966d38470e51abac775,c47873d33bb04c804f03c941a195aeb5ee017c456d1513f2d7ce0701bf212bef,925919276cc7d5a08adcd1aab418eb1c01cc5fc597f318cb2bc3ac2784a3cac7,116e9a2805b00d1bfd05d1e4e8f65b8d05146452918e5b1e251cd0cb35d999b9,46d193643153c5259b9c90ad7f82efa5de76146b51816daac7727f2f8b0e4faf,ad5a3385174abbe02dda750ec806f73719b7f1ae0a002e8cd260c29cc87a23b0,42e47fc8e809c15295c83b32ab638f84c20f43bba0c91eb2857c876e6a3ebea4,5bcdd7bd025c7b61ebf8e970d5a16d2c66a6648b05b8365e0fda518005aa1403,c53f489785c1670711aa9076ee74618cd904a38db0c36369a2cbf780a1ed9a75,c9ef935e06984f2489568efb176132dac62ade34f85bb20f836753e232acef4f,f0df819e3ded1b3e0b0f1b1bd69edfa46ea74aa1b2a04db82576c61363f01d3d,d24addf0fdb2546b465db963bdd434056c06db7175d67a23781740235c8c05e8
"1","0","3.414","-416.5","190801","2020/03/31 12:00:00","ミッションをクリアすると、\n報酬がもらえますよ！\n頑張ってください","2020/04/18 14:59:59","1","2","カリン","10038","53","10038001"
"2","0","3.099","-416.5","190801","2020/03/31 12:00:00","ミッションをクリアして、\n報酬をゲットしましょう！","2020/04/18 14:59:59","1","2","カリン","10038","53","10038002"
"3","0","2.801","-416.5","190801","2020/03/31 12:00:00","受け取ることができる\n報酬があるようです\n確認してみてください","2020/04/18 14:59:59","1","2","カリン","10038","54","10038003"
"4","0","0","-416.5","190801","2020/03/31 12:00:00","報酬がもらえますよ！\nチェックしてみてください","2020/04/18 14:59:59","2","2","カリン","10038","54","10038004"
"5","0","0","-416.5","190801","2020/03/31 12:00:00","イベントお疲れ様です！\n皆さんのご活躍ぶりには\nいつも感謝しています","2020/04/18 14:59:59","1","1","カリン","10038","57","10038005"
"1","0","5.506","-363","190801","2020/03/31 12:00:00","ギルド管理協会です！\n討伐証をお持ちでしたら、\n報酬交換できますよ","2020/04/18 14:59:59","1","2","カリン","10038","55","10038006"
"2","0","1.216","-363","190801","2020/03/31 12:00:00","お疲れ様です！\nここでは、討伐証と報酬を\n交換することができます！","2020/04/18 14:59:59","2","1","カリン","10038","55","10038007"
"3","0","1.539","-363","190801","2020/03/31 12:00:00","お疲れ様でした\n討伐証の交換、\nお忘れないように！","2020/04/18 14:59:59","2","1","カリン","10038","56","10038008"
"4","0","1.875","-363","190801","2020/03/31 12:00:00","終わっちゃいましたねー\n討伐証は努力の証！\n報酬と交換しましょう！","2020/04/18 14:59:59","2","1","カリン","10038","56","10038009"
"101","8","9.376","-285","110901","2020/03/31 12:00:00","","2020/04/18 14:59:59","1","7","チエル","10038","51","10038101"
