794e048479f7be09f8c224bf4416b785fa34b38647578c0beb239ce7e46caa2c,8a6333dc0414078964576bcdc678db9c9502310c323790a1eda0f4153910a219,542b62a80240a807b82680f03dc0485fbcf3ddcac991e87f50b618c6e2a2bdd4,887de829acd5d40a672e27b12744afb275e33c2f00b177b53fff55e2eb678f31,6519a1590db0372817d0fc2d34bd883c1e16144ce27f8d8d3a078b6cdc020116,4b47a6eeb23f25de11ca775f99f9878a3abe57ef34aa296a92b5da6bb6f9d599,400823a72a4ef3bf7ed73cce959ca95c75a8f471cb40690819dd8285f541d84c,8a05fe18ee1182f096e91a9981b20211de60d97a315c4a9d5380436e83d8167a,f4b838ceb832b7047e3c1a9e378be5e31cceedcbf9aecf3f31b4c077b6d1b12d,625e68ccdfb0b3924c441e034ae31dbaaa9592d5b5bfecc6cd51af2352f43ee0,ce319ceeac701fc5b4e15fd042d01347dc559e3f0490248e824ba3e27f122e82,f6e3e35b9231e68232447184f29a685790ef78024993188425667f5d35b96086,7d9ae611dc8c139d1e98d32847e420db99269c5f6ad43a032447b3b055f21dd7,ccfb5e41c5e2d8f1ac6556dd505ef292f8f54fd933de18db7c45044d0423eee7
"カリン","2030/01/01 14:59:59","1","2025/01/31 12:00:00","2","ミッションをクリアすると、\n報酬がもらえますよ！\n頑張ってください","-416.5","190801","1000001","1","1","0","62","3.414"
"カリン","2030/01/01 14:59:59","1","2025/01/31 12:00:00","2","ミッションをクリアして、\n報酬をゲットしましょう！","-416.5","190801","1000002","1","2","0","62","3.099"
"カリン","2030/01/01 14:59:59","1","2025/01/31 12:00:00","2","受け取ることができる\n報酬があるようです\n確認してみてください","-416.5","190801","1000003","1","3","0","63","2.801"
"カリン","2030/01/01 14:59:59","1","2025/01/31 12:00:00","2","報酬がもらえますよ！\nチェックしてみてください","-416.5","190801","1000004","2","4","0","63","0"
"カリン","2030/01/01 14:59:59","1","2025/01/31 12:00:00","1","ギルド管理協会です！\nイベント報酬券をお持ちでしたら、様々なアイテムと交換できますよ","-363","190801","1000005","2","5","0","64","2.12"
"カリン","2030/01/01 14:59:59","1","2025/01/31 12:00:00","2","お疲れさまです！\nこちらでイベント報酬券とアイテムを交換することができますよ","-363","190801","1000006","1","6","0","64","1.68"
"カリン","2030/01/01 14:59:59","1","2025/01/31 12:00:00","1","いつもありがとうございます！\n報酬交換ですか？\nでは、イベント報酬券とお引き換えいたしますね","-363","190801","1000007","2","7","0","64","2.33"
"ラビリスタ","2030/01/01 14:59:59","10201","2025/01/31 12:00:00","7","今度の敵は、アタシにとっても\n放ってはおけない存在だ\n少年、アタシも全力で行くからさ\n一緒に守ろう、この世界を","-285","133701","1020101","3","101","-6","61","5.18"
"クリスティーナ","2030/01/01 14:59:59","10201","2025/01/31 12:00:00","2","退屈の吹き飛ぶような\n戦いの気配がするなぁ坊や\nさっさとワタシをそこへ連れてゆけ\n世界も守ってやるさ、ついでにな","-285","133901","1020102","1","201","-2","61","8.77"
"ネネカ","2030/01/01 14:59:59","10201","2025/01/31 12:00:00","1","おや、私の力が必要……と？\nグレゴールが手伝うそうですよ\n私は戦わないのか、という顔ですね\n……考えておきます","-285","133801","1020103","6","301","0","61","15.5"
"ランファ","2030/01/01 14:59:59","10202","2025/02/28 12:00:00","5","わたしだけの歌…\n一緒に、探してくれる…？\nあなたがいれば…\nもっとがんばれるから…","-285","134301","1020201","2","101","0","61","9.061"
"チカ","2030/01/01 14:59:59","10202","2025/02/28 12:00:00","2","同じ唱喚士として、仲間として\n私にできることをします\n…これも、あなたが\n背中を押してくれたおかげですよ","-285","134401","1020202","1","201","0","61","7.699"
"アオイ","2030/01/01 14:59:59","10203","2025/03/31 12:00:00","2","世界の平和が私とクローチェさんに\nかかってるんですよね？\nぼっちには過大すぎる期待ですけど\nふ、二人でなら背負ってみせます！","-285","134601","1020301","1","101","0","61","8.595"
"クローチェ","2030/01/01 14:59:59","10203","2025/03/31 12:00:00","2","新しく手に入れたこの翼で…\nナイトさんがどこにいたって\nわたし、駆けつけちゃいますよっ！\nクローチェ・エアリアル発進ですっ","-285","134501","1020302","1","201","0","61","7.758"
"ルイズマリー","2030/01/01 14:59:59","10204","2025/04/30 12:00:00","6","今日はダーリンとの初デート♪\n二人でショッピングして、その後は\n…って私、指名手配されてる！？\nちょ、た…助けてダーリン～！！","-285","132302","1020401","2","101","0","61","7"
"イロハ","2030/01/01 14:59:59","10204","2025/04/30 12:00:00","2","ルイちゃんのおばあちゃん優しくて\nいつもにこにこで、イロハ大好き♪\nでも一番好きなのは、角がすっごく\n大きくてかっこいいとこなんだ～♪","-285","132402","1020402","1","201","0","61","7.904"
"ソノ","2030/01/01 14:59:59","10204","2025/04/30 12:00:00","2","ノゾミちゃんのおかげで売上が安定\nしてきたのに、臨時休業、痛すぎる\n…ま、ルイちゃんのために\n一肌脱ぐか。行くよイロハ～","-285","132502","1020403","4","301","0","61","8.487"
"カノン","2030/01/01 14:59:59","10205","2025/05/31 12:00:00","2","ヲ～ッホッホ♪\nあたくし様と同じお空気を吸える\nお幸運を噛みしめなさいですわ～♪\nヲ～ッホッホッホ～♪","-285","134901","1020502","1","101","0","61","8.763"
"ツムギ","2030/01/01 14:59:59","10205","2025/05/31 12:00:00","3","いきますよ騎士さん！\nカノンさんと力を合わせて…力を…\n…本当にあの人なんなんです？\nこれまでになく不安なんですけど！","-285","134801","1020503","1","201","0","61","6.417"
"エリス","2030/01/01 14:59:59","10206","2025/06/30 12:00:00","7","『願いが叶う海岸』か…怪しい\nだというのに、阿賀斗紫布菜たちは\n呑気に戯れている…見ていられない\n騎士クンは、わたしが守ってみせる","-285","135001","1020601","3","101","0","61","10.335"
"シェフィ","2030/01/01 14:59:59","10206","2025/06/30 12:00:00","4","せっかくの夏休みなんだし\nたまにはビーチでゆっくりしましょ\n…え、もしかしてこの夏もあんまり\n休めなかったりする感じなの？","-285","135101","1020602","2","201","0","61","6.281"
"プレシア","2030/01/01 14:59:59","10206","2025/06/30 12:00:00","2","いっぱい。たべて\nおおきく。なると\nせーぎ。まもれる。はず\nお兄。いっしょに。スイカ。たべよ","-285","135201","1020603","1","301","0","61","12.244"
"クリア","2030/01/01 14:59:59","10207","2025/07/31 12:00:00","8","ひと夏の冒険のはじまりです！\nアネモネさんも楽しんでくれたら\n…できれば、もう少し\n仲良くなれたらうれしいな…","-285","135301","1020701","2","101","0","61","6.339"
"アネモネ","2030/01/01 14:59:59","10207","2025/07/31 12:00:00","9","─幻の花…\n本当にあるのか謎─ですけど\n探すくらいは、\n付き合ってもいいです","-285","135401","1020702","7","201","0","61","8.184"
"アイラ","2030/01/01 14:59:59","10208","2025/08/31 12:00:00","2","あははっ！　笑う門には福来る！\n笑ってればきっと、複製世界にも\n未来はやってくるって信じてる！\nそうだよね、シナツちゃん！","-285","129101","1020801","9","101","0","61","3.906"
"シナツ","2030/01/01 14:59:59","10208","2025/08/31 12:00:00","2","繰り返されるリセットの先の未来\n何度願っても手に入らなかった未来\n…でも、私は諦めない。絶対にだ\nキミも同じだろ…アイラ？","-285","129201","1020802","1","201","0","61","14.465"
"ヒヨリ","2030/01/01 14:59:59","10208","2025/08/31 12:00:00","3","アイラの世界のみんなも、\n一生懸命生きてるんだ…！\n…なのに、世界の危機だなんて！\nあたし、絶対、絶対力になるよ！","-285","100101","1020803","4","301","0","61","8.662"
"レイ","2030/01/01 14:59:59","10208","2025/08/31 12:00:00","3","シナツ…もう一人の私\n彼女が大切にしている世界を\n絶対に終わらせはしない…！\n彼女と笑い合える未来のために！","-285","100301","1020804","1","401","0","61","10.915"
"ユキノ","2030/01/01 14:59:59","10209","2025/09/30 12:00:00","7","あ、ど、ども…\nあ、あんま見ねぇでくれっと\nその、恥ずかしくて…\n体が熱くなって、溶けちまう…","-285","135802","1020901","1","101","0","61","6.042"
"サツキ","2030/01/01 14:59:59","10209","2025/09/30 12:00:00","1","なんで俺が幽霊に…意味不明だ\nこれじゃ死んでも死にきれねェ\n悪ィがこれも何かの縁だ、\nよろしく頼むぜ騎士公","-285","135903","1020902","4","201","0","61","9.402"
"ルルィ","2030/01/01 14:59:59","10209","2025/09/30 12:00:00","1","う、うじゅる…\nサツキ姉しゃまを助けるためにも\nまずは、腹ごしらえでしゅね…！\nタコ焼き、召し上がってくだしゃい","-285","136902","1020903","8","301","0","61","8.16"
"カスミ","2030/01/01 14:59:59","10210","2025/10/31 12:00:00","2","ひさしぶりのジオ・ゲヘナ\n歓迎パーティーで起きた殺人事件！\nランドソルの名探偵の名にかけて\n解き明かしてみせようじゃないか！","-285","137401","1021001","3","101","0","61","5"
"アラクネ","2030/01/01 14:59:59","10210","2025/10/31 12:00:00","1","…わたしはどこの誰なのでしょう\nどこから来てどこへ行くのでしょう\nこの事件の真相が分かれば、\n何かが掴めるような気がいたします","-285","136001","1021002","4","201","0","61","8.12"
"ナーナ","2030/01/01 14:59:59","10210","2025/10/31 12:00:00","2","ナーナ、すいりとかろんぱとか、\nむずかしくてわかんないけど…\nお友だちとドーナツのためならっ\nせーいっぱいがんばるよっ！","-285","136202","1021003","4","301","0","61","6.386"
