a6fdfb0d044a672771302f25e7fb8a2e29c9d2b56710c9b0a843b3d35a6a6b5b,8522edd9f9b3b411872cf85dee1cbb114a88633092b6fec6225209661eb09cb4,3c1cfab8035b668a9f968181ea91965c5ac673dd6753c7a970ad094967c7fb52,8f89c25bc601ed97acfd36150f29c8ca8886635b6b8875caf2927a5cd2146719,3357c10d6b8fb08bea40c0f5147b5f8d3cf4873d11cff3a83936b3d274f0136b,d602a3e956d1b1dd9aefc6d3bdfd0eab8924fda68cb74f64e3424b7ee7943e5a,3eba5402f151939f41e9c4a31117396c6cbce9265c92b3aec18be94a30812764,c6133549b3911018383b7ed1f4cc44d75883c8773911eae23676c590c1c2d486,cffc11f0837d0281575fec805c82a1fe69f83ad7bc40b51212c098f12c8b87d5,72f46782262de3c4abe02e025d89352b4bdee27f1ec9075efc67b3552b661504,34f13b96bee2ce1bdd79dafb423fc7fe53fb42f6b67093212ee79b8d4915e1b1
"110931","1","-209.3","11010001","110","nyx_idle_normal","1.35","101","0","1","-421"
"104831","1","-182.5","11010002","110","nyx_idle_normal","1.35","101","0","1","121.8"
"104631","1","-182.5","11010003","110","nyx_idle_normal","1.35","101","0","1","227.7"
"103231","1","-182.5","11010004","110","nyx_talk_normal","1.35","101","1","1","340.3"
"103431","1","-182.5","11010005","110","nyx_idle_normal","1.35","101","1","1","449.6"
"2","2","-209.3","11010006","120","NoItem","1.35","101","0","5","-421"
"1","1","1","11010007","0","","1","101","","31","0"
"3","15","1","11010008","-300","","0","101","","31","0"
"4","15","1.5","11010009","-300","","0","101","","31","0"
"bgm_M347","bgm_M347","","11010010","","","","101","","25",""
"","2","","11010011","","","","101","","93",""
"nyx_101_chieru_01","2","1","11010012","0","","0.2","101","","3","nyx_101_chieru_loop"
"nyx_101_chieru_01","110931","1","11010013","0","","0.2","101","","3","nyx_101_chieru_loop"
"ちぇる～ん♪\n最初はとにかく\nインパクト！","110931","","11010014","10","","","101","","11",""
"","0.4","","11010015","","","","101","","93",""
"0","3","","11010016","","","","101","","32",""
"1","3","","11010017","","","","101","","32",""
"","11010014","","11010018","","","","101","","91",""
"強めの初ちぇるで\n審査員のハートを\n鷲掴み子ちゃんです","110931","","11010019","10","","","101","","11",""
"","1","","11010020","","","","101","","93",""
"nyx_idle_joy1","103231","","11010021","1","","0.2","101","","3",""
"nyx_cmn_05","104631","","11010022","1","","0.2","101","","3",""
"","11010019","","11010023","","","","101","","91",""
"nyx_101_chieru_01","2","1","11010024","0","","0.2","101","","3","nyx_101_chieru_loop"
"nyx_101_chieru_01","110931","1","11010025","0","","0.2","101","","3","nyx_101_chieru_loop"
"ちぇるーん♪\nいや、まだ行ける…\nちぇっ☆るゥ～ん！","110931","","11010026","7","","","101","","11",""
"","0.4","","11010027","","","","101","","93",""
"0","3","","11010028","","","","101","","32",""
"1","3","","11010029","","","","101","","32",""
"","0.6","","11010030","","","","101","","93",""
"nyx_talk_bitter","103431","","11010031","1","","0.2","101","","3",""
"nyx_cmn_04","104631","","11010032","1","","0.2","101","","3",""
"","2","","11010033","","","","101","","93",""
"nyx_101_chieru_02","2","1","11010034","0","","0.2","101","","3","nyx_101_chieru_loop"
"nyx_101_chieru_02","110931","1","11010035","0","","0.2","101","","3","nyx_101_chieru_loop"
"","0.4","","11010036","","","","101","","93",""
"0","3","","11010037","","","","101","","32",""
"1","4","","11010038","","","","101","","32",""
"","11010026","","11010039","","","","101","","91",""
"nyx_idle_bitter","103431","","11010040","1","","0.2","101","","3",""
"nyx_talk_sad","104831","","11010041","1","","0.2","101","","3",""
"ね、ねぇ…\n廊下の方から\n何か聞こえない？","104831","","11010042","10","","","101","","11",""
"","0","","11010043","","","","101","","91",""
"1","110931","","11010044","","","","101","","4",""
"1","2","","11010045","","","","101","","4",""
"nyx_101_chieru_02","2","1","11010046","0","","0.2","101","","3","nyx_101_chieru_loop"
"nyx_101_chieru_02","110931","1","11010047","0","","0.2","101","","3","nyx_101_chieru_loop"
"nyx_idle_sad","104831","","11010048","1","","0.2","101","","3",""
"nyx_talk_sad","104631","","11010049","1","","0.2","101","","3",""
"なんかちぇるちぇる\n聞こえるにゃ…\nこわいにゃ…","104631","","11010050","10","","","101","","11",""
"","0","","11010051","","","","101","","91",""
"nyx_idle_sad","104631","","11010052","1","","0.2","101","","3",""
"nyx_talk_sad","103431","","11010053","1","","0.2","101","","3",""
"学校の七不思議的な\nやつかしら…\nか、帰りたい…","103431","","11010054","10","","","101","","11",""
"","0","","11010055","","","","101","","91",""
"nyx_idle_sad","103431","","11010056","1","","0.2","101","","3",""
"nyx_talk_joy2","103231","","11010057","1","","0.2","101","","3",""
"面白いですわね！\n何が出てくるか\nワクワクしますわ！","103231","","11010058","10","","","101","","11",""
"","0","","11010059","","","","101","","91",""
"","0.4","","11010060","","","","101","","93",""
"0","110931","","11010061","","","","101","","4",""
"0","2","","11010062","","","","101","","4",""
"nyx_101_chieru_01","110931","1","11010063","0","","0.2","101","","3","nyx_101_chieru_loop"
"nyx_101_chieru_01","2","1","11010064","0","","0.2","101","","3","nyx_101_chieru_loop"
"1","104831","","11010065","1","","","101","","12",""
"nyx_talk_sad","104831","1","11010066","0","","0.2","101","0.2","3","nyx_idle_sad"
"","0.4","","11010067","","","","101","","93",""
"0","3","","11010068","","","","101","","32",""
"1","3","","11010069","","","","101","","32",""
"","1.6","","11010070","","","","101","","93",""
"15","104631","","11010071","1","","","101","","12",""
"nyx_talk_sad","104631","1","11010072","0","","0.2","101","0.2","3","nyx_idle_sad"
"","3","","11010073","","","","101","","93",""
"1","110931","","11010074","","","","101","","4",""
"1","2","","11010075","","","","101","","4",""
"nyx_101_chieru_02","110931","1","11010076","0","","0.2","101","","3","nyx_101_chieru_loop"
"nyx_101_chieru_02","2","1","11010077","0","","0.2","101","","3","nyx_101_chieru_loop"
"10","103231","","11010078","1","","","101","","12",""
"nyx_talk_joy1","103231","1","11010079","0","","0.2","101","0.2","3","nyx_idle_joy1"
"","2","","11010080","","","","101","","93",""
"2","103431","","11010081","1","","","101","","12",""
"nyx_talk_sad","103431","1","11010082","0","","0.2","101","0.2","3","nyx_idle_sad"
"","2.5","","11010083","","","","101","","93",""
"","11010060","","11010084","","","","101","","101",""
"110831","1","-209.3","11020001","110","nyx_102_chloe_01","1.35","102","1","1","-362"
"104831","1","-182.5","11020002","110","nyx_102_mifuyu_01","1.35","102","0","1","90"
"104631","1","-182.5","11020003","110","nyx_idle_normal","1.35","102","0","1","220"
"103231","1","-182.5","11020004","110","nyx_talk_normal","1.35","102","1","1","336"
"103431","1","-182.5","11020005","110","nyx_idle_normal","1.35","102","1","1","457"
"1","1","1","11020006","0","","1","102","","31","0"
"2","2","-209.3","11020007","120","NoItem","1.35","102","0","5","-362"
"bgm_M347","bgm_M347","","11020008","","","","102","","25",""
"","2","","11020009","","","","102","","93",""
"nyx_102_chloe_02","110831","","11020010","1","","0.2","102","","3",""
"次、うちの番か…\nえ、チエルの後って\n何気に不利くない？","110831","","11020011","10","","","102","","11",""
"1","0","","11020012","","","","102","","91",""
"nyx_idle_sad","110831","","11020013","1","","0.2","102","","3",""
"あいつ絶対初見で\nちぇるちぇる言って\n現場冷やしてるし…","110831","","11020014","10","","","102","","11",""
"1","0","","11020015","","","","102","","91",""
"cmn_pose02_def_N","110831","1","11020016","0","","0.2","102","0.2","3","nyx_102_chloe_02"
"ま、いいけど何でも\n…てゆか中の人ら\nダイジョブか？","110831","","11020017","10","","","102","","11",""
"","3","","11020018","","","","102","","93",""
"nyx_idle_normal","103231","","11020019","1","","0.2","102","","3",""
"nyx_talk_sad","104631","","11020020","1","","0.2","102","","3",""
"0","110831","","11020021","","","","102","","4",""
"","11020016","","11020022","","","","102","","91",""
"","1","","11020023","","","","102","","93",""
"nyx_102_chloe_01","110831","","11020024","1","","0.2","102","","3",""
"ちぇる気にやられて\nおかしなことにとか\n…いや、まさかね","110831","","11020025","10","","","102","","11",""
"","2.5","","11020026","","","","102","","93",""
"nyx_102_chloe_03","110831","1","11020027","0","","0.2","102","","3","nyx_102_chloe_03_loop"
"nyx_102_chloe_03","2","1","11020028","0","","0.2","102","","3","nyx_102_chloe_03_loop"
"","11020025","","11020029","","","","102","","91",""
"","1","","11020030","","","","102","","93",""
"ちぇる…ちぇる…","104831","","11020031","10","","","102","","11",""
"","1.5","","11020032","","","","102","","93",""
"1","104631","","11020033","0","","","102","","4",""
"cmn_shock_def_N","104631","1","11020034","0","","0.2","102","0.2","3","nyx_idle_surprise2"
"cmn_shock_def_N","103431","1","11020035","0","","0.2","102","0.2","3","nyx_idle_surprise2"
"nyx_surprise","103231","1","11020036","0","","0.2","102","0.2","3","nyx_idle_surprise1"
"","1.5","","11020037","","","","102","","93",""
"nyx_talk_surprise2","104631","1","11020038","1","","0.2","102","0.2","3",""
"nyx_102_yukari_01","103431","","11020039","1","","0.2","102","","3",""
"ミフユさん！\nしっかりちぇる！\n傷は浅いちぇる！","103431","","11020040","10","","","102","","11",""
"1","0","","11020041","","","","102","","91",""
"cmn_shock_def_N","103431","1","11020042","0","","0.2","102","0.2","3","nyx_102_tamaki_01_loop"
"0","103231","","11020043","0","","","102","","4",""
"0","104631","","11020044","0","","","102","","4",""
"","0","","11020045","","","","102","","91",""
"ダメにゃ…\nミフユもユカリも\n手遅れちぇ…にゃ！","104631","","11020046","10","","","102","","11",""
"","2.6","","11020047","","","","102","","93",""
"nyx_102_tamaki_01","104631","1","11020048","0","","0.2","102","0.2","3","nyx_102_tamaki_01_loop"
"","0.1","","11020049","","","","102","","93",""
"1","103231","","11020050","0","","","102","","4",""
"","1.5","","11020051","","","","102","","93",""
"被害甚大ですわね…\n次の方が普通である\nことを祈りますわ…","103231","","11020052","10","","","102","","11",""
"","0","","11020053","","","","102","","91",""
"","1","","11020054","","","","102","","93",""
"nyx_102_chloe_04","110831","1","11020055","0","","0.2","102","","3","nyx_102_chloe_03_loop"
"nyx_102_chloe_04","2","1","11020056","0","","0.2","102","","3","nyx_102_chloe_03_loop"
"","1.5","","11020057","","","","102","","93",""
"12","110831","","11020058","1","","","102","","12",""
"","1","","11020059","","","","102","","93",""
"1","103431","","11020060","1","","","102","","12",""
"nyx_cmn_01","103431","1","11020061","0","","0.2","102","0.2","3","nyx_cmn_03"
"nyx_idle_worry","104631","1","11020062","1","","0.2","102","0.2","3",""
"","2","","11020063","","","","102","","93",""
"12","104831","","11020064","1","","","102","","12",""
"","2","","11020065","","","","102","","93",""
"10","103231","","11020066","1","","","102","","12",""
"nyx_talk_normal","103231","1","11020067","0","","0.2","102","0.2","3","nyx_idle_normal"
"","2","","11020068","","","","102","","93",""
"2","104631","","11020069","1","","","102","","12",""
"nyx_talk_sad","104631","1","11020070","0","","0.2","102","0.2","3","nyx_idle_worry"
"","4","","11020071","","","","102","","93",""
"1","11020055","","11020072","","","","102","","101",""
"111031","1","-209.3","11030001","110","nyx_103_yuni_01","1.35","103","0","1","-421"
"104831","1","-182.5","11030002","110","nyx_idle_normal","1.35","103","0","1","121.8"
"2","2","-182.5","11030003","120","NoItem","1.35","103","0","5","121.8"
"104631","1","-182.5","11030004","110","nyx_idle_normal","1.35","103","0","1","227.7"
"2","2","-182.5","11030005","120","NoItem","1.35","103","0","5","227.7"
"103231","1","-182.5","11030006","110","nyx_idle_normal","1.35","103","1","1","340.3"
"103431","1","-182.5","11030007","110","nyx_cmn_03","1.35","103","1","1","449.6"
"2","2","-182.5","11030008","120","NoItem","1.35","103","1","5","449.6"
"1","1","1","11030009","0","","1","103","","31","0"
"bgm_M347","bgm_M347","","11030010","","","","103","","25",""
"","2","","11030011","","","","103","","93",""
"nyx_talk_sad","103431","","11030012","1","","0.2","103","","3",""
"プレゼンって\nこんなに\n疲れるものなの…？","103431","","11030013","10","","","103","","11",""
"","0","","11030014","","","","103","","91",""
"nyx_cmn_03","103431","","11030015","1","","0.2","103","","3",""
"nyx_cmn_05","104831","","11030016","1","","0.2","103","","3",""
"きっと次は大丈夫よ\nまともな生徒のはず\n…そうよね？","104831","","11030017","10","","","103","","11",""
"","0","","11030018","","","","103","","91",""
"nyx_cmn_04","104831","","11030019","1","","0.2","103","","3",""
"nyx_talk_normal","103231","","11030020","1","","0.2","103","","3",""
"あら？\n次もなかよし部の方\nみたいですわよ？","103231","","11030021","10","","","103","","11",""
"","0","","11030022","","","","103","","91",""
"nyx_idle_normal","103231","","11030023","1","","0.2","103","","3",""
