627dfda7ddbe4546261a7ddbcf06bfed7696bb06666a7485e764349eade760a4,d97c75e0c8c8657f517a17851e030f671afda0dbd86f0054e0db8937711bec53,498e593abcecb50154f02ea5fe8755d8d13db7c5071d8db64d678269b1abe8d0,5329f054cd8207b9b5b6db51ca3e40ae5cbacf54c1f7350b618702b67169e1c4,26e0c8d86964fa58625930e14f028a5dda9c8d8bfc3dd1cab33705be370ec227
"8500","200","30","1","1"
"1500","5","30","1","2"
"8500","220","60","2","3"
"1500","5","60","2","4"
"8500","200","60","3","5"
"1500","200","15","3","6"
"8500","200","60","4","7"
"1500","200","10","4","8"
"8500","150","40","5","9"
"1500","5","40","5","10"
"8500","150","60","6","11"
"1500","200","10","6","12"
"8500","150","40","7","13"
"1500","5","40","7","14"
"8500","150","50","8","15"
"1500","200","15","8","16"
"8500","150","45","9","17"
"1500","200","10","9","18"
"8500","145","40","10","19"
"1500","5","10","10","20"
"8500","300","40","11","21"
"1500","5","10","11","22"
"8500","200","65","12","23"
"1500","200","10","12","24"
"8500","150","40","13","25"
"1500","5","10","13","26"
"8500","100","40","14","27"
"1500","5","10","14","28"
"8500","200","50","15","29"
"1500","5","10","15","30"
"8500","250","60","16","31"
"1500","200","30","16","32"
"8500","120","45","17","33"
"1500","300","90","17","34"
"8500","120","90","18","35"
"1500","200","30","18","36"
"8500","190","50","19","37"
"1500","350","60","19","38"
"8500","95","90","20","39"
"1500","95","90","20","40"
"8500","200","20","21","41"
"1500","5","5","21","42"
"8500","450","30","22","43"
"1500","5","5","22","44"
"8500","200","20","23","45"
"1500","5","5","23","46"
"8500","130","30","1001","47"
"1500","5","5","1001","48"
"8500","140","30","1002","49"
"1500","5","5","1002","50"
"8500","150","40","1003","51"
"1500","5","5","1003","52"
"8500","155","45","1004","53"
"1500","200","5","1004","54"
"8500","155","60","1005","55"
"1500","200","10","1005","56"
"8500","150","60","1006","57"
"1500","200","15","1006","58"
"8500","150","60","1007","59"
"1500","200","15","1007","60"
"8500","160","50","1008","61"
"1500","200","15","1008","62"
"8500","140","70","1009","63"
"1500","200","30","1009","64"
"8500","180","35","1010","65"
"1500","200","120","1010","66"
"8500","140","65","1011","67"
"1500","200","30","1011","68"
"8500","200","35","1012","69"
"1500","5","5","1012","70"
"8500","150","70","1013","71"
"1500","200","15","1013","72"
"8500","150","60","1014","73"
"1500","200","15","1014","74"
"8500","150","60","1015","75"
"1500","200","15","1015","76"
"8500","150","60","1016","77"
"1500","200","15","1016","78"
"8500","150","60","1017","79"
"1500","200","15","1017","80"
"8500","120","50","1018","81"
"1500","200","60","1018","82"
"8500","102","67","1019","83"
"1500","200","60","1019","84"
"8500","120","35","1020","85"
"1500","250","60","1020","86"
"7000","200","30","10001","87"
"3000","5","30","10001","88"
"7000","220","60","10002","89"
"3000","5","60","10002","90"
"7000","200","60","10003","91"
"3000","200","15","10003","92"
"7000","200","60","10004","93"
"3000","200","10","10004","94"
"7000","150","40","10005","95"
"3000","5","40","10005","96"
"7000","150","60","10006","97"
"3000","200","10","10006","98"
"7000","150","40","10007","99"
"3000","5","40","10007","100"
"7000","150","50","10008","101"
"3000","200","15","10008","102"
"7000","150","45","10009","103"
"3000","200","10","10009","104"
"7000","145","40","10010","105"
"3000","5","10","10010","106"
"7000","300","40","10011","107"
"3000","5","10","10011","108"
"7000","200","65","10012","109"
"3000","200","10","10012","110"
"7000","150","40","10013","111"
"3000","5","10","10013","112"
"7000","100","40","10014","113"
"3000","5","10","10014","114"
"7000","200","50","10015","115"
"3000","5","10","10015","116"
"7000","250","60","10016","117"
"3000","200","30","10016","118"
