e077b166d0da4a20113d8dd2688ec35a55bddf721c6ae9e134df5daf6ace62eb,6e8a99cc1361b8bde304e6389b84a711f38de14df4243d06362aa311c13afc3a,1c689996c6d469d674996d630e9f35eeaa912439d3ce18fa93b2e211598d940a,ccbdfda22df6961ecc01a884cf24d2d59e5a3c84641526028618b170f6839f53,5313d825775efa5f32180a7a0aaab4c3556155e3c041b7a64aa964166edbb9f5,79b2e4cb190960e8ad832806de3878b72059b9d0a508885cf4ef267da8a4a1d8,81f502486f1fc00c4c1f3d2fdfcc3340055afeef2d955ea94faeb729a5c38de0,18e823fd13f7d2018343d8b698fd4e1bdbea00ae87e241dc56c07b91dc2f3b32,6c8c43d7abdcc8378c894c20b70a30b38c7bfe8c8d1bb6b373b0abe647556eed,418dec5c0637e66abdf30849759082dd7c02db7574c2742ec2adf46e4769f141,2ccca60a8932400629e688a073a3d257d305927598986d3fad83684a94133279,35995085b6c57853c7cb56235d68bd0dbe76f5cce9e6000551d36331a5ba41ae,1ce240910bf3f2a3af1a15f7bfca9638d9c4e8fa79cb413bc8b5b237b3743ea8,8e1d0c76bec5cae7489eae7b2bad4a0a4847fccc4e2276ceda5566f12196cf81
"24","10021","0","0","2030/12/17 14:59:59","4","カオリ（サマー）","2019/07/31 12:00:00","0","あうぅ～残念さ～\nマジムンに魂を\n奪われちゃったかな～？","110501","4","1","24015"
"24","10021","0","0","2030/12/17 14:59:59","1","カオリ（サマー）","2019/07/31 12:00:00","4","今日は踊りのキレも悪いよ～\nゴーヤーっぽいもの食べて、元気回復さ～！","110501","4","2","24016"
"24","10021","0","0","2030/12/17 14:59:59","4","カオリ（サマー）","2019/07/31 12:00:00","0","マジムンだらけで目が回るさ～！\nふらふらさ～！","110501","4","3","24017"
"24","10021","0","0","2030/12/17 14:59:59","2","カオリ（サマー）","2019/07/31 12:00:00","5.2","なんくるない、なんくるない\n次、頑張ればいいんだよ～！\n海で泳いで\nリフレッシュするさー！","110501","1","4","24018"
"24","10021","0","0","2030/12/17 14:59:59","6","カオリ（サマー）","2019/07/31 12:00:00","4.2","恥ずかしいところ\n見られちゃったね～\n水着？　水着のことじゃないよー？","110501","5","5","24019"
"24","10021","0","0","2030/12/17 14:59:59","2","カオリ（サマー）","2019/07/31 12:00:00","0","絶好調さ～！　この調子で\n海の平和を取り戻すよ～！\n楽しい夏が待ってるさ～！","110501","2","6","24020"
"24","10021","0","0","2030/12/17 14:59:59","6","カオリ（サマー）","2019/07/31 12:00:00","6.4","何匹で襲ってきたって\n私はマブイを落っことさないよ～！\nくしゅん！　あ……\n今のくしゃみで落っこちたかも～？","110501","1","7","24021"
"24","10021","0","0","2030/12/17 14:59:59","2","カオリ（サマー）","2019/07/31 12:00:00","0","ひーやーさーさー♪\n戦いの後は、踊りを踊って\n気分スッキリさ～！","110501","2","8","24022"
"24","10021","0","0","2030/12/17 14:59:59","3","カオリ（サマー）","2019/07/31 12:00:00","10.08","あれ～？　戦ってるうちに\n水着がどっか行っちゃった～？\nねぇキミ、どっかで見なかった～？\nなんで離れるさ～？","110501","6","9","24023"
"24","10021","0","0","2030/12/17 14:59:59","2","カオリ（サマー）","2019/07/31 12:00:00","5","まだまだ私は元気だよ～！\nマジムンでもなんでも、\nどんとこーいさー♪","110501","1","10","24024"
"24","10021","0","0","2030/12/17 14:59:59","2","カオリ（サマー）","2019/07/31 12:00:00","0","私の空手は世界最強さ～！\n夏の陽射しと青い海も合わされば、\n向かうところ敵なしだよー！","110501","2","11","24025"
