88428d99faa8a4ccff9caf1a617fba21254657c308301f42e2036e806d3ee7c8,d0f44aa7983a818a4f1898c06812488754fc5b68580d1b3296870cc0915d467a,41993c1931d7cf9687d20f64183f68ba5bcddbcf588cba865ea2f16f67ba295d,1eeace63094e534eddb8beb6d712f285041835197dc6e3bfde813f5a91bbf5a9,07eb259a538b422aa8ebe3383cb337c00f4868f83947d2569b90ae910c4245d5,922cec5de7043f38ce867f8c107d9bd5dd290e0486ee80248e7fa09d93dd9ded
"102013011","1","1","5201087","301","10201"
"102014021","1","1","5201081","402","10201"
"102014022","0","101","5201082","402","10201"
"102015011","1","1","5201066","501","10201"
"102015012","2","1","5201067","501","10201"
"102015013","3","1","5201068","501","10201"
"102015014","4","1","5201069","501","10201"
"102015015","5","1","5201070","501","10201"
"102015016","6","1","5201071","501","10201"
"102015017","7","1","5201072","501","10201"
"102015018","8","1","5201073","501","10201"
