7d19fcc99ff8f156ca107b75daab2b3621903dc057228d0ee004cc96caaa59f2,524dfee5066afe98e8b736801915ad7f840d741c849894134653c970c9e0fb6d,753452e75aeb2fde45c2bbfeb66d2ccc1e80e4c7b50256028a55f17994c8fe5c,97b69210ed68a41a456f31d0bac4cf851fd7ed9deadf99ca6deaf9d6c57d44e9,9ab22fd114ac1794f9076f78d1917d17ce5bf84527e0fb6365630da7f521e11d,87af64c9190070e4a1ee6dcb3ae254078f67a71a9e42347fce70de7693c546c0,80604e6c76814a143997f4a634f0831dc301b342e5fb21b82ee2b956974ae8b0,1ac906914651aaf5324c459c9d84b5208aa5cd98e7663b22520eedb24389c01c,2bbb4e50e49c66b32d74f527271908be37b861eef0b8269f914e98379d494e31,727392c47f578511330be6e8fe6ad0beac85212659f0ed614eb8124c88ed3e9d,fa139e36bc74b28184f099de802db35fc898faba1130a0a7fbf59becaa6a8458
"91002","25021","8","8","10","2","2","1","282001001","25012","31"
"91002","25021","8","8","10","2","2","2","282001002","25012","31"
"91002","25021","8","8","10","2","2","3","282001003","25012","32"
"91002","25021","8","8","10","2","2","4","282001004","25012","32"
"91002","25021","8","8","10","2","2","5","282001005","25012","33"
"91002","25021","8","9","10","2","2","6","282001006","25012","33"
"91002","25021","8","9","10","2","2","7","282001007","25012","34"
"91002","25021","8","9","10","2","2","8","282001008","25012","35"
"91002","25021","8","9","10","2","2","9","282001009","25012","35"
"91002","25021","8","10","30","2","2","10","282001010","25012","37"
"91002","25021","8","10","10","2","2","11","282001011","25012","41"
"91002","25021","8","11","10","2","2","12","282001012","25012","43"
"91002","25021","8","11","10","2","2","13","282001013","25012","46"
"91002","25021","8","12","10","2","2","14","282001014","25012","48"
"91002","25021","8","12","10","2","2","15","282001015","25012","50"
"91002","25021","8","13","10","2","2","16","282001016","25012","53"
"91002","25021","8","14","10","2","2","17","282001017","25012","55"
"91002","25021","8","14","10","2","2","18","282001018","25012","58"
"91002","25021","8","15","10","2","2","19","282001019","25012","60"
"91002","25021","8","15","30","2","2","20","282001020","25012","62"
"91002","25021","8","16","10","2","2","21","282001021","25012","68"
"91002","25021","8","16","10","2","2","22","282001022","25012","70"
"91002","25021","8","16","10","2","2","23","282001023","25012","72"
"91002","25021","8","17","10","2","2","24","282001024","25012","75"
"91002","25021","8","18","10","2","2","25","282001025","25012","77"
"91002","25021","8","18","10","2","2","26","282001026","25012","79"
"91002","25021","8","19","10","2","2","27","282001027","25012","82"
"91002","25021","8","19","10","2","2","28","282001028","25012","84"
"91002","25021","8","19","10","2","2","29","282001029","25012","86"
"91002","25021","8","20","30","2","2","30","282001030","25012","89"
"91002","25021","8","20","10","2","2","31","282001031","25012","94"
"91002","25021","8","21","10","2","2","32","282001032","25012","96"
"91002","25021","8","21","10","2","2","33","282001033","25012","99"
"91002","25021","8","22","10","2","2","34","282001034","25012","101"
"91002","25021","8","22","10","2","2","35","282001035","25012","103"
"91002","25021","8","23","10","2","2","36","282001036","25012","106"
"91002","25021","8","23","10","2","2","37","282001037","25012","108"
"91002","25021","8","24","10","2","2","38","282001038","25012","111"
"91002","25021","8","25","10","2","2","39","282001039","25012","113"
"91002","25021","8","25","30","2","2","40","282001040","25012","115"
"91002","25021","8","26","10","2","2","41","282001041","25012","121"
"91002","25021","8","27","10","2","2","42","282001042","25012","123"
"91002","25021","8","28","10","2","2","43","282001043","25012","125"
"91002","25021","8","28","10","2","2","44","282001044","25012","128"
"91002","25021","8","29","10","2","2","45","282001045","25012","130"
"91002","25021","8","30","10","2","2","46","282001046","25012","132"
"91002","25021","8","30","10","2","2","47","282001047","25012","135"
"91002","25021","8","31","10","2","2","48","282001048","25012","137"
"91002","25021","8","31","10","2","2","49","282001049","25012","139"
"91002","25021","8","31","30","2","2","50","282001050","25012","142"
"91002","25021","8","32","10","2","2","51","282001051","25012","144"
"91002","25021","8","32","10","2","2","52","282001052","25012","146"
"91002","25021","8","32","10","2","2","53","282001053","25012","149"
"91002","25021","8","33","10","2","2","54","282001054","25012","152"
"91002","25021","8","33","10","2","2","55","282001055","25012","155"
"91002","25021","8","33","10","2","2","56","282001056","25012","157"
"91002","25021","8","34","10","2","2","57","282001057","25012","160"
"91002","25021","8","34","10","2","2","58","282001058","25012","163"
"91002","25021","8","34","10","2","2","59","282001059","25012","166"
"91002","25021","8","35","30","2","2","60","282001060","25012","169"
"91002","25021","8","35","10","2","2","61","282001061","25012","171"
"91002","25021","8","35","10","2","2","62","282001062","25012","174"
"91002","25021","8","36","10","2","2","63","282001063","25012","177"
"91002","25021","8","36","10","2","2","64","282001064","25012","180"
"91002","25021","8","36","10","2","2","65","282001065","25012","182"
"91002","25021","8","37","10","2","2","66","282001066","25012","185"
"91002","25021","8","37","10","2","2","67","282001067","25012","187"
"91002","25021","8","37","10","2","2","68","282001068","25012","190"
"91002","25021","8","38","10","2","2","69","282001069","25012","193"
"91002","25021","8","38","30","2","2","70","282001070","25012","196"
"91002","25021","8","39","10","2","2","71","282001071","25012","200"
"91002","25021","8","39","10","2","2","72","282001072","25012","204"
"91002","25021","8","40","10","2","2","73","282001073","25012","208"
"91002","25021","8","40","10","2","2","74","282001074","25012","212"
"91002","25021","8","41","10","2","2","75","282001075","25012","216"
"91002","25021","8","41","10","2","2","76","282001076","25012","220"
"91002","25021","8","42","10","2","2","77","282001077","25012","224"
"91002","25021","8","42","10","2","2","78","282001078","25012","228"
"91002","25021","8","43","10","2","2","79","282001079","25012","232"
"91002","25021","8","43","30","2","2","80","282001080","25012","236"
"91002","25021","8","44","10","2","2","81","282001081","25012","240"
"91002","25021","8","44","10","2","2","82","282001082","25012","244"
"91002","25021","8","45","10","2","2","83","282001083","25012","248"
"91002","25021","8","45","10","2","2","84","282001084","25012","252"
"91002","25021","8","46","10","2","2","85","282001085","25012","256"
