ec72b0a9ca985b96b85b578cbf4f0dbee042cd92c39ace10e08da2036e5229ea,48c8e014e26366c4df4606d1778c8b3c6aa20e1f01dacd16524e5e1da8188f8d,c7956d826102c259d82f483bb3d13dd5e0ec6a5828489ae7f42385da7019a3dd,2ab4077d864d066d091eeebd06b7d1184f5b078afa088a2284f941348089d328,c64e2412591d1eb7d121b6011273c10e29f07bcc386b2d6d0d67c29e0f3eecd3,5cf8bc9cd010fa6fcf3df35981a1c5a51db43f2f1afa592d80d517df4de692d4,794c4067db8a7f1f390b15c784342068ef2957bdaf43c2d4b525ab795675eaef,ad8e58201459da8addf8399eefbfe7f9e0138b2797f148610a2dd9ec0b3ab951,f4490980b9b791b899e1a3a627ab6e02c3391cca8d5138695c4e20b0eb1bff05,cf6d4d371139573a5ddceae6f6c8ec720826731110b79944c19d6d857d3627dc
"1000","3000","2","1","調子が上がって\nきたなっ","訓練はまだ\nここからですわ","vo_minigame_1013_icon_1_002_001","2","2","vo_minigame_1013_icon_2_002_001"
"5000","3000","2","2","ほらほら、\nまだいけるだろ？","クスクス、悪くない\n流れですわね","vo_minigame_1013_icon_1_003_001","2","2","vo_minigame_1013_icon_2_003_001"
"10000","3000","3","3","へへっ、おまえら\nやるじゃねえか！","すばらしい\n記録ですわ","vo_minigame_1013_icon_1_004_001","2","2","vo_minigame_1013_icon_2_004_001"
"10000","3000","3","4","あたしたちはまだ\n止まらねえぜ！","乗りに乗って\nいますわね","vo_minigame_1013_icon_1_005_001","2","3","vo_minigame_1013_icon_2_005_001"
"10000","3000","3","5","見てろよ！\nマコト班の快進撃だ！","まだまだ行きます\nついてきなさい","vo_minigame_1013_icon_1_005_002","2","3","vo_minigame_1013_icon_2_005_002"
"10000","3000","3","6","うおぉぉっ！\n絶好調だぜ！","エリコ班の\n本領発揮ですわ！","vo_minigame_1013_icon_1_005_003","2","3","vo_minigame_1013_icon_2_005_003"
"0","3000","3","7","どこまで行けるか\n楽しみだなっ！","ここからは\n前人未到の領域です！","vo_minigame_1013_icon_1_006_001","2","4","vo_minigame_1013_icon_2_006_001"
"1","1000","4","8","まだ諦めんなよっ","厄介でしたわ…","vo_minigame_1013_icon_1_007_001","3","5","vo_minigame_1013_icon_2_007_001"
"1","1000","4","9","冷やっとしたぜ…！","油断大敵です","vo_minigame_1013_icon_1_007_002","3","5","vo_minigame_1013_icon_2_007_002"
"1","1000","4","10","弱音を吐くなっ","忌々しいっ…","vo_minigame_1013_icon_1_007_003","3","5","vo_minigame_1013_icon_2_007_003"
"99","1500","3","11","マコト班集合！","大所帯ですわね","vo_minigame_1013_icon_1_008_001","4","6","vo_minigame_1013_icon_2_008_001"
"99","1500","3","12","連携してくぞ！","エリコ班へようこそ","vo_minigame_1013_icon_1_008_002","4","6","vo_minigame_1013_icon_2_008_002"
"0","3000","6","13","みんなに力を！","ナナカちゃんに\nお任せあれ","vo_minigame_1013_icon_1_020_001","1","8","vo_minigame_1013_icon_2_020_001"
"0","3000","7","14","任せてくれたまえ","はっはっは！\n任せろ！","vo_minigame_1013_icon_1_022_001","1","9","vo_minigame_1013_icon_2_022_001"
"0","3000","8","15","ほな、いきまひょか","どんどんいくわよ","vo_minigame_1013_icon_1_023_001","1","10","vo_minigame_1013_icon_2_023_001"
