8ea3d770100b428ba12634302d734a2d1a8a66d739d49f6c0fa9ba57806311d1,ba624ccd29c1e1ad4ff9fa3cd0fc318136bd00073e665db93a938d873069dee0,e9fdc80e7a89651da415a0272212db9fe08246a1dd3706e549a115814a76644b,06335e755d651915bba20ac6915913c0dcd091e08897e9ef1a04a6bd93e5732b,3523597e68782b78543a54f14c147e92419fc160f7e14ad4d99c3d60e4e4a252,d65c39c1ca86277351465203e577d6c2ec4db9046cd3127ade456b07b820819d,1f7812eafd79dcdd231ae2d7b5300ff0875ebb564f13e582f311a34d33a872ae
"10064","1006401","20036104","4","0","開会式","0"
"10064","1006402","20036104","3","0","開会式","0"
"10064","1006403","20036104","1","0","徒競走","1006402"
"10064","1006404","20036104","4","0","徒競走","1006402"
"10064","1006405","20036104","2","0","徒競走","1006402"
"10064","1006406","20036104","2","0","騎馬戦","1006405"
"10064","1006407","20036104","4","0","騎馬戦","1006405"
"10064","1006408","20036106","3","0","昼休憩","1006406"
"10064","1006409","20036106","4","0","昼休憩","1006406"
"10064","1006410","20036106","3","0","学術文化出展各種","1006408"
"10064","1006411","20036106","4","0","学術文化出展各種","1006408"
"10064","1006412","20036106","1","0","学術文化出展各種","1006408"
"10064","1006413","20036108","4","0","侍女風給仕喫茶","1006410"
"10064","1006414","20036108","3","0","侍女風給仕喫茶","1006410"
"10064","1006415","20036113","3","0","総合リレー","1006414"
"10064","1006416","20036113","4","0","総合リレー","1006414"
"10064","1006417","0","1","2003601","セレモニーステージ","1006415"
"10064","1006418","0","4","2003601","セレモニーステージ","1006415"
"10064","1006419","0","2","2003601","セレモニーステージ","1006415"
"10064","1006420","0","3","2003601","閉会式","1006419"
"10064","1006421","0","4","2003601","閉会式","1006419"
"10064","1006422","0","4","2003601","コンプリート演出","1006420"
