64b4ae86d241aad87eacbdaaff9d8f087241388a7a6035a17356da245b9a365a,d391b8d76b60c6c5b879173639f7a873329900d775fc6c7579d347c02627c624,787dddd5228f510eefe1aad76e23b443f6017a719d1b1bd6a20bdcbe676b58a6,26b24710378ee40511732c13936d65f9f84331b14fb3f837adea27d5fba91282,9869f683eb1ade8977d5f832f6a73507250bba8f020ca08df13b4a6de1e6ff14,9cc04626182814d04c8e06bbb4d7b046322c6efc11f2380998fce4fefc2ee46d,9cff4ac66f0df565c14fa6bcc6bf4759b5d3619cee9d4e207903a4dcd6b889b8,3b797e914490e1fa46f9f019da82ed2184f29d40f98d931aa0e2707c80c7d98c,5cd66529b782c2295f19bd5ae9556356151ddbcfd5fda57ffe26c588c0c1a5d3,752942dd14eefdfb5c92a87e34fd07b632ffb23ad981acb045342b81113a4037,ee061f2523ae3a80ce1bf0959a7a594be66323ccc1262f60c1dfd0ee7e0b43f0,555241a3e9598315cedc51a1e71cdb9f5a47ca2dd4da02817fb107817943c8f3
"80001_2","24005","80001_3","1","80001","1","80000","1","2","80001_1","0","★3確定 アニメガチャチケット （プリンセスコネクト！Re:Dive 1）"
"80002_2","24006","80002_3","1","80002","1","80000","1","2","80002_1","0","★3確定 アニメガチャチケット （プリンセスコネクト！Re:Dive 2）"
"80003_2","24007","80003_3","1","80003","1","80000","1","2","80003_1","0","★3確定 アニメガチャチケット （プリンセスコネクト！Re:Dive 3）"
"80004_2","24008","80004_3","1","80004","1","80000","1","2","80004_1","0","★3確定 アニメガチャチケット （プリンセスコネクト！Re:Dive 4）"
"80005_2","24009","80005_3","1","80005","1","80000","1","2","80005_1","0","★3確定 プリコネフェス記念ガチャチケット"
"80006_2","24010","80006_3","1","80006","1","80000","1","2","80006_1","0","★3確定 プリコネフェス2022記念ガチャチケット"
"80007_2","24011","80007_3","1","80007","1","80000","1","2","80007_1","0","★3確定アニメガチャチケット プリンセスコネクト！Re:Dive Season2 1"
"80008_2","24012","80008_3","1","80008","1","80000","1","2","80008_1","0","★3確定アニメガチャチケット プリンセスコネクト！Re:Dive Season2 2"
"80009_2","24013","80009_3","1","80009","1","80000","1","2","80009_1","0","★3確定アニメガチャチケット プリンセスコネクト！Re:Dive Season2 3"
"80010_2","24014","80010_3","1","80010","1","80000","1","2","80010_1","0","★3確定 プリコネフェス2023記念ガチャチケット"
"80011_2","24015","80011_3","1","80011","1","80000","1","2","80011_1","0","★3確定 5周年記念ガチャチケット"
"80012_2","24016","80012_3","1","80012","1","80000","1","2","80012_1","0","★3確定 スタートダッシュガチャチケット"
"80013_2","24017","80013_3","1","80013","1","80000","1","2","80013_1","0","★3確定 プリコネフェス2024記念ガチャチケット"
"80014_2","24018","80014_3","1","80014","1","80000","1","2","80014_1","0","★3確定 プリコネフェス2025記念ガチャチケット"
"80015_2","24019","80015_3","1","80015","1","80000","1","2","80015_1","0","GWガチャチケット(火)2025"
"80016_2","24020","80016_3","1","80016","1","80000","1","2","80016_1","0","GWピックアップガチャチケット(火)2025"
"80017_2","24021","80017_3","1","80017","1","80000","1","2","80017_1","0","GWガチャチケット(闇)2025"
"80018_2","24022","80018_3","1","80018","1","80000","1","2","80018_1","0","GWピックアップガチャチケット(闇)2025"
"80019_2","24023","80019_3","1","80019","1","80000","1","2","80019_1","0","7.5th Anniv. ガチャチケット(水)"
"80020_2","24024","80020_3","1","80020","1","80000","1","2","80020_1","0","7.5th Anniv. ピックアップガチャチケット(水)"
"80021_2","24025","80021_3","1","80021","1","80000","1","2","80021_1","0","7.5th Anniv. ガチャチケット(風)"
"80022_2","24026","80022_3","1","80022","1","80000","1","2","80022_1","0","7.5th Anniv. ピックアップガチャチケット(風)"
"80023_2","24027","80023_3","1","80023","1","80000","1","2","80023_1","0","★3確定 Sダッシュミッションガチャチケット"
"80024_2","24028","80024_3","1","80024","10","80001","0","2","80024_1","3","カムバック10連ガチャチケット"
"80025_2","24029","80025_3","1","80025","10","80001","0","2","80025_1","3","カムバックSP10連ガチャチケット"
