1483a5abb031286ac53653bd872e0f01a53d1e4a9f33d780f2fde52d8466558b,7f85d8f64d2da1c149ac7e42fa0d7f4bfb412bfa3a285a0ef7ffc7f18a42cada,d4f57500b2d3acd0d2b279f6134f2b1d8d412b030db7f14240c581bd2be7552b,936baf43277288f650b3b421fbf8d4f7cdb6ae8b93c08d1db6e81b2644203149,b403e23ba4480bb0f9b1effc2386e8c4213dfad717932824e6eeda108b003b19,942595bc84eb2c0bdfef4f2220736c694a79c9e86fdbead64fc3eb112749b0cd
"1","10008","0","10008103","10008001","1"
"2","10008","0","10008104","10008002","1"
"3","10008","0","10008105","10008003","1"
"4","10008","0","10008107","10008004","1"
"5","10008","0","10008111","10008005","1"
"201","10008","0","0","10008006","2"
"101","10008","0","10008105","10008201","201"
"102","10008","0","10008107","10008202","201"
"103","10008","0","10008111","10008203","201"
"111","10008","0","10008115","10008204","202"
"105601","10008","0","0","10008301","101"
"100901","10008","0","10008103","10008302","101"
"101301","10008","0","10008104","10008303","101"
"105601","10008","0","10008105","10008304","101"
"101301","10008","0","10008107","10008305","101"
"100901","10008","0","10008111","10008306","101"
"105601","10008","0","0","10008307","102"
"201","10010","0","0","10010001","2"
"2","10010","0","10010112","10010002","1"
"3","10010","0","10010115","10010003","1"
"4","10010","0","10010103","10010004","1"
"5","10010","0","10010105","10010005","1"
"6","10010","0","10010107","10010006","1"
"7","10010","0","10010109","10010007","1"
"101","10010","0","10010112","10010201","211"
"0","10010","0","10010115","10010202","211"
"101461","10010","101471","10010110","10010501","501"
"101462","10010","101472","10010110","10010502","501"
"101463","10010","101473","10010110","10010503","501"
"211","10010","0","1001004","10010531","3"
"1","10012","0","1001201","10012001","4"
"2","10012","0","1001202","10012002","4"
"3","10012","0","1001203","10012003","4"
"4","10012","0","1001204","10012004","4"
"101","10012","0","1001201","10012301","5"
"101","10012","0","1001202","10012302","5"
"101","10012","0","1001203","10012303","5"
"501","10012","0","0","10012401","6"
"211","10012","0","1001204","10012531","3"
"211","10013","0","1001304","10013531","3"
"211","10015","0","1001504","10015531","3"
"1","10017","0","10017102","10017001","1"
"2","10017","0","10017108","10017002","1"
"3","10017","0","10017115","10017003","1"
"105801","10017","0","0","10017301","101"
"109901","10017","0","10017102","10017302","101"
"109901","10017","0","0","10017303","102"
"211","10017","0","1001704","10017531","3"
"101921","10021","101931","10021112","10021001","501"
"101922","10021","101932","10021112","10021002","501"
"101923","10021","101933","10021112","10021003","501"
"100011","10021","100351","10021112","10021004","501"
"100012","10021","100352","10021112","10021005","501"
"100013","10021","100353","10021112","10021006","501"
"100014","10021","100354","10021112","10021007","501"
"100015","10021","100355","10021112","10021008","501"
"100016","10021","100356","10021112","10021009","501"
"100017","10021","100357","10021112","10021010","501"
"100018","10021","100358","10021112","10021011","501"
"100019","10021","100359","10021112","10021012","501"
"211","10039","0","1003904","10039531","3"
"1","10053","0","10053102","10053001","1"
"2","10053","0","10053108","10053002","1"
"3","10053","0","10053115","10053003","1"
"105801","10053","0","0","10053301","101"
"109901","10053","0","10053102","10053302","101"
"109901","10053","0","0","10053303","102"
"211","10053","0","1005304","10053531","3"
"1","10084","0","10084102","10084001","1"
"2","10084","0","10084112","10084002","1"
"3","10084","0","10084115","10084003","1"
"1","10085","0","10085102","10085001","1"
"2","10085","0","10085108","10085002","1"
"3","10085","0","10085115","10085003","1"
"1","10112","0","10112102","10112001","1"
"2","10112","0","10112112","10112002","1"
"3","10112","0","10112115","10112003","1"
"1","10113","0","10113102","10113001","1"
"2","10113","0","10113108","10113002","1"
"3","10113","0","10113115","10113003","1"
"1","10153","0","10153102","10153001","1"
"2","10153","0","10153108","10153002","1"
"3","10153","0","10153115","10153003","1"
"105801","10153","0","0","10153301","101"
"109901","10153","0","10153102","10153302","101"
"109901","10153","0","0","10153303","102"
"211","10153","0","1015304","10153531","3"
"1","20008","0","20008103","20008001","1"
"2","20008","0","20008104","20008002","1"
"3","20008","0","20008105","20008003","1"
"4","20008","0","20008107","20008004","1"
"5","20008","0","20008111","20008005","1"
"201","20008","0","0","20008006","2"
"101","20008","0","20008105","20008201","201"
"102","20008","0","20008107","20008202","201"
"103","20008","0","20008111","20008203","201"
"111","20008","0","20008115","20008204","202"
"105601","20008","0","0","20008301","101"
"100901","20008","0","20008103","20008302","101"
"101301","20008","0","20008104","20008303","101"
"105601","20008","0","20008105","20008304","101"
"101301","20008","0","20008107","20008305","101"
"100901","20008","0","20008111","20008306","101"
"105601","20008","0","0","20008307","102"
"201","20010","0","0","20010001","2"
"1","20010","0","20010110","20010002","1"
"2","20010","0","20010112","20010003","1"
"3","20010","0","20010115","20010004","1"
"4","20010","0","20010103","20010005","1"
"5","20010","0","20010105","20010006","1"
"6","20010","0","20010107","20010007","1"
"7","20010","0","20010109","20010008","1"
"101","20010","0","20010112","20010201","211"
"0","20010","0","20010115","20010202","211"
"101461","20010","101471","20010110","20010501","501"
"101462","20010","101472","20010110","20010502","501"
"101463","20010","101473","20010110","20010503","501"
"211","20010","0","2001004","20010531","3"
"1","20012","0","2001201","20012001","4"
"2","20012","0","2001202","20012002","4"
"3","20012","0","2001203","20012003","4"
"4","20012","0","2001204","20012004","4"
"101","20012","0","2001201","20012301","5"
"101","20012","0","2001202","20012302","5"
"101","20012","0","2001203","20012303","5"
"501","20012","0","0","20012401","6"
"211","20012","0","2001204","20012531","3"
"211","20014","0","2001404","20014531","3"
"101921","20016","101931","20016112","20016001","501"
"101922","20016","101932","20016112","20016002","501"
"101923","20016","101933","20016112","20016003","501"
"100011","20016","100351","20016112","20016004","501"
"100012","20016","100352","20016112","20016005","501"
"100013","20016","100353","20016112","20016006","501"
"100014","20016","100354","20016112","20016007","501"
"100015","20016","100355","20016112","20016008","501"
"100016","20016","100356","20016112","20016009","501"
"100017","20016","100357","20016112","20016010","501"
"100018","20016","100358","20016112","20016011","501"
"100019","20016","100359","20016112","20016012","501"
"1","20046","0","20046102","20046001","1"
"2","20046","0","20046112","20046002","1"
"3","20046","0","20046115","20046003","1"
"1","20047","0","20047102","20047001","1"
"2","20047","0","20047108","20047002","1"
"3","20047","0","20047115","20047003","1"
