019a457c18cd0830bd4ef0e0632725bc4aa3ef1b811f5eb393da8568b05a0195,612f41570cf7644ea75db0bcacda05ffba5d4e6fb5d2cb17f57898c053c88669,121c8e8f4c141786e92e2c7cb1929394726b70212cbac39caab6168af3c77918,63b1911a3150a06fa96791f799c151104ef4d478f409b26a4a27120c3cead371,6e799e3ed7735b265fac4cfc5bd4514b636162c30995936b24b23b897985a417,6ca60a47a639118574b4326dde830df7568f826fd25b955c1a06c2665d603150,6648d1a4ae9195236d4612a6d0ea521e86577a9db044ce4f1a7e5083d6149e5e,088ada6554edc746156c48608c11c809d0e315a16cbf522dca887c8b4176d039,062cc568e2b21a5504c67120a76262db75e3bea884b8af7c06f3c7c3d3a46cd4,d24b319f35a757c0233df622d7b6925bb758c834856455dad73146fe7afd0570,a01564bff67be042ee4dfb5e849adc779d5f3ccc0d3562fed841384962ba799e
"","","","","25","","bgm_M321","4514","","bgm_M321_2C","4514001"
"-1000","2","0","250","1","-70","1","4514","wac_birthday_idle_normal","105811","4514002"
"200","2","1","256","1","-270","1","4514","wac_birthday_idle_doya","106011","4514003"
"320","2","1","258","1","-310","1","4514","wac_birthday_idle_wish","105911","4514004"
"440","2","1","257","1","-290","1","4514","wac_birthday_idle_smile","106431","4514005"
"","","","","13","","105811","4514","","300","4514006"
"","","","","13","","106011","4514","","300","4514007"
"0","1","","0","31","1","600","4514","","600","4514008"
"0","0","","0","31","1","602","4514","","602","4514009"
"0","0","","0","31","1","603","4514","","603","4514010"
"60","1","","30","31","1","604","4514","","604","4514011"
"0","1","","0","31","1","611","4514","","611","4514012"
"0","0","","0","31","1","700","4514","","700","4514013"
"0","0","","0","31","1","701","4514","","701","4514014"
"0","0","","0","31","1","702","4514","","702","4514015"
"0","0","","0","31","1","800","4514","","800","4514016"
"60","1","","30","31","1","900","4514","","900","4514017"
"","","","","93","","1","4514","","","4514018"
"wac_birthday_reaction_03","0.2","0.2","0","3","1","105911","4514","","wac_birthday_reaction_01","4514019"
"","","","","93","","0.1","4514","","","4514020"
"wac_birthday_reaction_04","0.2","0.2","0","3","1","106011","4514","","wac_birthday_reaction_05","4514021"
"wac_birthday_reaction_03","0.2","0.2","0","3","1","106431","4514","","wac_birthday_reaction_02","4514022"
"","","","","93","","0.3","4514","","","4514023"
"","0.2","","1","3","","105811","4514","","wac_birthday_run_01","4514024"
"3","","","-70","2","","105811","4514","","0","4514025"
"","","","","93","","2.5","4514","","","4514026"
"","","","","32","","602","4514","","1","4514027"
"","","","","93","","0.6","4514","","","4514028"
"","","","","32","","600","4514","","0","4514029"
"","","","","32","","611","4514","","0","4514030"
"","","","","32","","604","4514","","0","4514031"
"","","","","32","","701","4514","","1","4514032"
"0.01","","","0","33","","900","4514","","0","4514033"
"wac_birthday_wish_02","0.2","0.2","0","3","1","105811","4514","","wac_birthday_blowout_02","4514034"
"0.01","","","-330","2","","105811","4514","","-200","4514035"
"","0.2","","1","3","","106011","4514","","wac_birthday_idle_doya","4514036"
"0.01","","","-320","2","","106011","4514","","180","4514037"
