6a2257c350e986466a3d522bb7a112c7093641a795b360e1c0ee37085dc8f875,08a262e8b6fd8cd285c378a255301262686ea62144cf1f99ac6bed3d65aae563,c8a7c81913a9114982c85a1c8e68e3c441a04b90b2185878bc1bfaf774a1bae7,ac80f8c70208f2cd185c22c842bbd2ffdfec46e96be912fddceaf8f0c8c5cdab,40af1a674eaa2cd5b21b1b9f90427c6ad42a4b9a2e4820a247f990c7e318eaa7,35809564a4a0c1857f4a68eaf52332dec7fc1104b420603d5c2fa05baa9ed642,6d3c40e85dfc1abbc36aa9f69668d587e5c5f8b3446b93ade6c09cae15efb14f,7bf0ec67a2ab981e3df904638cb2101e14954d2c7c92a7e3ddc348f935d96fff,2806f69dc92e0a6fb0ad9c0a05517ae5396e4dce4a0be08de4870a1d1f61472a,03b54888271cc038c8d5ab36ba00b1a5cdceb07157cc419848781b0dd4db39dd,fac7455d43f4d7fd8e0cbeffe4a33ddec8693f45fe3d3c6eeff055abd10686e5
"2030/12/31 15:00:00","2020-02-15 15:00:00","bgm_M199","1002","","お兄ちゃん争奪！\nどっちのチョコがおいしいでSHOW","10000","1001","愛情たっぷりのチョコレートケー\nキを完成させよう！\n超キュートなタップゲーム！","2030/12/31 15:00:00","bgm_M199_juke"
"2030/12/31 15:00:00","2020-02-15 15:00:00","bgm_M227","1003","","クウカ大回転\n飛行道中エクスタシー","10000","1002","大回転！クウカ！\n最高のエクスタシーここにあり！\n引っ張って飛ばす、空の旅！","2030/12/31 15:00:00","bgm_M227_juke"
"2030/12/31 15:00:00","2020-02-15 15:00:00","bgm_M249","1004","","カオリのマブイ式空手道場","10000","1003","これぞ琉球魂！\n押し寄せるマジムンをなぎ倒す\n爽快アクションゲーム！","2030/12/31 15:00:00","bgm_M249_juke"
"2030/12/31 15:00:00","2020-02-15 15:00:00","bgm_M277","1005","","大激戦！しりとりドラゴンズ","10000","1004","白熱バトル！\nドラゴンズネスト流\nタイマン式頭脳しりとり！","2030/12/31 15:00:00","bgm_M277_juke"
"2030/12/31 15:00:00","2020-05-31 12:00:00","bgm_M355_Lofi","1006","","チュウチュウパニック！\nチーズお守り大作戦！","10000","1005","キミはチーズを守り抜けるか！？\n瞬発力が試される\n反射神経系カジュアルゲーム！","2030/12/31 15:00:00","bgm_M355_Lofi_juke"
"2030/12/31 15:00:00","2020-08-15 15:00:00","bgm_M399","1007","","猛訓打撃道！\nミサトのホームランドリル","10000","1006","目指せホームランバッター！\nミートタイミングがカギを握る\nスポーツアクションゲーム！","2030/12/31 15:00:00","bgm_M399"
"2030/12/31 15:00:00","2021-08-31 12:00:00","bgm_M500","1008","","カルミナサマーライブ\nライブ会場 グッズエリア","10000","1007","カルミナファン大興奮！\nライブ応援グッズを手に入れて\n目指せ「カルミナ神推し」！","2030/12/31 15:00:00","bgm_M500"
"2030/12/31 15:00:00","2021-12-18 15:00:00","bgm_M540","1009","","ミヤコ's キッチン　究極への道","10000","1008","レッツ・クッキング！\nミヤコとプリンを作って食べて\nプリンの道を極めよう！","2030/12/31 15:00:00","bgm_M540"
"2022/02/28 11:59:59","2022-02-15 15:00:00","bgm_M569","1010","ランドソルクイズコネクト！","Happy Anniv.スペシャル　\nランドソルクイズコネクト！","0","1009","５人チームで力を合わせて多種多\n様なジャンルのクイズに挑戦！\n目指せ、クイズプリンセス！","2022/02/15 15:00:00","bgm_M569"
"2030/12/31 15:00:00","2022-07-18 15:00:00","bgm_M605","1011","","駆けろ常夏！\nアルティメットビーチフラッグス","10000","1010","砂浜駆けるプリンセス！\nハチャメチャなコースに挑む、\n南の島のビーチフラッグス！","2030/12/31 15:00:00","bgm_M605"
"2030/12/31 15:00:00","2023-09-18 15:00:00","bgm_MC068","1012","放課後クイズエデュケーション　{0}","キャルとスズナの\n放課後クイズエデュケーション","10000","1012","めざせ全問正解！\nキャルとスズナと放課後の教室で\n二人きりのクイズ勉強会！","2030/12/31 15:00:00","bgm_MC068"
"2030/12/31 15:00:00","2024-04-18 15:00:00","bgm_MC141","1013","行軍（マーチ）A-Go-Go！","エリコとマコトの\n行軍（マーチ）A-Go-Go！","10000","1013","魔物はびこる街道を突き進め！\n【王宮騎士団(NIGHTMARE)】\nの兵たちを率い、訓練に挑戦だ！","2030/12/31 15:00:00","bgm_MC141"
"2030/12/31 15:00:00","2024-11-18 15:00:00","bgm_MC199","1014","激突！破壊！\nイリーガルタンクウォー","激突！破壊！\nイリーガルタンクウォー","10000","1014","戦車バトル大会開幕！\n組み上げたオリジナルマシンで\n頂点を目指せ！","2030/12/31 15:00:00","bgm_MC199_Battle"
