a0cd0d6d5e32010ebe67751a93492c84dd93543206f327bd9976a1791737a9f1,6bd4fafb45413d06a912d8c684b7be183d76c9d92864e1904c8150a035b01597,b70a053d82c8e476fcbe6324ad9f82f2d74b2697e76a111733b24d2e72cb970f,671cc8b5f59a070a4e7d59a9df879f129f12b397fa728bfc67210b143e6cd6bb,ee5c8392cc1c60e582f285dcd8d0eb928cb36604e1168d718245da93846070a4,89b72150a0b2184b6b60913d78bf85153d456994487ebf1dc36af971ab02d4e3,4a55d8da8caf6f2dedc1861060efd1a198c23dcd5656afb73a77ff1a930b727c,767ea9c71c929daf4af90fd9f3dd703e130fe404d47f3d450642fd87d3d23b09,ed42755766a6ed5f2771ea83e0dbd3f6c3d48cb48b4bdc262fa473fe07368b47,3ad453e4a06f02536edb65ee7e5c42da297ce676d30acc53feb597e28870f80e,68c631b703892dfae092b3d4906b22183d5b715c03767d2cba436c24b8a08689
"1","omp_talk_worry","1500","-190","0","1.8","1","1010001","-140","1","112511"
"1","omp_idle_normal","1500","-190","1","1.8","1","1010002","140","1","112411"
"31","","0","1","","1","1","1010003","0","1","1"
"93","","","","","","1","1010004","","1",""
"21","","0","","","","vo_omp_7001","1010005","0","1","vo_omp_7001_000"
"11","","10","1","","","112511","1010006","1","1","ウヅキ、大丈夫？\n夜営続きで疲れてない？"
"91","","","","","","0","1010007","","1",""
"3","","1","","","0","112511","1010008","","1","omp_idle_worry"
"3","","1","","","0","112411","1010009","","1","omp_talk_joy1"
"21","","0","","","","vo_omp_7001","1010010","0","1","vo_omp_7001_001"
"11","","10","1","","","112411","1010011","1","1","はい、大丈夫です！\nみんなと一緒に旅をするの\nとっても楽しいですし"
"91","","","","","","0","1010012","","1",""
"3","","1","","","0","112411","1010013","","1","omp_psn_20"
"3","","1","","","0","112511","1010014","","1","omp_talk_normal"
"21","","0","","","","vo_omp_7001","1010015","0","1","vo_omp_7001_002"
"11","","10","1","","","112511","1010016","1","1","そっか\nウヅキはどんなときも楽しそうだよね"
"91","","","","","","0","1010017","","1",""
"3","","1","","","0","112511","1010018","","1","omp_idle_normal"
"3","","1","","","0","112411","1010019","","1","omp_talk_sad"
"21","","0","","","","vo_omp_7001","1010020","0","1","vo_omp_7001_003"
"11","","10","1","","","112411","1010021","1","1","もしかして…\nリンちゃんは楽しくないですか？"
"91","","","","","","0","1010022","","1",""
"3","","1","","","0","112411","1010023","","1","omp_idle_sad"
"3","","0","1","0.1","0","112511","1010024","omp_idle_surprise1","1","omp_surprise"
"21","","0","","","","vo_omp_7001","1010025","0","1","vo_omp_7001_004"
"11","","10","1","","","112511","1010026","1","1","えっ？　どうして？\nそんなことないよ\n私も…すごく楽しい"
"93","","","","","","2.5","1010027","","1","1"
"3","","1","","","0.2","112511","1010028","","1","omp_talk_normal"
"91","","","","","","1010026","1010029","","1",""
"3","","1","","","0","112511","1010030","","1","omp_idle_normal"
"3","","1","","","0","112411","1010031","","1","omp_talk_joy2"
"21","","0","","","","vo_omp_7001","1010032","0","1","vo_omp_7001_005"
"11","","10","1","","","112411","1010033","1","1","えへへっ♪\nそれなら安心してください！\nリンちゃんが楽しいなら\n私も楽しいですから！"
"91","","","","","","0","1010034","","1",""
"4","","1","","","","112511","1010035","","1","0"
"3","","1","","","0","112411","1010036","","1","omp_psn_20"
"3","","1","","","0","112511","1010037","","1","omp_idle_normal"
"21","","0","","","","vo_omp_7001","1010038","0","1","vo_omp_7001_006"
"11","","10","1","","","112511","1010039","1","1","心配してたつもりなのに…\n私が励まされちゃった\nウヅキはやっぱりすごいな…"
"91","","","","","","0","1010040","","1",""
"93","","","","","","0.4","1010041","","1",""
"1","omp_idle_normal","1600","-195","0","1.8","1","1020001","-180","2","112511"
"1","omp_talk_normal","1500","-190","1","1.8","1","1020002","20","2","112411"
"1","omp_idle_normal","1600","-205","1","1.8","1","1020003","220","2","112611"
"31","","0","1","","1","1","1020004","0","2","1"
"93","","","","","","1","1020005","","2",""
"21","","0","","","","vo_omp_7002","1020006","0","2","vo_omp_7002_000"
"11","","10","1","","","112411","1020007","1","2","ペコリーヌちゃんの魔物料理、\n美味しかったですね♪"
"91","","","","","","0","1020008","","2",""
"4","","","","","","112411","1020009","","2","0"
"3","","1","","","0","112411","1020010","","2","omp_idle_normal"
"3","","1","","","0","112611","1020011","","2","omp_talk_joy1"
"21","","0","","","","vo_omp_7002","1020012","0","2","vo_omp_7002_001"
"11","","10","1","","","112611","1020013","1","2","うん！　美味しかったし\n冒険の醍醐味って感じがして…\nすごい経験しちゃったなって！"
"91","","","","","","0","1020014","","2",""
"3","","1","","","0","112611","1020015","","2","omp_idle_joy1"
"3","","1","","","0","112411","1020016","","2","omp_talk_surprise1"
"21","","0","","","","vo_omp_7002","1020017","0","2","vo_omp_7002_002"
"11","","10","1","","","112411","1020018","1","2","でも不思議ですよね\nあんな見た目の魔物が\nご馳走に変身しちゃうなんて！"
"91","","","","","","0","1020019","","2",""
"4","","","","","","112411","1020020","","2","1"
"3","","1","","","0","112411","1020021","","2","omp_idle_surprise1"
"3","","1","","","0","112511","1020022","","2","omp_talk_normal"
"21","","0","","","","vo_omp_7002","1020023","0","2","vo_omp_7002_003"
"11","","10","1","","","112511","1020024","1","2","全然想像できない味だったね\nいい意味で"
"91","","","","","","0","1020025","","2",""
"3","","1","","","0","112511","1020026","","2","omp_talk_sad"
"21","","0","","","","vo_omp_7002","1020027","0","2","vo_omp_7002_004"
"11","","10","1","","","112511","1020028","1","2","でも魔物が調理されてるところは\nまあ、何て言うか…"
"91","","","","","","0","1020029","","2",""
"3","","1","","","0","112511","1020030","","2","omp_idle_sad"
"3","","1","","","0","112411","1020031","","2","omp_talk_bitter"
"21","","0","","","","vo_omp_7002","1020032","0","2","vo_omp_7002_005"
"11","","10","1","","","112411","1020033","1","2","…す、すごかったですよね"
"91","","","","","","0","1020034","","2",""
"3","","1","","","0","112411","1020035","","2","omp_idle_bitter"
"3","","1","","","0","112611","1020036","","2","omp_talk_joy1"
"21","","0","","","","vo_omp_7002","1020037","0","2","vo_omp_7002_006"
"11","","10","1","","","112611","1020038","1","2","魔物料理は、おペコさんに\nまるっとお任せしちゃった方が\nいいかも。あはは～"
"91","","","","","","0","1020039","","2",""
"3","","1","","","0","112611","1020040","","2","omp_idle_joy1"
"3","","1","","","0","112511","1020041","","2","omp_talk_bitter"
"21","","0","","","","vo_omp_7002","1020042","0","2","vo_omp_7002_007"
"11","","10","1","","","112511","1020043","1","2","冒険って、奥が深いね…"
"91","","","","","","0","1020044","","2",""
"93","","","","","","0.4","1020045","","2",""
"1","omp_talk_joy1","1500","-190","0","1.8","1","1030001","-140","3","112411"
"1","omp_idle_normal","1500","-190","1","1.8","1","1030002","140","3","112611"
"31","","0","1","","1","1","1030003","0","3","1"
"93","","","","","","1","1030004","","3",""
"21","","0","","","","vo_omp_7003","1030005","0","3","vo_omp_7003_000"
"11","","10","1","","","112411","1030006","1","3","ミオちゃん！\nこのあたりっていろいろな\n魔物がいて楽しいですね！"
"91","","","","","","0","1030007","","3",""
"3","","1","","","0","112411","1030008","","3","omp_psn_20"
"3","","1","","","0","112611","1030009","","3","omp_psn_19"
"21","","0","","","","vo_omp_7003","1030010","0","3","vo_omp_7003_001"
"11","","10","1","","","112611","1030011","1","3","た、楽しいかな～？"
"91","","","","","","0","1030012","","3",""
"3","","1","","","0","112611","1030013","","3","omp_psn_18"
"3","","1","","","0","112411","1030014","","3","omp_talk_joy1"
"21","","0","","","","vo_omp_7003","1030015","0","3","vo_omp_7003_002"
"11","","10","1","","","112411","1030016","1","3","怖い魔物もたくさんいますけど\n探せばぴにゃこら太さんや\nプチグリフォンさんみたいに\nかわいい魔物もいると思うんですよね！"
"91","","","","","","0","1030017","","3",""
"3","","1","","","0","112411","1030018","","3","omp_psn_20"
"3","","1","","","0","112611","1030019","","3","omp_talk_joy1"
"21","","0","","","","vo_omp_7003","1030020","0","3","vo_omp_7003_003"
"11","","10","1","","","112611","1030021","1","3","そういうことか\nいや、ちょっとまって、しまむー\nプチグリフォンはかわいいかもだけど\nぴにゃこら太、かわいいかな～？"
"93","","","","","","1.5","1030022","","3","1"
"3","","1","","","0.2","112611","1030023","","3","omp_psn_19"
"91","","","","","","1030021","1030024","","3",""
"3","","1","","","0","112611","1030025","","3","omp_psn_18"
"3","","1","","","0","112411","1030026","","3","omp_talk_joy1"
"21","","0","","","","vo_omp_7003","1030027","0","3","vo_omp_7003_004"
