5f2ad6de6076e48f3f4cb325373f2d3d7cb3cb100435baa35259a6c289cf8281,b597dd2eec1388f0824159d01cfaa8d49cffdc408c55a6f321139db6f9a41b15,745188c3c4b699641575c6a10ac1ee4ebf2827c7d3af8e1b8b8740a05452373c,b210992785f705f477b25cb9ff9587f563b993a8ae88552a39466cd3abd23c33,be866519bf4fea8fbda4b944e73582ae4e3b29e668c0f356716f296a33ca95cb,9b11cc4eebf69913749eed5086755ae7f174427ecab3101e155c3b675aa00b69,58a73c36dbde31f1c06b33e90b89c5eddb248c5ce268b63352b6fb89557927b6
"0","4","20036104","開会式","10064","1006401","0"
"0","3","20036104","開会式","10064","1006402","0"
"1006402","1","20036104","徒競走","10064","1006403","0"
"1006402","4","20036104","徒競走","10064","1006404","0"
"1006402","2","20036104","徒競走","10064","1006405","0"
"1006405","2","20036104","騎馬戦","10064","1006406","0"
"1006405","4","20036104","騎馬戦","10064","1006407","0"
"1006406","3","20036106","昼休憩","10064","1006408","0"
"1006406","4","20036106","昼休憩","10064","1006409","0"
"1006408","3","20036106","学術文化出展各種","10064","1006410","0"
"1006408","4","20036106","学術文化出展各種","10064","1006411","0"
"1006408","1","20036106","学術文化出展各種","10064","1006412","0"
"1006410","4","20036108","侍女風給仕喫茶","10064","1006413","0"
"1006410","3","20036108","侍女風給仕喫茶","10064","1006414","0"
"1006414","3","20036113","総合リレー","10064","1006415","0"
"1006414","4","20036113","総合リレー","10064","1006416","0"
"1006415","1","0","セレモニーステージ","10064","1006417","2003601"
"1006415","4","0","セレモニーステージ","10064","1006418","2003601"
"1006415","2","0","セレモニーステージ","10064","1006419","2003601"
"1006419","3","0","閉会式","10064","1006420","2003601"
"1006419","4","0","閉会式","10064","1006421","2003601"
"1006420","4","0","コンプリート演出","10064","1006422","2003601"
