f0f4147d4f699ab1627afc46b839261b982af58ec32ed98749cef17c1b5ca730,6ac7ab8a607c63fe5f9d2d158c68af124f3716db74160df52b4e3499f1eb293d,be96198b83966120aa2683fc7c5105cbce615ca3120d3c1e3fdba1b897ac63d3,c7afde2d6cbe120a8b2a4ce039d583a3b9e56b34e47b0b4a707c246ea8422f97,b2f1850fa5933e412771c42e3c2b703869870892c342a02a5eb9ee1f0f9daa0c,19042606c54b9c54cc093132dbd69a41a4b591e9632efc491e2fc06a42ec3099,6d21bad235b604af2aa693e0408da6fdb07e9541db1c053516369cab6a12a6cd,d882940dd326dbf4ed5a488c3562453a5e5d5c9d858a87f2f54c92ee6fa02f90,a5132a56085a86bae043c057686ab07b32acb876506ed4f063233f52bbbad59c,b658ead2d5eecf24115faaa06a9ec0ea6237dfa4af42335e311ed4412a2630f1,b8a03f776b751a4db47a7453a3581e7d78e03422052e4566e341e1aeca99dae4
"2.08","1007001","113511","5","100","-300","-750","2","svd_idle_normal","1007001001","0"
"2.08","1007001","113411","5","100","-300","750","1","svd_idle_normal","1007001002","1"
"1","1007001","333","5","0","0","0","3","svd_white_loop","1007001003","0"
"0","1007001","1","6","1","0","1","333","","1007001004","0"
"","1007001","2","7","0","","0","113511","","1007001005",""
"","1007001","-750","2","-300","0","0.5","113511","","1007001006",""
"0","1007001","1","6","1","0","1","113411","","1007001007","0"
"0","1007001","11","31","-140","0.8","-40","1","","1007001008",""
"","1007001","2","34","0","","0","11","","1007001009",""
"","1007001","6","7","0","","0","113411","","1007001010",""
"","1007001","750","2","-300","0","0.5","113411","","1007001011",""
"0","1007001","14","31","-250","1","-40","4","","1007001012",""
"0","1007001","15","31","250","1","-40","5","","1007001013",""
"","1007001","","93","","","","1","","1007001014",""
"0.8","1007001","1","6","1","0.4","1","333","","1007001015","0"
"0.2","1007001","svd_idle_see_pre","3","0","1","svd_idle_see","113511","","1007001016","0"
"","1007001","640","2","-300","0","1.1","113411","","1007001017",""
"","1007001","-600","2","-300","0","1.1","113511","","1007001018",""
"","1007001","","93","","","","1","","1007001019",""
"","1007001","1","32","","","","11","","1007001020",""
"","1007001","","91","","","","0","","1007001021",""
"","1007001","240","94","260","80","0","113511","","1007001022",""
"","1007001","0","32","","","","11","","1007001023",""
"0.2","1007001","svd_run","3","1","","","113511","","1007001024",""
"","1007001","0","7","1.2","","0","113511","","1007001025",""
"","1007001","-250","2","-300","0","1.2","113511","","1007001026",""
"0.2","1007001","svd_run","3","1","","","113411","","1007001027",""
"","1007001","0","7","1.2","","0","113411","","1007001028",""
"","1007001","250","2","-300","0","1.2","113411","","1007001029",""
"0.2","1007001","1","6","1","1","1","113411","","1007001030","0"
"","1007001","","93","","","","1.2","","1007001031",""
"","1007001","","91","","","","0","","1007001032",""
"0.2","1007001","svd_kime_eriko","3","0","","","113511","","1007001033",""
"0.2","1007001","svd_kime_shizuru","3","0","","","113411","","1007001034",""
"","1007001","","93","","","","1.4","","1007001035",""
"","1007001","1","32","","","","14","","1007001036",""
"","1007001","1","32","","","","15","","1007001037",""
"","1007001","","93","","","","0.6","","1007001038",""
"0.2","1007001","svd_idle_joy1","3","1","","","113411","","1007001039",""
"0.2","1007001","svd_talk_wish","3","1","","","113511","","1007001040",""
"","1007001","vo_svd_0121","21","0","","0","vo_svd","","1007001041",""
"0","1007001","あなた様のため…必ずや\n忘れられない最高の夏休みを\nお贈りいたしますわ…","11","6","0","0","113511","1","1007001042","0"
"","1007001","","91","","","","0","","1007001043",""
"0.2","1007001","svd_idle_wish","3","1","","","113511","","1007001044",""
"0.2","1007001","svd_talk_joy1","3","1","","","113411","","1007001045",""
"","1007001","vo_svd_0122","21","0","","0","vo_svd","","1007001046",""
"0","1007001","夏が来たら私たちのことを\n思い出しちゃうすっごい\nプロデュースをしちゃおうね！","11","8","0","0","113411","1","1007001047","0"
"","1007001","","91","","","","0","","1007001048",""
"0.2","1007001","svd_idle_joy1","3","1","","","113411","","1007001049",""
"0.2","1007001","svd_talk_thinking","3","1","","","113511","","1007001050",""
"","1007001","vo_svd_0123","21","0","","0","vo_svd","","1007001051",""
"0","1007001","はて…？　私は来年の夏も\n一緒に過ごすので思い出して\nいただく必要はないのですが…","11","6","0","0","113511","1","1007001052","0"
"","1007001","","91","","","","0","","1007001053",""
"0.2","1007001","svd_idle_thinking","3","1","","","113511","","1007001054",""
"0.2","1007001","svd_surprise","3","0","1","svd_talk_anger","113411","","1007001055","0.2"
"","1007001","vo_svd_0124","21","0","","0","vo_svd","","1007001056",""
"0","1007001","あ！　ズルいよエリコちゃん！\nお姉ちゃんだってずっとずっと\n永遠に一緒だよ！","11","8","0","0","113411","1","1007001057","0"
"","1007001","","93","","","","3","","1007001058",""
"0.2","1007001","svd_jump","3","0","1","svd_talk_joy1","113411","","1007001059","0.4"
"","1007001","","91","","","","1007001057","","1007001060",""
"0.2","1007001","svd_idle_joy1","3","1","","","113411","","1007001061",""
"","1007001","","102","","","","","","1007001062",""
"","1007001","0","32","","","","14","","1007001063",""
"","1007001","0","32","","","","15","","1007001064",""
"","1007001","","93","","","","1","","1007001065",""
"0","1007001","7","12","1","","","113511","","1007001066","0"
"0.2","1007001","svd_talk_normal","3","1","","","113511","","1007001067",""
"","1007001","","93","","","","3","","1007001068",""
"0.2","1007001","svd_idle_normal","3","1","","","113511","","1007001069",""
"0","1007001","10","12","1","","","113411","","1007001070","0"
"0.2","1007001","svd_talk_normal","3","1","1","","113411","","1007001071",""
"","1007001","","93","","","","3","","1007001072",""
"0.2","1007001","svd_idle_normal","3","1","1","","113411","","1007001073",""
"0","1007001","7","12","1","","","113511","","1007001074","0"
"0.2","1007001","svd_talk_memory","3","1","","","113511","","1007001075",""
"","1007001","","93","","","","3","","1007001076",""
"0.2","1007001","svd_idle_memory","3","1","","","113511","","1007001077",""
"0","1007001","10","12","1","","","113411","","1007001078","0"
"0.2","1007001","svd_talk_memory","3","1","1","","113411","","1007001079",""
"","1007001","","93","","","","3","","1007001080",""
"0.2","1007001","svd_idle_memory","3","1","1","","113411","","1007001081",""
"","1007001","","101","","","","1007001066","","1007001082",""
"1","1007001","1","6","1","0","1","333","","1007001083","0"
"","1007001","1","4","","","","113511","","1007001084",""
"0.2","1007001","svd_run","3","1","","","113511","","1007001085",""
"","1007001","-750","2","-300","0","0.8","113511","","1007001086",""
"","1007001","0","4","","","","113411","","1007001087",""
"0.2","1007001","svd_run","3","1","","","113411","","1007001088",""
"","1007001","750","2","-300","0","0.8","113411","","1007001089",""
"","1007001","","93","","","","0.6","","1007001090",""
"0.2","1007001","1","6","1","0","1","113511","","1007001091","0"
"0.2","1007001","1","6","1","0","1","113411","","1007001092","0"
"","1007001","","91","","","","0","","1007001093",""
"2.08","1007002","113511","5","100","-300","-650","2","svd_idle_normal","1007002001","0"
"2.08","1007002","113411","5","100","-300","650","1","svd_idle_normal","1007002002","1"
"1","1007002","333","5","0","0","0","3","svd_white_loop","1007002003","0"
"0","1007002","1","6","1","0","1","333","","1007002004","0"
"0","1007002","1","6","1","0","1","113511","","1007002005","0"
"0","1007002","1","6","1","0","1","113411","","1007002006","0"
"","1007002","","93","","","","1","","1007002007",""
"0.8","1007002","1","6","1","0.4","1","333","","1007002008","0"
"0.2","1007002","svd_run","3","1","","","113511","","1007002009",""
"","1007002","-250","2","-300","0","1.2","113511","","1007002010",""
"0.4","1007002","1","6","1","1","1","113511","","1007002011","0"
"","1007002","","93","","","","1.2","","1007002012",""
"","1007002","","91","","","","0","","1007002013",""
"0.1","1007002","svd_idle_normal","3","1","","","113511","","1007002014",""
"","1007002","","93","","","","0.6","","1007002015",""
"0.2","1007002","svd_talk_memory","3","1","","","113511","","1007002016",""
"","1007002","vo_svd_0221","21","0","","0","vo_svd","","1007002017",""
"0","1007002","あなた様の泳ぐ姿…この目に\nしかと焼き付けさせて\n頂きました。","11","6","0","0","113511","1","1007002018","0"
"","1007002","","91","","","","0","","1007002019",""
"0.2","1007002","svd_idle_memory","3","1","","","113511","","1007002020",""
"0.2","1007002","svd_run","3","1","","","113411","","1007002021",""
"","1007002","250","2","-300","0","1.2","113411","","1007002022",""
"0.4","1007002","1","6","1","1","1","113411","","1007002023","0"
"","1007002","","93","","","","1.2","","1007002024",""
"0.1","1007002","svd_idle_joy1","3","1","","","113411","","1007002025",""
"","1007002","","93","","","","0.3","","1007002026",""
"0.2","1007002","svd_talk_memory","3","1","","","113411","","1007002027",""
