8814aa2b7a6eb0d2ceecbde1703a45df8e2f7ef72dd1f1511880ad16fc7a20cb,f772d0ad0be0db616c76800a5c06fecdc4100067a5083ad6f69a6cb1489c7ec4,bee12fbf53beefe10185700687ce7e7ab30db12e23d9219fc40d9792f5d11112,49d4527ee180838c44cefb0436d86228fd213225b8fead43c3004f44bd1ab9d1,92f7565e0fcad5bcca4f5d3b1d58e73274710c289c3b25438aad0a94213346ae,11c9f568897102769190c0161afdd8552c0852a86375e5202f8d2ccfae2e7dec,212add5d325b3896fc9e4b7143ca0210273691d64c9bbd7babfd8479e4366199,3056476b865b2a17786a87256e0e813def0770102e674a73a03e3db10ddec2ed,65b1dbaa387be5e6aeeffd053a092ab78ac087fd6b3192975dc9a74c54be722f,de6a53d36e7fcbae1c0e40e347628eb92ebb240f5c727b00ae98795dd33e6b5f,c5b6a421ea64e929924f1f3215562b67b69548ad6288079f9994f2a62b162351
"-140","1","1500","1.8","-190","112511","1","0","1","1010001","omp_talk_worry"
"140","1","1500","1.8","-190","112411","1","1","1","1010002","omp_idle_normal"
"0","1","0","1","1","1","31","","1","1010003",""
"","1","","","","","93","","1","1010004",""
"0","vo_omp_7001","0","","","vo_omp_7001_000","21","","1","1010005",""
"1","112511","10","","1","ウヅキ、大丈夫？\n夜営続きで疲れてない？","11","","1","1010006",""
"","0","","","","","91","","1","1010007",""
"","112511","1","0","","omp_idle_worry","3","","1","1010008",""
"","112411","1","0","","omp_talk_joy1","3","","1","1010009",""
"0","vo_omp_7001","0","","","vo_omp_7001_001","21","","1","1010010",""
"1","112411","10","","1","はい、大丈夫です！\nみんなと一緒に旅をするの\nとっても楽しいですし","11","","1","1010011",""
"","0","","","","","91","","1","1010012",""
"","112411","1","0","","omp_psn_20","3","","1","1010013",""
"","112511","1","0","","omp_talk_normal","3","","1","1010014",""
"0","vo_omp_7001","0","","","vo_omp_7001_002","21","","1","1010015",""
"1","112511","10","","1","そっか\nウヅキはどんなときも楽しそうだよね","11","","1","1010016",""
"","0","","","","","91","","1","1010017",""
"","112511","1","0","","omp_idle_normal","3","","1","1010018",""
"","112411","1","0","","omp_talk_sad","3","","1","1010019",""
"0","vo_omp_7001","0","","","vo_omp_7001_003","21","","1","1010020",""
