185f267fde21abd982479b06e443c62135daebcbb713bb393b4e635df97362eb,1a02ef7cef8c684bd95d75ea5b01d671038e401e748a7d9dc79fde8460131254,f1678447ffa2131399fac31d6f0a1938e0c9775c9b5adceccfa2e1b14f3f33ab,b20eda2cf58e724d25aa686bfc5b53bf0116ae3f92a3e5f7151370ce14e31487,14a1a1506387fa3b18b084d6eae7387168c7475f56aa1625979a0e843cb42c3f,c09c7843364d870254468aeee9e8df76c2d1bcfb17d511989b6f8002225afe5e,7a4840e9de58bd5e00ca90542cafbaccf09d2606be2186df25e056d87872882f,fae6ea1021ef3a1dc20fcce4fd03d8cd19aea8966c952a790d4e163f059d1800,f8d29feb164de59e431d6391be9b7b827c73c8d98c6642a9d1e429477a897d91
"500000","1","全プレイヤーでバンディ・シスターズを合計500,000回倒そう","1010","1","1002","32000101","7008","32000101"
"750000","2","全プレイヤーでバンディ・シスターズを合計750,000回倒そう","1010","1","1002","32000102","7008","32000102"
"1000000","3","全プレイヤーでバンディ・シスターズを合計1,000,000回倒そう","1010","1","1002","32000103","7008","32000103"
"500000","4","全プレイヤーでフレイヤを合計500,000回倒そう","1010","1","1003","32000104","7008","32000104"
"750000","5","全プレイヤーでフレイヤを合計750,000回倒そう","1010","1","1003","32000105","7008","32000105"
"1000000","6","全プレイヤーでフレイヤを合計1,000,000回倒そう","1010","1","1003","32000106","7008","32000106"
"1000000","7","全プレイヤーでアラクネを合計1,000,000回倒そう","1010","0","1004","32000107","7008","32000107"
"1500000","8","全プレイヤーでアラクネを合計1,500,000回倒そう","1010","0","1004","32000108","7008","32000108"
"2000000","9","全プレイヤーでアラクネを合計2,000,000回倒そう","1010","0","1004","32000109","7008","32000109"
"1","10","宝石蜘蛛の群れに1回挑戦しよう","1009","1","1001","32000110","7007","32000110"
"1","11","バンディ・シスターズを1回倒そう","1009","1","1002","32000111","7007","32000111"
"1","12","フレイヤを1回倒そう","1009","1","1003","32000112","7007","32000112"
"1","13","アラクネを1回倒そう","1009","0","1004","32000113","7007","32000113"
