80527df01fd79d52ed3d2bad0a43694385ecadb0a7b170e51999ee74c23407e8,35096cdb56801f8980aac1d0809d811c915cc858ba6d497e958e68b84eb2c2e6,90c69aab93de433c3b1bd4b9c57266bc92cf521bf5a8709d6023245954e2508f,985909673d26259752dd34aa1353bae8597f7f9f97670d2113dbd127bf413c5d,b3ddb53fe6c2a40ada395b0e5e34dc94c7d8a5588deb209074a13a84d4eee7b1,154673aebe02329bc154940271dd365aa1c3cbae66769f9613afb8bdadad2779,e8a5ecbc0ff8c57fab4b6433a47074fa933fe0b9983fa670bd3982f5eb78067c,1ca6d0753fa3f68245935bf18fe4ba8d75ecbb3eb0493aa28e099a34501481ba,4bd87c135eb9edd48800500e6bb78d5c8ae37fe0d439828f5ebd489eab764f4b,df42d1d6ea281c457a963f1fe3b6bdd27b63728df5e0797c1f7b475edf00cdeb,f227090fb0624f0fc4b5b35dbb142582a52457e1e64a792b2f77f7c7da6bc830
"110931","110","0","11010001","-421","-209.3","nyx_idle_normal","1","101","1","1.35"
"104831","110","0","11010002","121.8","-182.5","nyx_idle_normal","1","101","1","1.35"
"104631","110","0","11010003","227.7","-182.5","nyx_idle_normal","1","101","1","1.35"
"103231","110","1","11010004","340.3","-182.5","nyx_talk_normal","1","101","1","1.35"
"103431","110","1","11010005","449.6","-182.5","nyx_idle_normal","1","101","1","1.35"
"2","120","0","11010006","-421","-209.3","NoItem","2","101","5","1.35"
"1","0","","11010007","0","1","","1","101","31","1"
"3","-300","","11010008","0","1","","15","101","31","0"
"4","-300","","11010009","0","1.5","","15","101","31","0"
"bgm_M347","","","11010010","","","","bgm_M347","101","25",""
"","","","11010011","","","","2","101","93",""
"nyx_101_chieru_01","0","","11010012","nyx_101_chieru_loop","1","","2","101","3","0.2"
"nyx_101_chieru_01","0","","11010013","nyx_101_chieru_loop","1","","110931","101","3","0.2"
"ちぇる～ん♪\n最初はとにかく\nインパクト！","10","","11010014","","","","110931","101","11",""
"","","","11010015","","","","0.4","101","93",""
"0","","","11010016","","","","3","101","32",""
"1","","","11010017","","","","3","101","32",""
"","","","11010018","","","","11010014","101","91",""
"強めの初ちぇるで\n審査員のハートを\n鷲掴み子ちゃんです","10","","11010019","","","","110931","101","11",""
"","","","11010020","","","","1","101","93",""
"nyx_idle_joy1","1","","11010021","","","","103231","101","3","0.2"
"nyx_cmn_05","1","","11010022","","","","104631","101","3","0.2"
"","","","11010023","","","","11010019","101","91",""
"nyx_101_chieru_01","0","","11010024","nyx_101_chieru_loop","1","","2","101","3","0.2"
"nyx_101_chieru_01","0","","11010025","nyx_101_chieru_loop","1","","110931","101","3","0.2"
"ちぇるーん♪\nいや、まだ行ける…\nちぇっ☆るゥ～ん！","7","","11010026","","","","110931","101","11",""
"","","","11010027","","","","0.4","101","93",""
"0","","","11010028","","","","3","101","32",""
"1","","","11010029","","","","3","101","32",""
"","","","11010030","","","","0.6","101","93",""
"nyx_talk_bitter","1","","11010031","","","","103431","101","3","0.2"
"nyx_cmn_04","1","","11010032","","","","104631","101","3","0.2"
"","","","11010033","","","","2","101","93",""
"nyx_101_chieru_02","0","","11010034","nyx_101_chieru_loop","1","","2","101","3","0.2"
"nyx_101_chieru_02","0","","11010035","nyx_101_chieru_loop","1","","110931","101","3","0.2"
"","","","11010036","","","","0.4","101","93",""
"0","","","11010037","","","","3","101","32",""
"1","","","11010038","","","","4","101","32",""
"","","","11010039","","","","11010026","101","91",""
"nyx_idle_bitter","1","","11010040","","","","103431","101","3","0.2"
"nyx_talk_sad","1","","11010041","","","","104831","101","3","0.2"
"ね、ねぇ…\n廊下の方から\n何か聞こえない？","10","","11010042","","","","104831","101","11",""
"","","","11010043","","","","0","101","91",""
"1","","","11010044","","","","110931","101","4",""
"1","","","11010045","","","","2","101","4",""
"nyx_101_chieru_02","0","","11010046","nyx_101_chieru_loop","1","","2","101","3","0.2"
"nyx_101_chieru_02","0","","11010047","nyx_101_chieru_loop","1","","110931","101","3","0.2"
"nyx_idle_sad","1","","11010048","","","","104831","101","3","0.2"
"nyx_talk_sad","1","","11010049","","","","104631","101","3","0.2"
"なんかちぇるちぇる\n聞こえるにゃ…\nこわいにゃ…","10","","11010050","","","","104631","101","11",""
"","","","11010051","","","","0","101","91",""
"nyx_idle_sad","1","","11010052","","","","104631","101","3","0.2"
"nyx_talk_sad","1","","11010053","","","","103431","101","3","0.2"
"学校の七不思議的な\nやつかしら…\nか、帰りたい…","10","","11010054","","","","103431","101","11",""
"","","","11010055","","","","0","101","91",""
"nyx_idle_sad","1","","11010056","","","","103431","101","3","0.2"
"nyx_talk_joy2","1","","11010057","","","","103231","101","3","0.2"
"面白いですわね！\n何が出てくるか\nワクワクしますわ！","10","","11010058","","","","103231","101","11",""
"","","","11010059","","","","0","101","91",""
"","","","11010060","","","","0.4","101","93",""
"0","","","11010061","","","","110931","101","4",""
"0","","","11010062","","","","2","101","4",""
"nyx_101_chieru_01","0","","11010063","nyx_101_chieru_loop","1","","110931","101","3","0.2"
"nyx_101_chieru_01","0","","11010064","nyx_101_chieru_loop","1","","2","101","3","0.2"
"1","1","","11010065","","","","104831","101","12",""
"nyx_talk_sad","0","0.2","11010066","nyx_idle_sad","1","","104831","101","3","0.2"
"","","","11010067","","","","0.4","101","93",""
"0","","","11010068","","","","3","101","32",""
"1","","","11010069","","","","3","101","32",""
"","","","11010070","","","","1.6","101","93",""
"15","1","","11010071","","","","104631","101","12",""
"nyx_talk_sad","0","0.2","11010072","nyx_idle_sad","1","","104631","101","3","0.2"
"","","","11010073","","","","3","101","93",""
"1","","","11010074","","","","110931","101","4",""
"1","","","11010075","","","","2","101","4",""
"nyx_101_chieru_02","0","","11010076","nyx_101_chieru_loop","1","","110931","101","3","0.2"
"nyx_101_chieru_02","0","","11010077","nyx_101_chieru_loop","1","","2","101","3","0.2"
"10","1","","11010078","","","","103231","101","12",""
"nyx_talk_joy1","0","0.2","11010079","nyx_idle_joy1","1","","103231","101","3","0.2"
"","","","11010080","","","","2","101","93",""
"2","1","","11010081","","","","103431","101","12",""
"nyx_talk_sad","0","0.2","11010082","nyx_idle_sad","1","","103431","101","3","0.2"
"","","","11010083","","","","2.5","101","93",""
"","","","11010084","","","","11010060","101","101",""
"110831","110","1","11020001","-362","-209.3","nyx_102_chloe_01","1","102","1","1.35"
"104831","110","0","11020002","90","-182.5","nyx_102_mifuyu_01","1","102","1","1.35"
"104631","110","0","11020003","220","-182.5","nyx_idle_normal","1","102","1","1.35"
"103231","110","1","11020004","336","-182.5","nyx_talk_normal","1","102","1","1.35"
"103431","110","1","11020005","457","-182.5","nyx_idle_normal","1","102","1","1.35"
"1","0","","11020006","0","1","","1","102","31","1"
"2","120","0","11020007","-362","-209.3","NoItem","2","102","5","1.35"
"bgm_M347","","","11020008","","","","bgm_M347","102","25",""
"","","","11020009","","","","2","102","93",""
"nyx_102_chloe_02","1","","11020010","","","","110831","102","3","0.2"
"次、うちの番か…\nえ、チエルの後って\n何気に不利くない？","10","","11020011","","","","110831","102","11",""
"1","","","11020012","","","","0","102","91",""
"nyx_idle_sad","1","","11020013","","","","110831","102","3","0.2"
