8b7387e17495deff3e6979f8689c2ec55daee10e47d15b874e7ec58e88b6e311,e3fe7e20f27a1fb4a513edd5311148753a817a745ae8acb5380c7aa1273d683d,35749a7af46a44e6526ea1939b9bb4ba1ab6cbaad32c8fdb60b76ad884ea74a3,92b651396aae67b5de2b0860a34cd8fcd8b5ad2abca92851b7cf166b1098cf5b,65b620f38e298dc9bd15ebc909dd276826592069868c5f2cf42aaeb0f4e955af,efba1db486b55c019c32ede36f95158c23a6dd660d2716089eefe32522252131,50cb11a47c9bf475caad391db3d1351c042660e93d4658e96d3e2d213ad747eb
"31001","0","300900","0.8","-10","0.8","100721"
"31002","0","302300","0.7","-40","0.7","100722"
"31003","0","302400","0.8","-40","0.8","100261"
"31004","0","302500","0.9","-20","0.9","100283"
"31005","0","301700","0.9","-10","0.9","101611"
"31006","0","310100","0.7","-40","0.7","102174"
"31007","-80","399800","0.3","-60","0.3","102751"
"31008","-20","314901","0.9","20","0.9","103001"
"31009","30","318405","0.7","-110","0.7","103232"
"31010","0","320100","1","-10","1","103371"
