129e828f374c94361b558ad0b1f17d5388cb2174f7bcd7876c09d401b0940924,3949e4c0487091773ce0db6761c28312571c1ae6f551a44ad0899f7d01e42d12,88c0f844f9f6b1d5cf60610211699e91d4e61d4207eb9ac8b6a3c12d4af26788,96f2ea94358e4d5b4aa2bfe1a902088f419723e57505854611c1faeea3d0fdfe,08da66f5557f7546ed42d5245ffb347e8d10f1035899c0f6fc53d194817ae8ef,59c848d6079f0c1472d4c5cb1f920992d9efc00a862bb02a0a4c4efa400c8c0e,24533b7186c2607a3bfc29ae203ab5d4cc3696c4b66549eb9a66025c11cfbb59,d19efef91aa63e88960d08662fc9109755a76ed018f544ad268c84bade40e8ab,f4e8fe853f1bca804ceaccaea2685a15afb3a1ee435dad2f383abc05602f8119,a8081a76f2d32667ec466e06600f64e8b8eeb465ccc2b73cffb3ccad0d399f4b,000687d791ff4177c179c3ae898650816b58a783dfa295aaa933872c5f76cb69,0feb0c7b34f4ef5a08eaf8b9cddbd3d813edf5bfedcffb1b81f8cf07e6d7bad6,78f91ea31af1441e5d118bb28f7e896e84c0e282c8ac7896a8d34c769142164f,ab9f0905777b74780e6688701a5c14b50b29cf0944d96b173ec1f606fc548aa9
"1","0","4","0","4","2030/12/17 14:59:59","0","24015","2019/07/31 12:00:00","カオリ（サマー）","110501","あうぅ～残念さ～\nマジムンに魂を\n奪われちゃったかな～？","24","10021"
"2","0","1","0","4","2030/12/17 14:59:59","4","24016","2019/07/31 12:00:00","カオリ（サマー）","110501","今日は踊りのキレも悪いよ～\nゴーヤーっぽいもの食べて、元気回復さ～！","24","10021"
"3","0","4","0","4","2030/12/17 14:59:59","0","24017","2019/07/31 12:00:00","カオリ（サマー）","110501","マジムンだらけで目が回るさ～！\nふらふらさ～！","24","10021"
"4","0","2","0","1","2030/12/17 14:59:59","5.2","24018","2019/07/31 12:00:00","カオリ（サマー）","110501","なんくるない、なんくるない\n次、頑張ればいいんだよ～！\n海で泳いで\nリフレッシュするさー！","24","10021"
"5","0","6","0","5","2030/12/17 14:59:59","4.2","24019","2019/07/31 12:00:00","カオリ（サマー）","110501","恥ずかしいところ\n見られちゃったね～\n水着？　水着のことじゃないよー？","24","10021"
"6","0","2","0","2","2030/12/17 14:59:59","0","24020","2019/07/31 12:00:00","カオリ（サマー）","110501","絶好調さ～！　この調子で\n海の平和を取り戻すよ～！\n楽しい夏が待ってるさ～！","24","10021"
"7","0","6","0","1","2030/12/17 14:59:59","6.4","24021","2019/07/31 12:00:00","カオリ（サマー）","110501","何匹で襲ってきたって\n私はマブイを落っことさないよ～！\nくしゅん！　あ……\n今のくしゃみで落っこちたかも～？","24","10021"
"8","0","2","0","2","2030/12/17 14:59:59","0","24022","2019/07/31 12:00:00","カオリ（サマー）","110501","ひーやーさーさー♪\n戦いの後は、踊りを踊って\n気分スッキリさ～！","24","10021"
"9","0","3","0","6","2030/12/17 14:59:59","10.08","24023","2019/07/31 12:00:00","カオリ（サマー）","110501","あれ～？　戦ってるうちに\n水着がどっか行っちゃった～？\nねぇキミ、どっかで見なかった～？\nなんで離れるさ～？","24","10021"
"10","0","2","0","1","2030/12/17 14:59:59","5","24024","2019/07/31 12:00:00","カオリ（サマー）","110501","まだまだ私は元気だよ～！\nマジムンでもなんでも、\nどんとこーいさー♪","24","10021"
"11","0","2","0","2","2030/12/17 14:59:59","0","24025","2019/07/31 12:00:00","カオリ（サマー）","110501","私の空手は世界最強さ～！\n夏の陽射しと青い海も合わされば、\n向かうところ敵なしだよー！","24","10021"
