d505e7e3161e44135d397d0ec78bee28336a79c5eeb1f97a92236bb44bd407c9,3554f261260f65e4aa2b6cae3ed676529d967bb114e22a5bd1c7abf43eda70ec,bb19a44146a66dbf9f63f48337e01ba9afd3eb8152693d35f1788d0257b454a4,b5bb7dd1348534b377e17754fc7ed553842ff8df7a77c0980c41b083b0e89cf3,5a14f8d75fb1045f586281ac9801e18a3b03e713f54da20668d7e6a8effacd03,9b58b0073117ce6bc75be549ba7d15a654dd8b5373e23ad3f635643db62548b7,795ba3d6884e40c3adf9fc5f66b0a9f2be304e0e994473d0cd9c0822cbf6a36e,458c75ed0da358e08a730c3959dd2e9b1fd6f3450d11cd818b7086fce692cf76,eb792ff1c44ce4cffe711962faa0dbe3e9c47fc5d5ca20b726f1a448dc52b363
"1","100","6","18001001","-1","2030/12/31 23:59:59","1","2018/01/01 5:00:00","93001"
"2","100","6","18001002","-1","2030/12/31 23:59:59","1","2018/01/01 5:00:00","93001"
"3","30","5","11001001","-1","2020/11/16 4:59:59","1","2018/01/01 5:00:00","0"
"4","30000","12","11001001","-1","2020/11/16 4:59:59","1","2018/01/01 5:00:00","94002"
"5","10","8","11001001","-1","2020/11/16 4:59:59","1","2018/01/01 5:00:00","91002"
"6","40","5","11003001","-1","2020/11/16 4:59:59","1","2018/01/01 5:00:00","0"
"7","2","2","11003001","-1","2020/11/16 4:59:59","1","2018/01/01 5:00:00","20002"
"8","10","8","11003001","-1","2020/11/16 4:59:59","1","2018/01/01 5:00:00","91002"
"9","20","5","13002001","-1","2020/11/16 4:59:59","1","2018/01/01 5:00:00","0"
"10","20","5","18004001","-1","2020/11/16 4:59:59","1","2018/01/01 5:00:00","0"
"11","25","5","16006001","-1","2020/11/16 4:59:59","1","2018/01/01 5:00:00","0"
"12","25","5","16007001","-1","2020/11/16 4:59:59","1","2018/01/01 5:00:00","0"
"13","3","2","16007001","-1","2020/11/16 4:59:59","1","2018/01/01 5:00:00","22001"
"14","30","5","11004001","-1","2020/11/16 4:59:59","1","2018/01/01 5:00:00","0"
"15","2","2","11004001","-1","2020/11/16 4:59:59","1","2018/01/01 5:00:00","20002"
"16","500","2","11004001","-1","2020/11/16 4:59:59","1","2018/01/01 5:00:00","90007"
"17","40","5","11005001","-1","2020/11/16 4:59:59","1","2018/01/01 5:00:00","0"
"18","30000","12","11005001","-1","2020/11/16 4:59:59","1","2018/01/01 5:00:00","94002"
"19","500","2","11005001","-1","2020/11/16 4:59:59","1","2018/01/01 5:00:00","90007"
"20","30","5","11006001","-1","2030/12/31 23:59:59","1","2018/01/01 5:00:00","0"
"21","2","2","11006001","-1","2030/12/31 23:59:59","1","2018/01/01 5:00:00","20003"
"22","30","5","15004001","-1","2022/12/16 4:59:59","1","2018/01/01 5:00:00","0"
"23","100","2","15004001","-1","2022/12/16 4:59:59","1","2018/01/01 5:00:00","90007"
"24","40","5","14001001","-1","2020/11/16 4:59:59","1","2018/01/01 5:00:00","0"
"25","80000","12","14001001","-1","2020/11/16 4:59:59","1","2018/01/01 5:00:00","94002"
"26","2","2","14001001","-1","2020/11/16 4:59:59","1","2018/01/01 5:00:00","20003"
"27","50","5","14003001","-1","2020/11/16 4:59:59","1","2018/01/01 5:00:00","0"
"28","140000","12","14003001","-1","2020/11/16 4:59:59","1","2018/01/01 5:00:00","94002"
"29","4","2","14003001","-1","2020/11/16 4:59:59","1","2018/01/01 5:00:00","22002"
"30","30","8","21001001","-1","2030/12/31 23:59:59","1","2018/01/01 5:00:00","91002"
"31","2000","12","21001001","-1","2030/12/31 23:59:59","1","2018/01/01 5:00:00","94002"
"33","30","8","21001002","-1","2030/12/31 23:59:59","1","2018/01/01 5:00:00","91002"
"34","2","2","21001002","-1","2030/12/31 23:59:59","1","2018/01/01 5:00:00","22001"
"36","30","8","21001003","-1","2030/12/31 23:59:59","1","2018/01/01 5:00:00","91002"
"37","1","2","21001003","-1","2030/12/31 23:59:59","1","2018/01/01 5:00:00","22002"
"39","30","8","21001004","-1","2030/12/31 23:59:59","1","2018/01/01 5:00:00","91002"
"40","1","2","21001004","-1","2030/12/31 23:59:59","1","2018/01/01 5:00:00","22003"
"42","90","8","21001005","-1","2030/12/31 23:59:59","1","2018/01/01 5:00:00","91002"
"43","2","2","21001005","-1","2030/12/31 23:59:59","1","2018/01/01 5:00:00","22003"
"45","60","8","21002001","-1","2030/12/31 23:59:59","1","2018/01/01 5:00:00","91002"
"46","4000","12","21002001","-1","2030/12/31 23:59:59","1","2018/01/01 5:00:00","94002"
"48","60","8","21002002","-1","2030/12/31 23:59:59","1","2018/01/01 5:00:00","91002"
"49","4","2","21002002","-1","2030/12/31 23:59:59","1","2018/01/01 5:00:00","22001"
"51","60","8","21002003","-1","2030/12/31 23:59:59","1","2018/01/01 5:00:00","91002"
"52","2","2","21002003","-1","2030/12/31 23:59:59","1","2018/01/01 5:00:00","22002"
"54","60","8","21002004","-1","2030/12/31 23:59:59","1","2018/01/01 5:00:00","91002"
"55","2","2","21002004","-1","2030/12/31 23:59:59","1","2018/01/01 5:00:00","22003"
"57","50","8","21003001","-1","2030/12/31 23:59:59","1","2018/01/01 5:00:00","91002"
"58","100","8","28002001","-1","2030/12/31 23:59:59","1","2018/01/01 5:00:00","91002"
"59","1000","2","28002001","-1","2030/12/31 23:59:59","1","2018/01/01 5:00:00","90007"
"60","100","8","28002002","-1","2030/12/31 23:59:59","1","2018/01/01 5:00:00","91002"
"61","1500","2","28002002","-1","2030/12/31 23:59:59","1","2018/01/01 5:00:00","90007"
"62","100","8","28002003","-1","2030/12/31 23:59:59","1","2018/01/01 5:00:00","91002"
"63","1500","2","28002003","-1","2030/12/31 23:59:59","1","2018/01/01 5:00:00","90007"
"64","100","8","28002004","-1","2030/12/31 23:59:59","1","2018/01/01 5:00:00","91002"
"65","1500","2","28002004","-1","2030/12/31 23:59:59","1","2018/01/01 5:00:00","90007"
"66","100","8","28002005","-1","2030/12/31 23:59:59","1","2018/01/01 5:00:00","91002"
"67","1500","2","28002005","-1","2030/12/31 23:59:59","1","2018/01/01 5:00:00","90007"
"68","100","8","28002006","-1","2030/12/31 23:59:59","1","2018/01/01 5:00:00","91002"
"69","1500","2","28002006","-1","2030/12/31 23:59:59","1","2018/01/01 5:00:00","90007"
"70","100","8","28002007","-1","2030/12/31 23:59:59","1","2018/01/01 5:00:00","91002"
"71","1500","2","28002007","-1","2030/12/31 23:59:59","1","2018/01/01 5:00:00","90007"
"72","100","8","28002008","-1","2030/12/31 23:59:59","1","2018/01/01 5:00:00","91002"
"73","1500","2","28002008","-1","2030/12/31 23:59:59","1","2018/01/01 5:00:00","90007"
"74","100","8","28002009","-1","2030/12/31 23:59:59","1","2018/01/01 5:00:00","91002"
"75","1500","2","28002009","-1","2030/12/31 23:59:59","1","2018/01/01 5:00:00","90007"
