5f13eb15967ae22cc7ce6ac36c141b91bb92bc3e8a480556d9ee82512e57fa6a,edd1105bf9e6eeea6bd042bf393fd2db45392e373458191a3df2aece393de22f,7730b48fc117f58c7698ab25e2eb3eb2172705365b97ccb2023382856044537d,b866c00d1fd2775256ba8bf0c68b1f0a970bd50cc9a26cc4f168ada8a6962b5a,b2b041e2b645e015052cb129c179a2bd7b9f933fbeb0424f7bb2d08a2e25db89,1cb11221b6df8834b85c89530ddfcbd844d992df207b6c59d0cba80e4bf61298,c9e1454f25485075649f47f81f92e07207b50e272ffd3a9037648e7e7e67baf0,0c4badeb61da1104b7c62e79f16c7c59842cb87062e8a0bf2d46d0af74026071,d439b0ffb44c8c4949ca1b810a009c82f06f2a1161541043ffab72ce65598790,f442880cd834e30fc29d537d9eafd375d147a9c32915210272de0ea54d0899a9,2274ffd394c5d8f96b97922fb2155aa4d8878e61afab991d831435e85bafb16b,a36764ddc0ec4b494118d765495f81f0146577ca63c7e3b62a81c1a7bba1e5d1
"0","0","1","0","1","0","0","2","0","vo_10020900","vo_10020900_0001","1010001"
"1","0","2","180","1","0.818181818181818","0","1","0","0","0","1010002"
"1","0","3","0","1","0","1","4","0.818181818181818","0","0","1010003"
"2","0","4","148","1","0.634285714285714","0","1","0","0","0","1010004"
"2","0","5","0","1","0","1","4","1.03428571428571","0","0","1010005"
"2","148","6","460","1","1.33714285714286","0","1","0","0","0","1010006"
"2","0","7","0","1","0","1","4","2.13714285714286","0","0","1010007"
"0","0","8","0","1","0","0","2","0","vo_10020900","vo_10020900_0002","1010008"
"3","0","9","223","1","1.12948051948052","0","1","0","0","0","1010009"
"3","0","10","0","1","0","1","4","2.12948051948052","0","0","1010010"
"0","0","11","0","1","0","0","2","0","vo_10020900","vo_10020900_0003","1010011"
"3","223","12","343","1","0.545454545454545","0","1","0","0","0","1010012"
"3","0","13","0","1","0","1","4","1.04545454545455","0","0","1010013"
"3","343","14","700","1","1.71545454545455","0","1","0","0","0","1010014"
"3","0","15","0","1","0","1","4","2.71545454545455","0","0","1010015"
"0","0","16","0","1","0","0","2","0","vo_10020900","vo_10020900_0004","1010016"
"4","0","17","275","1","1.67857142857143","0","1","0","0","0","1010017"
"4","0","18","0","1","0","1","4","2.17857142857143","0","0","1010018"
"0","0","19","0","1","0","0","2","0","vo_10020900","vo_10020900_0005","1010019"
"4","275","20","465","1","1.28311688311688","0","1","0","0","0","1010020"
"4","0","21","0","1","0","1","4","1.98311688311688","0","0","1010021"
"4","465","22","715","1","1.2987012987013","0","1","0","0","0","1010022"
"4","0","23","0","1","0","1","4","1.9987012987013","0","0","1010023"
"5","0","24","400","1","2.07792207792208","0","1","0","0","0","1010024"
"5","0","25","0","1","0","1","4","3.07792207792208","0","0","1010025"
"0","0","26","0","1","0","0","2","0","vo_10020900","vo_10020900_0006","1010026"
"6","0","27","182","1","1.06363636363636","0","1","0","0","0","1010027"
"6","0","28","0","1","0","1","4","1.56363636363636","0","0","1010028"
"6","182","29","700","1","2.96","0","1","0","0","0","1010029"
"6","0","30","0","1","0","1","4","3.96","0","0","1010030"
"0","0","31","0","1","0","0","2","0","vo_10020900","vo_10020900_0007","1010031"
"7","0","32","85","1","0.386363636363636","0","1","0","0","0","1010032"
"7","0","33","0","1","0","1","4","0.886363636363636","0","0","1010033"
"7","85","34","750","1","3.54090909090909","0","1","0","0","0","1010034"
"7","0","35","0","1","0","1","4","4.54090909090909","0","0","1010035"
"0","0","36","0","1","0","0","2","0","vo_10020900","vo_10020900_0008","1010036"
"8","0","37","95","1","0.431818181818182","0","1","0","0","0","1010037"
"8","0","38","0","1","0","1","4","1.03181818181818","0","0","1010038"
"0","0","39","0","1","0","0","2","0","vo_10020900","vo_10020900_0009","1010039"
"8","95","40","235","1","0.709090909090909","0","1","0","0","0","1010040"
"8","0","41","0","1","0","1","4","1.30909090909091","0","0","1010041"
"0","0","42","0","1","0","0","2","0","vo_10020900","vo_10020900_0010","1010042"
"8","235","43","750","1","3.07662337662338","0","1","0","0","0","1010043"
"8","0","44","0","1","0","1","4","4.07662337662338","0","0","1010044"
"0","0","45","0","1","0","0","2","0","vo_10020900","vo_10020900_0011","1010045"
"9","0","46","170","1","1.43506493506493","0","1","0","0","0","1010046"
"9","0","47","0","1","0","1","4","2.43506493506493","0","0","1010047"
"0","0","48","0","1","0","0","2","0","vo_10020900","vo_10020900_0012","1010048"
"9","170","49","720","1","2.75","0","1","0","0","0","1010049"
"9","0","50","0","1","0","1","4","3.95","0","0","1010050"
"0","0","51","0","1","0","0","2","0","vo_10020900","vo_10020900_0013","1010051"
"10","170","52","585","1","1.67792207792208","0","1","0","0","0","1010052"
"10","0","53","0","1","0","1","4","2.27792207792208","0","0","1010053"
"10","585","54","750","1","0.9","0","1","0","0","0","1010054"
