2d61b1e86a775e46871e817b70885694be48e03cf0da07adaeb0a25cc91683ac,143e7d1a516d7f27428eb4764723d5200d5d4ec8bc6a4f221ebd41a18a36a866,1107bdf99802019721eb88b4d524b4335fa3b2bd790b418254f0ff4ef1a6840d,21f75c2a4836dbfc0013c18d40c5cd659d9209c9c5177c5cb40d405faaf43b54,e1f9554d8f3646198f936ad722a3453c1dbd317504bfd7a71fac1e6bf60659de
"30","100","10","255","10001"
"34","100","10","110","10002"
"37","100","10","185","10003"
"41","101","10","388","10004"
"46","100","10","603","10005"
"51","100","10","696","10006"
"54","100","10","478","10007"
"58","101","10","240","10008"
"62","100","10","371","10009"
"67","100","10","253","10010"
"71","100","10","408","10011"
"75","100","10","342","10012"
"78","101","10","549","10013"
"82","100","10","696","10014"
"87","100","10","468","10015"
"92","100","10","641","10016"
"96","100","10","701","10017"
"101","100","10","531","10018"
"105","100","10","387","10019"
"108","100","10","315","10020"
"112","100","10","241","10021"
"117","100","10","316","10022"
"120","100","10","741","10023"
"125","100","10","1007","10024"
"129","101","10","730","10025"
"133","100","10","647","10026"
"137","100","10","836","10027"
"140","100","10","1087","10028"
"143","100","10","818","10029"
"147","100","10","558","10030"
"152","101","10","228","10031"
"155","100","10","569","10032"
"159","101","10","724","10033"
"162","101","10","367","10034"
"165","100","10","9","10035"
"170","100","10","101","10036"
"173","101","10","509","10037"
"178","100","10","214","10038"
"183","400","10","511","10039"
"188","100","10","477","10040"
"192","100","10","739","10041"
"197","101","10","485","10042"
"202","100","10","670","10043"
"205","100","10","339","10044"
"210","100","10","193","10045"
"215","101","10","376","10046"
"219","100","10","719","10047"
"224","100","10","1012","10048"
"227","100","10","1199","10049"
"232","100","10","870","10050"
"237","100","10","521","10051"
"240","100","10","632","10052"
"244","100","10","263","10053"
"247","101","10","180","10054"
"252","100","10","295","10055"
"255","200","10","594","10056"
"259","100","10","252","10057"
"262","100","10","623","10058"
"265","101","10","219","10059"
"270","100","10","379","10060"
"273","101","10","218","10061"
"277","100","10","478","10062"
"281","100","10","415","10063"
"284","100","10","700","10064"
"289","100","10","411","10065"
"292","100","10","326","10066"
"296","101","10","763","10067"
"300","100","10","591","10068"
"304","300","10","837","10069"
"307","100","10","432","10070"
"310","100","10","379","10071"
"314","101","10","31","10072"
"317","100","10","216","10073"
"321","100","10","412","10074"
"326","101","10","183","10075"
"330","100","10","57","10076"
"335","100","10","204","10077"
"340","100","10","486","10078"
"345","100","10","858","10079"
"349","101","10","584","10080"
"352","100","10","178","10081"
"357","100","10","448","10082"
"361","100","10","793","10083"
"364","101","10","1102","10084"
"369","100","10","975","10085"
"374","100","10","1132","10086"
"379","101","10","922","10087"
"383","100","10","752","10088"
"386","100","10","457","10089"
"391","100","10","367","10090"
"395","101","10","410","10091"
"398","100","10","93","10092"
"402","100","10","425","10093"
"407","100","10","54","10094"
"410","100","10","255","10095"
"414","100","10","318","10096"
"417","101","10","535","10097"
"422","100","10","467","10098"
"425","100","10","695","10099"
"429","100","10","820","10100"
"434","101","10","676","10101"
"439","100","10","880","10102"
"444","100","10","656","10103"
"447","400","10","849","10104"
"452","100","10","1077","10105"
"456","100","10","1195","10106"
"461","101","10","1053","10107"
"464","100","10","975","10108"
"467","300","10","762","10109"
"471","100","10","1120","10110"
"476","101","10","1062","10111"
"481","100","10","815","10112"
"484","100","10","680","10113"
"488","100","10","626","10114"
"492","100","10","658","10115"
"495","100","10","804","10116"
"500","100","10","645","10117"
"503","200","10","716","10118"
"506","100","10","792","10119"
"510","100","10","891","10120"
"514","100","10","1092","10121"
"519","101","10","1181","10122"
"522","100","10","1102","10123"
"526","101","10","1042","10124"
"529","100","10","846","10125"
"532","100","10","880","10126"
"537","101","10","945","10127"
"541","100","10","892","10128"
"546","100","10","1018","10129"
"551","101","10","866","10130"
"554","100","10","630","10131"
"558","101","10","543","10132"
"563","100","10","320","10133"
"566","100","10","421","10134"
"570","101","10","483","10135"
"575","100","10","600","10136"
"580","100","10","505","10137"
"583","100","10","321","10138"
"586","101","10","268","10139"
"590","100","10","373","10140"
"595","100","10","579","10141"
"599","400","10","386","10142"
"604","100","10","511","10143"
"608","100","10","599","10144"
"612","101","10","639","10145"
"615","100","10","731","10146"
"619","300","10","689","10147"
"624","100","10","478","10148"
"628","101","10","583","10149"
"633","100","10","338","10150"
"636","100","10","142","10151"
"640","100","10","383","10152"
"644","100","10","555","10153"
"649","101","10","510","10154"
"653","100","10","751","10155"
"656","100","10","529","10156"
"659","100","10","491","10157"
"662","100","10","265","10158"
"665","100","10","440","10159"
"670","101","10","236","10160"
"674","100","10","351","10161"
"677","101","10","302","10162"
"682","100","10","150","10163"
"686","100","10","71","10164"
"690","101","10","14","10165"
"694","100","10","211","10166"
"698","101","10","127","10167"
"702","100","10","375","10168"
"706","100","10","497","10169"
"710","200","10","412","10170"
"714","100","10","638","10171"
"719","100","10","835","10172"
"722","100","10","921","10173"
"727","101","10","828","10174"
"730","100","10","882","10175"
"735","100","10","658","10176"
"739","101","10","883","10177"
"743","100","10","1105","10178"
"748","100","10","1186","10179"
"752","100","10","979","10180"
"755","400","10","780","10181"
"760","100","10","644","10182"
"764","100","10","397","10183"
"768","100","10","561","10184"
"773","100","10","530","10185"
"778","101","10","653","10186"
"783","100","10","695","10187"
"787","100","10","531","10188"
"793","101","10","653","10189"
"799","100","10","414","10190"
"804","100","10","190","10191"
"809","101","10","147","10192"
"815","100","10","334","10193"
"820","100","10","270","10194"
